time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0098,0,29703,-0.09,0,49.95,0.03,31,149,-0.098,-0.1054,-30.0,-30.0
0.11,0,27523,-0.18,0,49.95,0.03,31,149,-0.0981,-0.1051,-30.0,-30.0
0.2102,0,41096,-0.18,0,49.94,0.03,31,149,-0.096,-0.1045,-30.0,-30.0
0.3105,0,49180,-0.11,0,49.94,0.03,31,149,-0.0973,-0.1047,-30.0,-30.0
0.4107,0,42857,-0.16,0,49.95,0.03,32,149,-0.0977,-0.1052,-30.0,-30.0
0.5109,0,32258,-0.16,0,49.95,0.03,31,149,-0.098,-0.1057,-30.0,-30.0
0.6111,0,42857,-0.12,0,49.95,0.03,31,149,-0.0975,-0.105,-30.0,-30.0
0.7114,0,31915,-0.19,0,49.95,0.03,31,149,-0.0983,-0.1049,-30.0,-30.0
0.8115,0,25641,-0.24,0,49.95,0.03,32,149,-0.0961,-0.1048,-30.0,-30.0
0.9119,0,34091,0.11,0,49.95,0.03,32,149,-0.0959,-0.1049,-30.0,-30.0
1.0121,0,22727,0.1,0,49.95,0.03,31,149,-0.0972,-0.105,-30.0,-30.0
1.1124,0,34091,-0.08,0,49.95,0.03,31,149,-0.097,-0.1048,-30.0,-30.0
1.2126,0,37975,-0.03,0,49.95,0.03,31,149,-0.0967,-0.1053,-30.0,-30.0
1.3128,0,44118,-0.1,0,49.95,0.03,32,149,-0.0971,-0.1061,-30.0,-30.0
1.4131,0,28302,-0.08,0,49.95,0.03,31,149,-0.0973,-0.1045,-30.0,-30.0
1.5133,0,45455,-0.01,0,49.95,0.03,32,149,-0.0974,-0.1054,-30.0,-30.0
1.6136,0,28302,0.01,0,49.95,0.03,32,149,-0.098,-0.1051,-30.0,-30.0
1.7138,0,40541,-0.06,0,49.95,0.03,31,149,-0.0974,-0.1059,-30.0,-30.0
1.8145,0,37500,0.08,0,49.95,0.03,32,149,-0.0967,-0.1051,-30.0,-30.0
1.9147,0,35294,0.06,0,49.95,0.03,31,149,-0.0979,-0.1052,-30.0,-30.0
2.015,0,26087,0.02,0,49.95,0.03,31,149,-0.0981,-0.1049,-30.0,-30.0
2.1153,0,36585,-0.05,0,49.95,0.03,31,149,-0.0975,-0.1054,-30.0,-30.0
2.2155,0,29126,-0.12,0,49.95,0.03,32,149,-0.0971,-0.1059,-30.0,-30.0
2.3157,0,25641,-0.07,0,49.95,0.03,31,149,-0.0976,-0.1054,-30.0,-30.0
2.4159,0,31250,-0.06,0,49.95,0.03,31,149,-0.0981,-0.1059,-30.0,-30.0
2.5162,0,32967,-0.05,0,49.95,0.03,32,149,-0.0973,-0.1055,-30.0,-30.0
2.6165,0,23622,0.03,0,49.95,0.03,32,149,-0.0975,-0.1055,-30.0,-30.0
2.7167,0,42857,0.13,0,49.95,0.03,31,149,-0.0982,-0.1051,-30.0,-30.0
2.817,0,22556,0.14,0,49.95,0.03,31,149,-0.0973,-0.1046,-30.0,-30.0
2.9175,0,34884,0.14,0,49.95,0.03,31,149,-0.097,-0.1058,-30.0,-30.0
3.0177,0,36585,0.1,0,49.95,0.03,31,149,-0.0973,-0.1045,-30.0,-30.0
3.1179,0,44118,0.09,0,49.95,0.03,31,149,-0.0981,-0.1056,-30.0,-30.0
3.2181,0,48387,0.03,0,49.95,0.03,31,149,-0.098,-0.1064,-30.0,-30.0
3.3183,0,34091,0.12,0,49.95,0.03,32,149,-0.0974,-0.1055,-30.0,-30.0
3.4185,0,36145,0.18,0,49.95,0.03,31,149,-0.0984,-0.106,-30.0,-30.0
3.5187,0,20134,0.23,0,49.95,0.03,31,149,-0.098,-0.1057,-30.0,-30.0
3.619,0,44118,0.29,0,49.95,0.03,31,149,-0.098,-0.107,-30.0,-30.0
3.7192,0,22727,0.26,0,49.95,0.03,31,149,-0.0979,-0.1056,-30.0,-30.0
3.8195,0,31915,0.35,0,49.95,0.03,31,149,-0.0974,-0.1065,-30.0,-30.0
3.9198,0,19355,0.42,0,49.95,0.03,32,149,-0.0978,-0.106,-30.0,-30.0
4.02,0,32609,0.26,0,49.95,0.03,31,149,-0.0968,-0.1056,-30.0,-30.0
4.1202,0,24590,0.5,0,49.95,0.03,31,149,-0.0971,-0.1059,-30.0,-30.0
4.2204,0,31915,0.6,0,49.95,0.03,32,149,-0.0971,-0.105,-30.0,-30.0
4.3207,0,34091,0.53,0,49.95,0.03,31,149,-0.0971,-0.106,-30.0,-30.0
