time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0246,114,914,-0.78,914,44.6,0.16,27,163,0.2241,-0.2017,0.0,0.0
0.1248,114,914,-0.84,914,44.59,0.16,28,163,0.2241,-0.2028,0.0,0.0
0.225,114,916,-0.82,900,44.58,0.16,28,163,0.2241,-0.2036,0.0,0.0
0.3252,114,912,-0.84,900,44.59,0.16,28,163,0.224,-0.2036,0.0,0.0
0.4254,114,912,-0.86,914,44.58,0.16,27,163,0.2237,-0.2036,0.0,0.0
0.5256,114,911,-0.83,914,44.59,0.16,27,163,0.224,-0.2036,0.0,0.0
0.6258,114,910,-0.85,914,44.59,0.16,28,163,0.2241,-0.2027,0.0,0.0
0.726,114,910,-0.78,900,44.58,0.16,28,163,0.2241,-0.2027,0.0,0.0
0.8261,114,909,-0.7,900,44.58,0.16,27,163,0.2237,-0.2027,0.0,0.0
0.9263,114,909,-0.83,914,44.58,0.16,27,163,0.2237,-0.2028,0.0,0.0
1.0265,114,913,-0.91,914,44.59,0.16,28,163,0.2233,-0.2028,0.0,0.0
1.1267,114,913,-0.94,900,44.58,0.16,27,163,0.2233,-0.2027,0.0,0.0
1.227,114,912,-0.93,900,44.58,0.16,28,163,0.2235,-0.2027,0.0,0.0
1.3272,114,912,-0.98,914,44.58,0.16,28,163,0.2235,-0.2031,0.0,0.0
1.4274,114,912,-1.01,914,44.58,0.16,28,163,0.2235,-0.2031,0.0,0.0
1.5276,114,912,-0.84,914,44.58,0.16,28,163,0.2235,-0.2035,0.0,0.0
1.6278,114,915,-0.83,914,44.58,0.16,28,163,0.2235,-0.2035,0.0,0.0
1.728,114,911,-0.85,914,44.59,0.16,28,163,0.2235,-0.2045,0.0,0.0
1.8281,114,912,-0.9,914,44.58,0.16,28,163,0.2235,-0.2035,0.0,0.0
1.9283,114,912,-0.97,914,44.61,0.16,28,163,0.2235,-0.2049,0.0,0.0
2.0285,114,914,-1.06,900,44.59,0.16,28,163,0.224,-0.2035,0.0,0.0
2.1286,114,914,-0.98,900,44.58,0.16,28,163,0.2241,-0.2034,0.0,0.0
2.2288,114,914,-0.91,900,44.6,0.16,27,163,0.2253,-0.2034,0.0,0.0
2.3294,114,913,-0.99,914,44.58,0.16,27,163,0.2241,-0.2043,0.0,0.0
2.4296,114,913,-1.05,914,44.58,0.16,27,163,0.224,-0.2043,0.0,0.0
2.5298,114,911,-1.07,900,44.59,0.16,28,163,0.2234,-0.2043,0.0,0.0
2.6299,114,911,-0.97,900,44.58,0.16,28,163,0.2226,-0.2043,0.0,0.0
2.7301,114,911,-0.99,914,44.59,0.16,28,163,0.2226,-0.2043,0.0,0.0
2.8303,114,914,-1.02,900,44.59,0.16,28,163,0.2231,-0.2043,0.0,0.0
2.9305,114,915,-0.87,914,44.59,0.16,28,163,0.2228,-0.2042,0.0,0.0
3.0306,114,915,-0.92,900,44.59,0.16,28,163,0.2226,-0.2042,0.0,0.0
3.1308,114,912,-1.18,914,44.58,0.19,27,163,0.2226,-0.2042,0.0,0.0
3.231,114,912,-0.94,914,44.59,0.19,28,163,0.2222,-0.2034,0.0,0.0
3.3313,114,912,-0.81,914,44.59,0.16,28,163,0.2226,-0.2024,0.0,0.0
3.4314,114,912,-0.85,914,44.59,0.16,28,163,0.2226,-0.2034,0.0,0.0
3.5316,114,914,-0.86,914,44.58,0.16,28,163,0.2228,-0.2023,0.0,0.0
