time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0662,0,25641,-0.0,0,49.89,0.03,31,165,0.0209,0.0118,-30.0,-30.0
0.1665,0,30000,-0.14,0,49.89,0.03,31,165,0.0202,0.0111,-30.0,-30.0
0.2667,0,35714,-0.15,0,49.9,0.03,31,165,0.0207,0.0106,-30.0,-30.0
0.367,0,40000,-0.25,0,49.9,0.03,30,165,0.0203,0.0107,-30.0,-30.0
0.4672,0,26316,-0.07,0,49.9,0.03,31,165,0.0209,0.0111,-30.0,-30.0
0.5675,0,41096,-0.18,0,49.89,0.03,31,165,0.0201,0.0112,-30.0,-30.0
0.6677,0,28037,-0.27,0,49.89,0.03,31,165,0.0232,0.0122,-30.0,-30.0
0.7686,0,29703,-0.3,0,49.89,0.03,31,165,0.0212,0.0115,-30.0,-30.0
0.8689,0,26786,-0.23,0,49.89,0.03,31,165,0.0199,0.0103,-30.0,-30.0
0.9691,0,31915,-0.17,0,49.89,0.03,31,165,0.0198,0.012,-30.0,-30.0
1.0694,0,47619,-0.1,0,49.89,0.03,31,165,0.0191,0.0117,-30.0,-30.0
1.1696,0,26786,-0.19,0,49.89,0.03,31,165,0.0208,0.0117,-30.0,-30.0
1.2699,0,32967,-0.33,0,49.9,0.03,31,165,0.0212,0.0118,-30.0,-30.0
1.3702,0,43478,-0.23,0,49.9,0.03,30,165,0.0204,0.0119,-30.0,-30.0
1.4704,47,20690,-0.23,0,49.89,0.03,31,165,0.0238,0.0106,-30.0,-30.0
1.5707,48,9646,-0.24,214,49.89,0.09,31,165,0.0247,0.0084,-30.0,-30.0
1.6709,48,9646,0.0,642,49.89,0.12,31,165,0.0252,0.0084,-30.0,-30.0
1.7712,48,9646,-0.0,385,49.89,0.12,31,165,0.0252,0.0053,-30.0,-30.0
1.8716,67,5780,-0.3,257,49.89,0.12,31,165,0.0238,0.0053,-30.0,-30.0
