time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0702,0,29126,1.33,0,50.33,0.03,25,10,0.0178,0.0082,-30.0,-30.0
0.1704,0,26316,1.24,0,50.33,0.03,25,10,0.0193,0.0091,-30.0,-30.0
0.2706,0,39474,1.2,0,50.33,0.03,25,10,0.0182,0.0085,-30.0,-30.0
0.3709,0,22727,1.22,0,50.33,0.03,26,10,0.0178,0.0089,-30.0,-30.0
0.4711,0,20134,1.29,0,50.33,0.03,26,10,0.0197,0.0088,-30.0,-30.0
0.5712,0,22388,1.46,0,50.33,0.03,26,10,0.019,0.0082,-30.0,-30.0
0.6714,0,31915,1.21,0,50.33,0.03,26,10,0.018,0.0092,-30.0,-30.0
0.7716,0,43478,1.3,0,50.33,0.03,25,10,0.018,0.0069,-30.0,-30.0
0.8718,0,21583,1.22,0,50.33,0.03,25,10,0.0174,0.0077,-30.0,-30.0
0.972,0,21429,1.16,0,50.33,0.03,25,10,0.0176,0.0081,-30.0,-30.0
1.0721,0,21127,1.19,0,50.33,0.03,26,10,0.0183,0.0089,-30.0,-30.0
1.1723,0,37037,1.29,0,50.33,0.03,25,10,0.0184,0.0088,-30.0,-30.0
1.2725,0,35714,1.25,0,50.33,0.03,25,10,0.0188,0.0089,-30.0,-30.0
1.3727,0,27273,1.12,0,50.33,0.03,26,10,0.0173,0.0078,-30.0,-30.0
1.4729,0,28571,1.21,0,50.33,0.03,25,10,0.0184,0.0078,-30.0,-30.0
1.5731,0,31579,1.4,0,50.33,0.03,25,10,0.0188,0.0093,-30.0,-30.0
1.6732,0,30612,1.32,0,50.33,0.03,26,10,0.0177,0.0092,-30.0,-30.0
1.7734,0,37500,1.18,0,50.33,0.03,26,10,0.0178,0.0089,-30.0,-30.0
1.8736,0,33708,1.3,0,50.33,0.03,26,10,0.018,0.0083,-30.0,-30.0
1.9738,0,26087,1.27,0,50.33,0.03,25,10,0.019,0.0101,-30.0,-30.0
2.074,0,28302,1.24,0,50.33,0.03,26,10,0.0185,0.0093,-30.0,-30.0
2.1744,0,44118,1.16,0,50.33,0.03,25,10,0.0177,0.0091,-30.0,-30.0
2.2746,0,33708,1.23,0,50.33,0.03,25,10,0.0173,0.0083,-30.0,-30.0
2.3748,0,32967,1.32,0,50.33,0.03,26,10,0.0185,0.0085,-30.0,-30.0
2.475,0,28302,1.33,0,50.33,0.03,25,10,0.019,0.0091,-30.0,-30.0
2.5752,0,37037,1.09,0,50.33,0.03,26,10,0.0174,0.0084,-30.0,-30.0
2.6754,0,30303,1.08,0,50.33,0.03,25,10,0.0188,0.0084,-30.0,-30.0
2.7756,0,23810,1.23,0,50.33,0.03,26,10,0.0187,0.0095,-30.0,-30.0
2.8757,0,30303,1.47,0,50.33,0.03,26,10,0.0182,0.0089,-30.0,-30.0
2.9759,0,44776,1.41,0,50.33,0.03,25,10,0.0166,0.0089,-30.0,-30.0
3.0773,0,24590,1.34,0,50.33,0.03,25,10,0.0178,0.0083,-30.0,-30.0
3.1774,0,33708,1.22,0,50.33,0.03,25,10,0.0182,0.0092,-30.0,-30.0
3.2777,0,28846,1.21,0,50.33,0.03,26,10,0.0185,0.0095,-30.0,-30.0
3.3779,0,31915,1.26,0,50.33,0.03,26,10,0.0175,0.0085,-30.0,-30.0
3.4781,0,31579,1.28,0,50.33,0.03,25,10,0.018,0.0074,-30.0,-30.0
3.5783,0,15075,1.31,0,50.33,0.03,25,10,0.0176,0.0093,-30.0,-30.0
3.6785,0,37500,1.18,0,50.33,0.03,25,10,0.0179,0.0081,-30.0,-30.0
3.7787,0,26786,1.04,0,50.33,0.03,26,10,0.0181,0.0074,-30.0,-30.0
3.8789,0,41096,1.28,0,50.33,0.03,26,10,0.0185,0.0097,-30.0,-30.0
3.9791,0,32609,1.18,0,50.33,0.03,26,10,0.0191,0.0073,-30.0,-30.0
4.0793,0,46154,1.25,0,50.33,0.03,26,10,0.0185,0.0088,-30.0,-30.0
4.1797,0,25000,1.25,0,50.33,0.03,26,10,0.0185,0.0088,-30.0,-30.0
4.2799,0,26087,1.13,0,50.33,0.03,26,10,0.0177,0.0096,-30.0,-30.0
4.3801,0,50847,1.19,0,50.33,0.03,25,10,0.0185,0.0086,-30.0,-30.0
4.4803,0,29126,1.33,0,50.33,0.03,26,10,0.018,0.0088,-30.0,-30.0
4.5805,0,21583,1.31,0,50.33,0.03,26,10,0.0198,0.0083,-30.0,-30.0
4.6807,0,33708,1.42,0,50.33,0.03,26,10,0.0172,0.008,-30.0,-30.0
4.7809,0,30612,1.32,0,50.33,0.03,26,10,0.0174,0.0094,-30.0,-30.0
4.8811,0,25862,1.37,0,50.33,0.03,26,10,0.0196,0.0093,-30.0,-30.0
4.9813,0,13333,1.23,0,50.33,0.03,26,10,0.0181,0.0085,-30.0,-30.0
5.0815,0,25641,1.27,0,50.33,0.03,25,10,0.0193,0.0089,-30.0,-30.0
5.1816,0,26786,1.38,0,50.33,0.03,25,10,0.0173,0.0088,-30.0,-30.0
5.2818,0,29412,1.28,0,50.33,0.03,25,10,0.018,0.0077,-30.0,-30.0
5.3821,0,24390,1.33,0,50.33,0.03,25,10,0.0186,0.0091,-30.0,-30.0
5.4823,0,24793,1.3,0,50.33,0.03,25,10,0.0181,0.0084,-30.0,-30.0
5.5825,0,27027,1.35,0,50.33,0.03,26,10,0.018,0.0097,-30.0,-30.0
5.6826,0,22059,1.3,0,50.33,0.03,26,10,0.0179,0.0092,-30.0,-30.0
5.7828,0,32258,1.17,0,50.33,0.03,26,10,0.0181,0.0089,-30.0,-30.0
