time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0931,0,20270,-0.14,0,50.3,0.03,28,18,0.029,0.02,-30.0,-30.0
0.1933,0,20833,-0.27,0,50.3,0.03,27,18,0.0299,0.0198,-30.0,-30.0
0.2935,0,38961,-0.29,0,50.3,0.03,27,18,0.0288,0.0188,-30.0,-30.0
0.3937,0,30928,-0.07,0,50.3,0.03,27,18,0.0293,0.0182,-30.0,-30.0
0.494,0,19868,-0.07,0,50.3,0.03,27,18,0.0283,0.0193,-30.0,-30.0
0.5943,0,28037,-0.0,0,50.3,0.03,27,18,0.0294,0.0199,-30.0,-30.0
0.6945,0,28846,-0.02,0,50.3,0.03,27,18,0.0289,0.0195,-30.0,-30.0
0.7948,0,17751,-0.17,0,50.3,0.03,27,18,0.0294,0.0196,-30.0,-30.0
0.895,0,31250,-0.1,0,50.3,0.03,27,18,0.0284,0.0193,-30.0,-30.0
0.9952,0,17442,-0.13,0,50.3,0.03,27,18,0.0284,0.0181,-30.0,-30.0
1.0955,0,33333,-0.09,0,50.3,0.03,27,18,0.027,0.019,-30.0,-30.0
1.1957,0,35714,-0.05,0,50.3,0.03,27,18,0.0285,0.0186,-30.0,-30.0
1.2959,0,24000,-0.04,0,50.3,0.03,27,18,0.0285,0.0193,-30.0,-30.0
1.3962,0,37975,-0.0,0,50.3,0.03,27,18,0.0288,0.0191,-30.0,-30.0
1.4965,0,23256,-0.02,0,50.3,0.03,27,18,0.0283,0.0187,-30.0,-30.0
1.5967,0,33333,-0.03,0,50.3,0.03,27,18,0.0292,0.0191,-30.0,-30.0
1.6969,0,30303,-0.14,0,50.3,0.03,27,18,0.0295,0.0192,-30.0,-30.0
1.7972,0,25641,-0.23,0,50.3,0.03,27,18,0.0284,0.0194,-30.0,-30.0
1.8974,0,20548,-0.25,0,50.3,0.03,27,18,0.0286,0.0183,-30.0,-30.0
1.9976,0,36145,-0.13,0,50.3,0.03,28,18,0.0294,0.0187,-30.0,-30.0
2.0979,0,46154,-0.23,0,50.3,0.03,27,18,0.0274,0.0195,-30.0,-30.0
2.1981,0,21583,0.13,0,50.3,0.03,27,18,0.0282,0.0193,-30.0,-30.0
2.2984,0,27273,0.06,0,50.3,0.03,27,18,0.0275,0.0186,-30.0,-30.0
2.3989,47,34091,-0.06,0,50.3,0.03,27,18,0.0279,0.0193,-30.0,-30.0
2.4991,48,23077,-0.21,142,50.3,0.06,27,18,0.0298,0.0077,-30.0,-30.0
2.5994,48,15385,0.03,614,50.31,0.09,27,18,0.0302,0.0077,-30.0,-30.0
2.6997,64,15385,1.62,414,50.31,0.09,27,18,0.0302,0.0074,-30.0,-30.0
2.7999,64,1089,1.99,214,50.3,0.09,27,18,0.0309,0.0074,-30.0,-30.0
2.9002,84,3386,0.85,242,50.31,0.06,27,18,0.0309,0.0052,-30.0,-30.0
3.0004,84,3386,0.9,600,50.31,0.06,27,18,0.0309,0.0045,-30.0,-30.0
3.1007,104,3386,1.67,314,50.31,0.09,28,18,0.0329,0.0045,-30.0,-30.0
3.2009,104,3386,0.75,285,50.31,0.09,27,18,0.0329,0.0042,-30.0,-30.0
3.3013,124,591,0.36,514,50.31,0.06,27,18,0.0359,0.0035,-30.0,-30.0
3.4015,124,591,1.24,728,50.3,0.06,27,18,0.5685,-0.6111,-30.0,-30.0
3.5018,144,886,2.11,1000,50.3,0.09,27,18,0.5721,-0.6119,-30.0,-30.0
3.6022,144,1126,3.76,1314,50.3,0.12,27,18,0.5722,-0.6173,0.14,0.07
3.7025,164,1501,5.61,1528,50.3,0.16,27,18,0.5754,-0.6177,0.3,0.1
3.8027,164,1912,10.9,1800,50.29,0.22,28,18,0.5803,-0.6194,0.3,0.3
3.903,184,2101,14.69,2042,50.29,0.28,27,18,0.5839,-0.6233,0.45,0.32
4.0032,184,2510,19.44,2414,50.29,0.35,27,18,0.5852,-0.6268,0.67,0.38
4.1035,204,2681,23.79,2614,50.28,0.41,27,18,0.5866,-0.6271,0.83,0.53
4.2038,204,2950,29.41,2885,50.28,0.48,27,18,0.5866,-0.6281,0.89,0.66
4.3041,223,3096,35.0,3057,50.27,0.54,27,18,0.5887,-0.6281,0.95,0.67
4.4044,223,3356,41.55,3314,50.27,0.61,27,18,0.5901,-0.6287,0.95,0.71
4.5046,243,3525,47.29,3671,50.27,0.67,27,18,0.5898,-0.63,1.04,0.71
4.6049,243,3764,57.28,3800,50.26,0.74,27,18,0.5878,-0.63,1.04,0.73
4.7051,263,3927,62.65,4071,50.24,0.8,27,18,0.5888,-0.6304,1.05,0.78
4.8054,263,4087,70.17,4114,50.24,0.83,27,18,0.594,-0.6291,1.09,0.78
4.9056,283,4267,75.3,4328,50.22,0.9,27,18,0.5954,-0.6235,1.09,0.78
5.0059,283,4418,82.49,4442,50.22,0.93,27,18,0.6084,-0.6098,1.28,0.75
5.1062,303,4644,86.86,4442,50.22,0.93,27,18,0.6168,-0.6039,1.34,0.54
5.2065,303,4800,94.47,4828,50.23,1.12,27,18,0.6129,-0.6076,1.92,0.02
5.3069,323,4886,99.65,5071,50.22,1.19,27,18,0.6055,-0.6193,1.92,0.02
5.4071,323,5155,117.31,5185,50.22,1.28,27,18,0.6027,-0.6269,1.92,0.02
5.5074,343,5236,124.63,5457,50.2,1.35,27,18,0.5989,-0.6297,1.79,0.38
5.6077,343,5474,133.76,5485,50.2,1.38,27,18,0.5856,-0.6379,1.67,0.67
5.7079,363,5587,139.23,5728,50.17,1.44,27,18,0.5822,-0.6452,1.5,0.77
5.8081,363,5736,147.89,5742,50.2,1.48,28,18,0.5777,-0.6455,0.9,1.08
5.9084,383,5906,155.14,6042,50.19,1.54,27,18,0.5782,-0.6453,0.75,1.36
6.0087,383,6048,165.16,6057,50.18,1.6,27,18,0.5818,-0.6383,0.73,1.36
6.1089,403,6289,173.21,6328,50.16,1.73,27,18,0.5848,-0.6366,0.73,1.36
6.2095,403,6369,193.29,6371,50.17,1.73,28,18,0.5887,-0.6334,0.73,1.1
6.3097,423,6608,202.81,6657,50.13,1.89,27,18,0.5874,-0.6282,0.87,1.03
6.41,423,6682,215.18,6714,50.15,1.93,27,18,0.5837,-0.6313,0.87,0.91
6.5103,443,6944,216.76,6957,50.1,2.06,27,18,0.5753,-0.6308,0.87,0.83
6.6105,443,7009,224.24,7028,50.14,2.12,27,19,0.5738,-0.6416,0.82,0.83
6.7108,463,7264,227.27,7328,50.11,2.22,27,19,0.5754,-0.6369,0.45,0.83
6.811,463,7317,240.08,7314,50.13,2.28,28,19,0.5728,-0.6301,0.44,0.83
6.9113,483,7595,252.42,7600,50.1,2.38,27,19,0.5773,-0.625,0.44,0.81
7.0115,483,7614,276.0,7642,50.12,2.41,28,19,0.5798,-0.6223,0.45,0.79
7.1125,503,7895,288.74,7928,50.09,2.6,28,19,0.5762,-0.6127,0.48,0.59
7.2127,503,7958,303.72,7957,50.1,2.67,28,19,0.5762,-0.6048,0.48,0.49
7.3134,523,8108,311.76,8257,50.08,2.83,28,19,0.5759,-0.6045,0.48,0.13
7.4136,523,8264,325.25,8300,50.07,2.86,28,19,0.5714,-0.5998,0.48,-0.25
7.5139,543,8427,331.51,8585,50.03,3.02,28,19,0.5656,-0.599,0.47,-0.27
7.6142,543,8547,345.56,8585,50.06,3.05,28,20,0.5719,-0.5907,0.29,-0.53
7.7145,562,8746,352.38,8800,50.02,3.25,28,20,0.5706,-0.5913,0.27,-0.57
7.8147,562,8876,367.29,8942,50.03,3.25,28,20,0.5725,-0.5886,0.27,-1.0
7.915,577,9036,375.46,9128,50.01,3.44,28,20,0.5716,-0.5868,0.28,-1.03
8.0153,577,9146,390.55,9171,50.03,3.47,28,20,0.5668,-0.5822,0.28,-1.15
8.1155,590,9259,395.25,9328,50.02,3.63,28,20,0.567,-0.5796,0.23,-1.25
8.2161,590,9317,414.08,9385,50.02,3.6,28,20,0.569,-0.5793,0.16,-1.5
8.3163,600,9404,426.67,9500,50.01,3.76,28,20,0.5699,-0.5784,0.16,-1.64
8.4166,600,9464,437.17,9542,50.01,3.76,28,20,0.5716,-0.5791,0.16,-1.66
8.5168,607,9585,443.88,9600,49.96,3.86,28,20,0.5683,-0.5784,0.16,-1.67
8.6171,607,9585,456.9,9628,49.97,3.89,28,20,0.5684,-0.5749,0.16,-1.71
8.7174,613,9646,462.33,9742,49.98,3.92,28,21,0.569,-0.5744,0.16,-1.71
8.8177,613,9646,470.12,9628,49.97,3.89,28,21,0.5682,-0.5753,0.13,-1.88
8.918,619,9740,470.99,9800,49.98,3.96,28,21,0.5706,-0.5758,0.13,-1.88
9.0182,619,9740,476.35,9800,49.99,3.99,27,21,0.5683,-0.5731,0.13,-1.9
9.1185,623,9804,478.39,9871,50.0,4.02,28,21,0.5687,-0.5723,0.15,-1.93
9.2188,623,9804,488.93,9900,50.0,4.05,29,21,0.5665,-0.5778,0.13,-1.88
9.319,628,9868,491.03,9885,49.96,3.99,28,21,0.5659,-0.5719,0.13,-2.0
9.4193,628,9901,493.47,9971,49.93,4.08,28,21,0.5697,-0.5709,0.13,-2.05
9.5195,630,9901,503.88,9942,49.95,4.12,28,21,0.5674,-0.5705,0.09,-2.07
9.6198,630,9901,519.46,10000,49.94,4.15,29,21,0.5714,-0.5705,0.09,-2.13
9.7201,632,9934,531.05,9971,49.97,4.18,28,22,0.5731,-0.564,0.19,-2.15
9.8203,632,9967,532.77,10042,49.94,4.24,29,22,0.5695,-0.5663,0.19,-2.15
9.9206,632,9967,526.48,9914,49.93,4.15,29,22,0.5696,-0.5653,0.19,-2.38
10.0208,632,9967,522.04,10000,49.93,4.18,28,22,0.5693,-0.562,0.19,-2.44
10.1211,632,9967,529.32,10057,49.93,4.21,29,22,0.568,-0.5644,0.18,-2.49
10.2213,632,9967,529.35,10014,49.95,4.18,28,22,0.5696,-0.565,0.18,-2.45
10.3216,632,9967,524.96,9957,49.95,4.24,29,22,0.5708,-0.5624,0.19,-2.49
10.422,632,9967,525.92,9942,49.96,4.15,29,22,0.5721,-0.5587,0.19,-2.6
