time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0681,102,547,2.22,542,44.62,0.12,30,235,0.3627,-0.3667,0.24,10.74
0.1684,102,547,2.08,542,44.61,0.12,29,235,0.3636,-0.3667,0.24,10.74
0.2687,102,548,2.06,542,44.62,0.12,29,235,0.3644,-0.3675,0.31,10.74
0.3689,102,546,2.17,542,44.61,0.12,30,235,0.3644,-0.3675,0.52,10.82
0.4692,102,547,2.06,542,44.61,0.12,29,235,0.3636,-0.3675,0.52,10.82
0.5694,102,546,2.2,542,44.6,0.12,29,235,0.3645,-0.3675,0.71,10.82
0.6697,102,546,2.07,542,44.59,0.12,29,235,0.3645,-0.3672,0.71,10.82
0.7699,102,546,2.09,542,44.6,0.12,30,235,0.3646,-0.3667,0.73,10.82
0.8702,102,546,2.13,542,44.58,0.12,29,235,0.3646,-0.3672,0.73,10.79
0.9704,102,545,2.04,542,44.58,0.12,29,235,0.3645,-0.3667,0.73,10.79
1.0707,102,545,2.06,542,44.59,0.12,29,235,0.3646,-0.3663,0.75,10.74
1.1709,102,546,2.1,542,44.6,0.12,30,235,0.3646,-0.3663,0.75,10.74
1.2711,102,546,2.05,542,44.59,0.12,29,235,0.3646,-0.3663,0.75,10.7
1.3714,102,546,2.07,542,44.58,0.12,29,235,0.3646,-0.3663,0.75,10.7
1.4716,102,548,1.9,542,44.59,0.12,29,235,0.3648,-0.3663,0.75,10.7
1.5719,102,547,1.97,542,44.59,0.12,29,235,0.3648,-0.3661,0.75,10.7
1.6721,102,547,2.09,542,44.58,0.12,29,235,0.3648,-0.3661,0.8,10.7
1.7723,102,547,2.0,542,44.58,0.12,29,235,0.3648,-0.3661,0.8,10.67
1.8726,102,547,2.0,542,44.59,0.12,30,235,0.364,-0.366,0.8,10.67
1.9728,102,547,2.04,542,44.59,0.12,30,235,0.364,-0.366,0.8,10.67
2.0731,102,546,1.98,542,44.59,0.12,29,235,0.364,-0.366,0.61,10.66
2.1733,102,546,1.88,542,44.59,0.12,30,235,0.3645,-0.366,0.61,10.66
2.2736,102,546,2.01,542,44.59,0.12,29,235,0.364,-0.366,0.61,10.66
2.3738,102,546,2.05,542,44.58,0.12,29,235,0.364,-0.3661,0.61,10.66
2.474,102,546,1.92,542,44.58,0.12,29,235,0.364,-0.3661,0.61,10.66
2.5743,102,546,1.97,542,44.58,0.12,30,235,0.3645,-0.3661,0.61,10.67
2.6745,102,546,2.09,542,44.6,0.12,30,235,0.3645,-0.3661,0.61,10.67
2.7747,102,546,2.17,542,44.61,0.12,30,235,0.3645,-0.3663,0.73,10.67
2.875,102,546,2.04,542,44.6,0.12,29,235,0.3645,-0.3678,0.73,10.67
2.9752,102,546,2.05,542,44.61,0.12,29,235,0.3645,-0.3682,0.73,10.7
3.0754,102,546,1.86,542,44.61,0.12,29,235,0.3645,-0.3678,0.73,10.85
3.1757,102,547,1.91,542,44.6,0.12,29,235,0.3633,-0.3678,0.73,10.85
3.2759,102,546,2.08,542,44.6,0.12,30,235,0.3645,-0.3678,0.73,10.85
3.3762,102,546,2.19,542,44.6,0.12,29,235,0.3633,-0.3678,0.73,10.85
3.4765,102,547,2.15,542,44.6,0.12,29,235,0.3633,-0.3678,0.45,10.85
3.5767,102,547,1.97,542,44.6,0.12,30,235,0.3633,-0.3678,0.45,10.85
3.677,102,547,1.88,542,44.61,0.12,30,235,0.3633,-0.3678,0.45,10.85
3.7772,102,547,1.85,542,44.6,0.12,30,235,0.3633,-0.3678,0.45,10.85
3.8774,102,548,1.88,542,44.6,0.12,29,235,0.3633,-0.3678,0.45,10.85
3.9777,102,547,1.76,542,44.6,0.12,29,235,0.3614,-0.3668,0.45,10.85
4.078,102,547,1.95,542,44.61,0.12,29,235,0.3612,-0.3667,0.45,10.85
4.1782,102,548,1.93,542,44.6,0.12,30,235,0.3612,-0.3667,0.0,10.75
4.2788,102,548,1.85,542,44.6,0.12,29,235,0.3612,-0.3666,-0.01,10.74
4.379,102,548,2.02,542,44.59,0.12,29,235,0.3608,-0.3665,-0.01,10.74
4.4793,171,548,1.92,542,44.59,0.12,29,235,0.3612,-0.3664,-0.01,10.73
4.5795,171,548,1.96,1128,44.53,0.19,30,235,0.3608,-0.3664,-0.01,10.72
4.6798,171,1140,3.23,1557,44.58,0.28,29,235,0.3602,-0.3664,-0.04,10.71
4.78,171,1725,8.12,1800,44.58,0.35,29,235,0.3602,-0.3657,-0.04,10.71
4.8803,171,1927,12.72,1957,44.58,0.41,30,235,0.3624,-0.366,-0.04,10.71
