time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0115,114,1022,3.74,0,4.35,0.03,24,0,0.4863,-0.5081,-5.48,-5.6
0.1119,114,1021,3.84,0,4.35,0.03,24,0,0.4867,-0.5084,-5.48,-5.6
0.2122,114,1021,3.85,0,4.35,0.03,24,0,0.4867,-0.5084,-5.48,-5.59
0.3124,114,1022,3.91,0,4.35,0.03,24,0,0.4871,-0.5078,-5.48,-5.59
0.4129,114,1021,3.96,0,4.35,0.03,24,0,0.4863,-0.5074,-5.48,-5.6
0.5131,114,1021,3.93,0,4.35,0.03,24,0,0.4863,-0.5092,-5.48,-5.59
0.6134,114,1021,3.92,0,4.35,0.03,24,0,0.4857,-0.5092,-5.51,-5.59
0.7137,114,1020,4.12,0,4.35,0.03,24,0,0.4853,-0.5092,-5.51,-5.54
0.814,114,1019,4.0,0,4.35,0.03,24,0,0.4853,-0.5078,-5.55,-5.54
0.9142,114,1019,3.94,0,4.35,0.03,24,0,0.4857,-0.5092,-5.55,-5.54
1.0145,114,1020,3.87,0,4.35,0.03,24,0,0.4857,-0.5092,-5.55,-5.54
1.1147,114,1020,3.92,0,4.35,0.03,24,0,0.4853,-0.5092,-5.58,-5.54
1.2151,114,1021,3.99,0,4.35,0.03,24,0,0.4855,-0.5101,-5.57,-5.54
1.3153,114,1022,3.88,0,4.35,0.03,24,0,0.4853,-0.5101,-5.57,-5.54
1.4155,114,1022,3.87,0,4.35,0.03,24,0,0.4853,-0.51,-5.58,-5.5
1.5158,114,1020,3.79,0,4.35,0.03,24,0,0.4855,-0.508,-5.58,-5.5
1.6161,114,1020,3.97,0,4.35,0.03,24,0,0.486,-0.508,-5.57,-5.5
1.7163,114,1022,3.94,0,4.35,0.03,24,0,0.4859,-0.51,-5.57,-5.5
1.8166,114,1021,3.95,0,4.35,0.03,24,0,0.4856,-0.5095,-5.56,-5.53
1.9169,114,1022,3.99,0,4.35,0.03,24,0,0.4856,-0.5095,-5.56,-5.53
2.0171,114,1022,3.76,0,4.35,0.03,24,0,0.4859,-0.5102,-5.54,-5.53
2.1174,114,1022,3.72,0,4.35,0.03,24,0,0.4859,-0.51,-5.54,-5.5
2.2176,114,1022,3.85,0,4.35,0.03,24,0,0.486,-0.5093,-5.54,-5.53
2.3179,114,1022,3.98,0,4.35,0.03,24,0,0.4862,-0.5093,-5.54,-5.53
2.4183,114,1022,3.99,0,4.35,0.03,24,0,0.4862,-0.5093,-5.53,-5.54
2.5186,114,1022,3.98,0,4.35,0.03,24,0,0.4859,-0.5094,-5.53,-5.54
2.6188,114,1022,4.03,0,4.35,0.03,24,0,0.4859,-0.5094,-5.53,-5.54
2.7191,114,1022,3.89,0,4.35,0.03,24,0,0.4862,-0.5093,-5.52,-5.54
2.8193,114,1022,3.86,0,4.35,0.03,24,0,0.4868,-0.5083,-5.52,-5.54
2.9196,114,1022,3.89,0,4.35,0.03,24,0,0.4868,-0.5077,-5.52,-5.54
3.0198,114,1022,3.75,0,4.35,0.03,24,0,0.4842,-0.5082,-5.52,-5.59
3.12,114,1021,3.84,0,4.35,0.03,24,0,0.4842,-0.5074,-5.52,-5.6
3.2203,114,1022,3.88,0,4.35,0.03,24,0,0.4842,-0.5074,-5.66,-5.63
3.3205,114,1024,3.9,0,4.35,0.03,24,0,0.4842,-0.5082,-5.66,-5.63
3.4208,114,1024,3.91,0,4.35,0.03,24,0,0.485,-0.5082,-5.66,-5.6
3.5211,114,1022,3.93,0,4.35,0.03,24,0,0.4858,-0.5081,-5.66,-5.6
3.6213,114,1022,3.81,0,4.35,0.03,24,0,0.4858,-0.5082,-5.6,-5.6
3.7215,114,1021,3.65,0,4.35,0.03,24,0,0.4852,-0.5082,-5.59,-5.6
3.8218,114,1021,3.74,0,4.35,0.03,24,0,0.4858,-0.5082,-5.55,-5.6
3.9221,114,1021,3.76,1014,49.79,0.16,28,0,0.4858,-0.5083,-5.55,-5.6
4.0223,114,1020,3.86,1014,49.8,0.16,28,0,0.4858,-0.5081,-5.55,-5.6
4.1226,114,1020,3.87,1014,49.79,0.16,28,0,0.4858,-0.5073,-5.55,-5.6
4.2228,114,1020,3.65,1014,49.81,0.16,28,0,0.4858,-0.5066,-5.55,-5.6
4.3231,114,1022,3.8,1028,49.81,0.16,28,0,0.4858,-0.5066,-5.55,-5.65
4.4236,114,1019,3.9,1014,49.81,0.16,28,0,0.4853,-0.5066,-5.55,-5.69
4.5239,114,1021,3.86,1028,49.8,0.16,28,0,0.4837,-0.5097,-5.55,-5.69
4.6241,114,1021,3.88,1014,49.79,0.16,28,0,0.4837,-0.5066,-5.58,-5.69
4.7244,114,1023,3.86,1028,49.8,0.16,28,0,0.4847,-0.5066,-5.62,-5.69
4.8247,114,1021,3.76,1014,49.79,0.16,28,0,0.4847,-0.5086,-5.62,-5.69
4.9249,114,1021,3.7,1014,49.81,0.16,28,0,0.485,-0.509,-5.62,-5.58
5.0252,114,1022,3.79,1014,49.79,0.16,28,0,0.4859,-0.5094,-5.62,-5.58
5.1254,114,1021,3.94,1014,49.79,0.16,28,0,0.4859,-0.5094,-5.6,-5.55
5.2256,114,1022,3.98,1028,49.79,0.16,28,0,0.4859,-0.509,-5.54,-5.55
5.326,114,1022,3.92,1028,49.79,0.16,28,0,0.4867,-0.509,-5.54,-5.55
5.4263,114,1022,3.73,1014,49.79,0.16,28,0,0.4871,-0.5086,-5.54,-5.55
5.5265,114,1022,3.59,1014,49.8,0.16,28,0,0.4871,-0.5086,-5.48,-5.55
5.6268,114,1021,3.77,1014,49.8,0.19,28,0,0.4881,-0.5086,-5.46,-5.58
5.7271,114,1021,3.92,1014,49.8,0.19,29,0,0.4881,-0.5086,-5.46,-5.58
5.8273,114,1022,4.01,1014,49.8,0.19,28,0,0.4873,-0.5085,-5.44,-5.58
5.9276,114,1022,3.72,1028,49.79,0.19,28,0,0.4867,-0.5085,-5.44,-5.58
6.0279,114,1022,3.81,1028,49.8,0.19,28,0,0.4861,-0.5086,-5.44,-5.58
