time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0403,319,5199,73.03,5257,50.8,1.15,28,3,2.18,1.17,-1.89,-0.32
0.1405,319,5263,72.55,5257,50.79,1.15,28,3,2.19,1.15,-1.89,-0.32
0.2407,319,5263,71.61,5228,50.77,1.15,28,3,2.17,1.16,-1.89,0.2
0.3411,319,5217,71.03,5242,50.79,1.12,28,3,2.19,1.17,-1.89,0.2
0.4413,319,5235,70.93,5257,50.8,1.12,28,3,2.19,1.15,-1.29,0.2
0.5415,319,5217,70.75,5242,50.82,1.12,28,3,2.18,1.17,-1.29,0.2
0.6418,319,5235,70.84,5257,50.8,1.12,28,3,2.19,1.17,-1.29,-0.32
0.742,319,2622,71.95,5257,50.8,1.12,28,3,2.18,1.17,-1.29,-0.32
0.8422,319,5102,73.22,5242,50.78,1.12,28,3,2.19,1.17,-1.29,-0.32
0.9424,319,5235,74.0,5242,50.77,1.12,28,3,2.18,1.17,-1.89,-0.32
1.0429,319,5244,75.22,5242,50.8,1.12,28,3,2.19,1.17,-1.29,-0.32
1.144,319,4991,74.97,5257,50.79,1.12,28,3,2.19,1.5,-1.29,-0.32
1.2442,319,2615,74.27,5257,50.79,1.12,29,3,2.19,1.17,-1.29,-0.32
1.3444,319,5235,73.31,5257,50.79,1.12,29,3,2.19,1.16,-1.29,-0.32
1.4446,319,5199,72.54,5257,50.79,1.15,29,3,2.2,1.17,-1.29,-0.32
1.5449,319,5181,72.42,5242,50.81,1.15,28,3,2.12,1.17,-1.29,-0.32
1.6451,319,5217,72.53,5242,50.8,1.15,28,3,2.19,1.15,-1.29,-0.32
1.7453,319,5102,72.87,5242,50.78,1.15,29,3,2.18,1.17,-1.29,-0.32
1.8455,319,5226,72.99,5242,50.8,1.12,29,3,2.19,1.16,-1.29,-0.32
1.9457,319,5226,72.8,5228,50.8,1.12,28,3,2.18,1.15,-1.89,0.2
2.046,319,5181,72.16,5257,50.82,1.09,28,3,2.17,1.17,-1.89,0.2
2.1462,319,5226,71.57,5257,50.81,1.12,29,3,2.18,1.14,-1.89,0.2
2.2467,319,5235,71.0,5242,50.81,1.12,28,3,2.18,1.5,-1.89,0.2
2.347,319,5199,70.82,5228,50.8,1.12,29,3,2.19,1.13,-1.89,0.58
2.4472,319,2620,69.91,5242,50.79,1.12,29,3,2.17,1.17,-1.89,-0.32
2.5474,319,2620,70.07,5242,50.79,1.12,29,4,2.19,1.15,-1.89,0.58
2.6476,319,5244,71.0,5257,50.79,1.12,29,4,2.18,1.17,-1.89,-0.32
2.7479,319,5199,71.52,5228,50.79,1.12,29,4,2.19,1.16,-1.29,0.2
2.8481,319,2620,71.58,5242,50.79,1.15,28,4,2.18,1.17,-1.89,-0.32
2.9483,319,2626,71.21,5271,50.81,1.12,28,4,2.17,1.17,-1.89,-0.32
3.0492,319,5244,70.55,5257,50.77,1.12,29,4,2.19,1.16,-1.89,-0.32
3.1495,319,2620,70.21,5257,50.78,1.12,29,4,2.19,1.16,-1.29,0.2
3.2504,319,2624,70.96,5242,50.77,1.12,29,4,2.18,1.17,-1.89,-0.32
3.3506,319,5154,72.16,5242,50.79,1.15,29,4,2.15,1.16,-1.89,0.2
3.4509,319,2626,72.87,5257,50.79,1.15,29,4,2.18,1.39,-1.89,0.2
3.5511,319,5181,71.66,5257,50.77,1.15,29,4,2.17,1.17,-1.89,-0.32
3.6513,319,5076,69.77,5242,50.78,1.12,30,4,2.19,1.17,-1.89,-0.32
3.7516,319,5208,67.61,5242,50.79,1.12,29,4,2.18,1.13,-1.89,-0.32
3.8518,319,5244,68.29,5257,50.78,1.12,29,4,2.18,1.17,-1.89,-0.32
3.952,319,5208,68.66,5257,50.8,1.09,29,4,2.18,1.16,-1.89,-0.32
4.0527,319,5226,68.46,5228,50.76,1.12,29,4,2.18,1.08,-1.89,0.2
4.1529,353,5208,68.97,5342,50.79,1.12,29,4,2.18,1.17,-1.89,0.2
4.2532,353,5671,71.18,5728,50.78,1.28,29,4,2.18,1.15,-1.89,0.2
4.3534,353,5725,76.91,5742,50.75,1.32,29,4,2.18,1.17,-1.89,0.2
4.4537,353,2887,85.26,5771,50.77,1.38,29,4,2.2,1.16,-1.89,0.2
4.5539,353,2876,85.58,5785,50.77,1.38,29,4,2.18,1.17,-1.89,-0.32
4.6541,353,2881,88.61,5742,50.77,1.41,29,4,2.18,1.17,-1.89,-0.32
4.7543,353,2879,90.14,5757,50.78,1.32,29,4,2.18,1.15,-1.89,-0.32
4.8546,353,2876,90.12,5785,50.77,1.32,29,4,2.18,1.17,-1.89,-0.32
4.9548,353,2876,89.69,5757,50.77,1.32,30,4,2.18,1.17,-1.89,-0.32
5.055,353,2873,89.67,5728,50.77,1.35,30,4,2.19,1.17,-1.89,-0.32
5.1552,353,5758,89.61,5742,50.77,1.38,29,4,2.18,1.15,-1.89,-0.32
5.2554,353,2879,89.48,5771,50.77,1.38,30,4,2.19,1.15,-1.89,-0.32
5.3557,353,2879,90.46,5757,50.79,1.38,29,4,2.17,1.15,-1.89,0.58
5.4559,353,5736,91.17,5785,50.77,1.38,30,4,2.19,1.17,-1.29,0.58
5.5561,381,5747,93.09,5814,50.78,1.35,29,5,1.87,1.14,-1.89,0.58
5.6563,381,3089,93.84,6142,50.75,1.48,29,5,2.19,1.16,-1.29,0.58
5.7569,381,3095,98.68,6171,50.77,1.51,30,5,1.93,1.15,-2.5,0.58
5.8571,381,6134,102.22,6171,50.77,1.54,30,5,2.18,1.14,-1.89,0.58
5.9574,381,3095,101.26,6185,50.77,1.57,30,5,2.17,1.17,-2.5,0.58
6.0576,381,6134,100.73,6185,50.77,1.51,30,5,2.18,1.16,-1.89,0.2
6.1578,381,6085,100.65,6185,50.77,1.44,30,5,2.17,1.15,-2.5,0.58
6.258,381,3089,99.57,6185,50.77,1.44,30,5,2.17,1.16,-2.5,0.2
6.3583,381,3086,100.33,6185,50.76,1.44,30,5,2.19,1.1,-2.5,0.2
6.4586,381,3083,102.01,6171,50.76,1.44,30,5,2.17,1.17,-2.5,0.2
6.5588,404,3250,102.55,6542,50.77,1.57,30,5,2.17,1.16,-2.5,0.2
6.659,404,6355,108.1,6500,50.75,1.6,30,5,2.18,1.16,-2.5,0.2
6.7593,404,6493,112.71,6528,50.77,1.64,30,5,2.18,1.14,-1.89,0.2
6.8595,404,3264,112.0,6571,50.75,1.67,30,5,2.15,1.15,-2.5,0.2
6.9597,404,6507,112.53,6528,50.75,1.6,30,5,2.17,1.16,-2.5,0.2
7.0599,404,3260,113.19,6514,50.77,1.6,30,5,2.17,1.16,-2.5,0.2
7.1601,404,3246,111.9,6500,50.75,1.6,30,5,2.18,1.16,-2.5,0.2
7.2603,404,3264,110.62,6557,50.77,1.6,30,5,2.15,1.16,-2.5,0.2
7.361,421,6493,111.15,6557,50.76,1.6,29,5,2.16,1.13,-2.5,0.2
7.4612,421,3264,112.15,6557,50.77,1.57,30,5,2.16,1.14,-3.11,0.2
7.5615,421,6787,113.72,6742,50.74,1.7,30,5,2.17,1.16,-3.11,0.2
7.6617,421,6741,120.84,6828,50.75,1.77,30,6,2.17,1.16,-3.11,0.2
7.7619,421,9036,128.97,6814,50.76,1.77,30,6,2.18,1.12,-2.5,0.97
7.8622,421,3401,132.43,6828,50.76,1.8,30,6,1.93,1.15,-2.5,0.58
7.9624,421,6741,133.56,6828,50.75,1.73,30,6,2.2,1.16,-2.5,0.2
8.0626,421,6681,135.2,6800,50.75,1.73,30,6,2.2,1.14,-1.89,0.58
8.1628,421,6772,136.42,6828,50.75,1.73,30,6,2.21,1.16,-0.68,0.58
8.263,421,6787,136.63,6757,50.75,1.77,30,6,2.18,1.15,-0.68,0.58
8.3632,421,3397,137.55,6771,50.75,1.8,30,6,2.18,1.13,-0.68,0.58
8.4634,421,6741,138.29,6828,50.75,1.77,30,6,2.2,1.16,-0.68,0.58
8.5636,444,2290,138.8,6828,50.74,1.73,30,6,2.2,1.15,-0.68,0.58
8.6639,444,7194,138.83,7200,50.7,1.93,30,6,2.19,1.15,-1.29,0.58
8.7641,444,3601,143.49,7214,50.73,1.96,30,6,2.2,1.16,-0.68,0.58
8.8643,444,7177,151.37,7228,50.75,1.99,30,6,2.2,1.14,-0.68,0.58
8.9645,444,7177,154.07,7214,50.75,2.02,30,6,2.19,1.14,-0.68,0.58
9.0647,444,7159,156.03,7200,50.75,1.93,30,6,2.23,1.15,-0.68,0.58
9.1649,444,7109,158.92,7200,50.76,1.89,30,6,2.2,1.15,-0.68,0.58
9.2651,444,7142,157.12,7185,50.75,1.93,30,6,2.19,1.51,-0.68,0.58
9.3654,444,3605,154.88,7214,50.73,1.93,30,6,2.15,1.16,-1.29,0.58
9.4656,444,7194,154.49,7242,50.73,1.93,30,6,2.21,1.15,-0.68,0.58
9.5658,444,7109,154.58,7200,50.75,1.93,30,6,2.19,1.16,-1.29,0.2
9.666,444,7159,156.31,7257,50.73,1.93,30,7,2.2,1.16,-1.29,0.2
9.7664,444,7159,158.9,7242,50.73,1.93,30,7,2.22,1.15,-0.68,0.2
9.8666,444,3605,159.49,7200,50.74,1.93,30,7,2.19,1.16,-0.68,0.2
9.9668,444,7177,158.36,7185,50.75,1.93,30,7,1.89,1.15,-1.29,0.2
10.0671,444,7142,158.76,7257,50.72,1.96,30,7,2.2,1.15,-0.68,0.58
10.1673,444,7194,158.18,7214,50.73,1.96,30,7,2.21,1.16,-0.68,0.58
10.2675,467,3773,157.53,7528,50.71,2.09,30,7,2.21,1.17,-0.68,0.2
10.3677,467,7500,162.62,7571,50.71,2.12,30,7,2.21,1.17,-0.07,0.2
10.4679,467,7481,170.65,7571,50.74,2.15,30,7,2.2,1.13,-0.07,0.2
10.5681,467,7407,172.06,7557,50.72,2.15,30,7,2.18,1.15,-0.07,0.2
10.6685,467,3778,172.18,7557,50.74,2.09,30,7,2.19,1.17,-0.68,-0.32
10.7687,467,7500,173.18,7542,50.72,2.06,30,7,2.19,1.17,-1.29,-0.32
10.869,467,7518,173.67,7571,50.71,2.06,30,7,1.93,1.15,-1.29,0.58
10.9692,467,7575,174.07,7542,50.72,2.06,30,7,2.19,1.15,-1.29,0.58
11.0694,467,7518,174.86,7614,50.73,2.06,30,7,2.19,1.15,-1.29,0.58
11.1696,467,7556,176.43,7500,50.73,2.02,30,7,2.21,1.16,-1.29,0.58
11.2698,467,7537,176.89,7585,50.71,2.02,30,7,2.2,1.16,-1.29,0.58
11.37,467,7556,174.66,7571,50.71,2.02,30,7,2.19,1.16,-1.29,0.2
11.4703,467,7481,173.26,7571,50.7,2.02,30,7,2.21,1.16,-0.68,0.2
11.5705,467,7556,173.76,7585,50.71,2.02,31,7,2.2,1.15,-0.68,0.2
11.6707,467,7518,175.48,7571,50.72,2.06,30,7,2.19,1.42,-0.68,0.2
11.7709,489,7556,177.16,7614,50.71,2.09,30,8,2.21,1.16,-0.68,0.2
11.8713,489,7853,174.19,7914,50.7,2.25,30,8,2.2,1.16,-0.68,0.2
11.9715,489,7894,182.55,7942,50.69,2.25,30,8,2.2,1.15,-0.68,0.2
12.0717,489,7936,189.43,7942,50.71,2.31,30,8,2.22,1.15,-0.68,0.2
12.1719,489,7894,190.47,7957,50.72,2.35,30,8,2.22,1.15,-0.07,0.58
12.2722,489,2645,188.96,7971,50.69,2.28,30,8,2.19,1.17,-0.68,0.58
12.3725,489,7957,188.19,7928,50.72,2.28,30,8,2.2,1.16,-0.68,0.58
12.4728,489,7936,189.05,7985,50.71,2.25,30,8,2.21,1.14,-0.07,0.58
12.5731,489,7936,188.49,7971,50.69,2.22,30,8,2.21,1.15,-0.07,0.58
12.6733,489,7957,188.35,7957,50.71,2.25,31,8,2.19,1.17,-0.68,0.2
12.7736,489,7936,192.9,7957,50.71,2.22,31,8,2.19,1.15,-0.68,0.58
12.8739,489,7936,195.46,8014,50.69,2.25,31,8,2.21,1.15,-0.07,0.58
12.9744,489,3978,193.8,8000,50.7,2.25,30,8,2.21,1.2,-0.07,0.58
13.0746,489,7957,190.78,7971,50.71,2.28,30,8,2.19,1.17,-1.29,-0.32
13.1749,535,3957,186.76,7942,50.69,2.28,31,8,2.2,1.15,-0.68,0.58
13.2751,535,8645,183.97,8528,50.63,2.47,31,8,2.2,1.17,-0.68,-0.32
13.3754,535,8645,189.66,8628,50.64,2.6,31,8,2.21,1.15,-0.68,-0.32
13.4757,535,8645,212.17,8700,50.68,2.67,31,8,2.19,1.17,-0.68,-0.32
13.5759,535,8982,231.81,8757,50.68,2.83,31,8,2.22,1.17,-0.68,-0.32
13.6761,535,8595,239.22,8714,50.69,2.86,31,8,2.19,1.15,-0.68,-0.32
13.7764,535,8670,244.43,8614,50.67,2.73,31,9,2.19,1.15,-1.29,0.58
13.8767,535,8645,240.61,8657,50.67,2.73,31,9,2.22,1.16,-1.29,0.2
13.9769,535,8670,238.16,8814,50.69,2.7,32,9,2.18,1.16,-1.29,0.2
14.0773,535,8670,237.65,8757,50.69,2.7,31,9,2.18,1.17,-1.29,0.2
