time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.032,0,26087,0.9,0,4.86,0.03,27,13,0.031,0.0216,-30.0,-30.0
0.1322,0,41667,0.9,0,4.86,0.03,27,13,0.0309,0.0219,-30.0,-30.0
0.2325,0,34884,0.9,0,4.86,0.03,27,13,0.0299,0.0209,-30.0,-30.0
0.3327,0,23256,0.99,0,4.86,0.03,27,13,0.0297,0.0209,-30.0,-30.0
0.433,0,28571,0.99,0,4.86,0.03,27,13,0.0297,0.0207,-30.0,-30.0
0.5333,0,27778,0.99,0,4.86,0.03,27,13,0.0295,0.0208,-30.0,-30.0
0.6335,0,24590,0.99,0,4.86,0.03,27,13,0.0309,0.0215,-30.0,-30.0
0.7338,0,26316,0.99,0,4.86,0.03,27,13,0.03,0.0204,-30.0,-30.0
0.834,0,37500,0.99,0,4.86,0.03,27,13,0.0304,0.0205,-30.0,-30.0
0.9343,0,28571,0.99,0,4.86,0.03,27,13,0.0293,0.0214,-30.0,-30.0
1.0345,0,18519,0.99,0,4.86,0.03,27,13,0.0317,0.0214,-30.0,-30.0
1.1347,0,23437,0.99,0,4.86,0.03,27,13,0.0302,0.0203,-30.0,-30.0
1.235,0,28302,0.99,0,4.86,0.03,27,13,0.031,0.0212,-30.0,-30.0
1.3352,0,41096,0.91,0,4.86,0.03,27,13,0.0293,0.0205,-30.0,-30.0
1.4363,0,20979,0.91,0,4.86,0.03,27,13,0.0303,0.0202,-30.0,-30.0
1.5365,0,18868,0.91,0,4.86,0.03,27,13,0.0299,0.021,-30.0,-30.0
1.6368,0,21583,0.91,0,4.86,0.03,27,13,0.0315,0.0213,-30.0,-30.0
1.7371,0,18182,0.91,0,4.86,0.03,27,13,0.0299,0.02,-30.0,-30.0
1.8373,0,30000,0.91,0,4.86,0.03,27,13,0.0297,0.0212,-30.0,-30.0
1.9375,0,28571,0.91,0,4.86,0.03,27,13,0.03,0.0213,-30.0,-30.0
2.0377,0,38961,0.91,0,4.86,0.03,27,13,0.0311,0.021,-30.0,-30.0
2.1379,0,36145,0.91,0,4.86,0.03,27,13,0.0292,0.0197,-30.0,-30.0
2.2382,0,30612,0.91,0,4.86,0.03,27,13,0.0298,0.0215,-30.0,-30.0
2.3384,0,30303,0.97,0,4.86,0.03,27,13,0.0299,0.0214,-30.0,-30.0
2.4388,0,22556,0.97,0,4.86,0.03,27,13,0.0302,0.0216,-30.0,-30.0
2.539,0,20979,0.97,0,4.86,0.03,27,13,0.0298,0.02,-30.0,-30.0
2.6393,0,37975,0.97,0,4.86,0.03,27,13,0.0293,0.0214,-30.0,-30.0
2.7396,0,36145,0.97,0,4.86,0.03,27,13,0.0293,0.0211,-30.0,-30.0
2.8398,0,31915,0.97,0,4.86,0.03,27,13,0.0294,0.0209,-30.0,-30.0
2.94,0,35714,0.97,0,4.86,0.03,27,13,0.0295,0.02,-30.0,-30.0
3.0402,0,16854,0.97,0,4.86,0.03,27,13,0.0308,0.0215,-30.0,-30.0
3.1404,0,29703,0.97,0,4.86,0.03,27,13,0.0298,0.021,-30.0,-30.0
3.2406,0,35294,0.97,0,4.86,0.03,27,13,0.0298,0.0202,-30.0,-30.0
3.3409,0,37500,1.04,0,4.86,0.03,27,13,0.0312,0.0221,-30.0,-30.0
3.4412,0,26316,1.04,0,4.86,0.03,27,13,0.0302,0.0203,-30.0,-30.0
3.5414,65,21583,1.04,0,4.86,0.03,27,13,0.0295,0.0202,-30.0,-30.0
3.6416,65,24194,1.04,0,4.86,0.03,27,13,0.03,0.0196,-30.0,-30.0
3.7419,65,18405,1.04,0,4.86,0.03,27,13,0.03,0.0196,-30.0,-30.0
3.8422,47,18405,1.04,0,4.86,0.03,27,13,0.0316,0.0196,-30.0,-30.0
3.9424,47,18405,1.04,0,4.86,0.03,27,13,0.0316,0.0188,-30.0,-30.0
4.0426,47,3308,1.04,0,4.86,0.03,27,13,0.0316,0.0188,-30.0,-30.0
4.1428,47,495,1.04,0,4.86,0.03,27,13,0.0328,0.0188,-30.0,-30.0
4.243,57,495,1.04,0,4.86,0.03,27,13,0.0328,0.0188,-30.0,-30.0
4.3433,57,495,1.7,0,4.86,0.03,27,13,0.0328,0.0188,-30.0,-30.0
4.4435,47,25424,1.7,0,4.86,0.03,27,13,0.0323,0.0184,-30.0,-30.0
4.5442,47,8310,1.7,0,4.86,0.03,27,13,0.0323,0.0184,-30.0,-30.0
4.6444,47,8310,1.7,0,4.86,0.03,27,13,0.0323,0.0176,-30.0,-30.0
4.7447,47,2947,1.7,0,4.86,0.03,27,13,0.0332,0.0176,-30.0,-30.0
4.8449,59,582,1.7,0,4.86,0.03,27,13,0.0332,0.008,-30.0,-30.0
4.9451,59,582,1.7,0,4.86,0.03,27,13,0.0332,0.0068,-30.0,-30.0
5.0454,79,4862,1.7,0,4.86,0.03,27,13,0.0343,0.0068,-30.0,-30.0
5.1456,79,5190,1.7,0,4.86,0.03,27,13,0.0343,-0.6105,-30.0,-30.0
5.2458,99,5190,1.7,0,4.86,0.03,27,13,0.0343,-0.6142,-30.0,-30.0
5.346,99,5190,2.55,0,4.86,0.03,27,13,0.0343,-0.6142,-30.0,0.05
5.4464,119,594,2.55,0,4.86,0.03,27,13,0.0343,-0.6172,-30.0,0.19
5.5467,119,594,2.55,0,4.86,0.03,27,13,0.0353,-0.6172,-30.0,0.19
5.6469,139,759,2.55,0,4.86,0.03,27,13,0.0414,-0.6172,-30.0,0.3
5.7472,139,1024,2.55,0,4.86,0.03,27,13,0.5598,-0.617,-30.0,0.3
5.8474,159,1327,2.55,0,4.86,0.03,27,13,0.5615,-0.6172,-30.0,0.3
5.9477,159,1749,2.55,0,4.86,0.03,27,13,0.5643,-0.617,-0.39,0.3
6.0479,179,1967,2.55,0,4.86,0.03,27,13,0.5674,-0.617,-0.27,0.29
6.1481,179,2372,2.55,0,4.86,0.03,27,13,0.5716,-0.6244,-0.08,0.29
6.2484,199,2540,2.55,0,4.86,0.03,27,13,0.5759,-0.63,0.09,0.3
6.3487,199,2773,32.29,0,4.86,0.03,27,13,0.5779,-0.6324,0.28,0.57
6.4489,219,3018,32.29,0,4.86,0.03,27,13,0.5786,-0.6359,0.47,0.78
6.5492,219,3233,32.29,0,4.86,0.03,27,13,0.5794,-0.6369,0.56,0.87
6.6494,239,3417,32.29,0,4.86,0.03,27,13,0.577,-0.636,0.56,1.01
6.7497,239,3672,32.29,0,4.86,0.03,27,13,0.5784,-0.6352,0.58,1.01
6.8499,259,3876,32.29,0,4.86,0.03,27,13,0.5785,-0.6358,0.59,1.01
6.9502,259,4021,32.29,0,4.86,0.03,27,13,0.5791,-0.6358,0.59,1.0
7.0504,279,4231,32.29,0,4.86,0.03,27,13,0.5791,-0.6361,0.59,1.0
7.1507,279,4323,32.29,0,4.86,0.03,27,13,0.5793,-0.631,0.61,1.0
7.2509,299,4594,32.29,0,4.86,0.03,27,13,0.5818,-0.6288,0.61,1.0
7.3511,299,4702,99.55,0,4.86,0.03,27,13,0.5961,-0.605,0.62,0.82
7.4513,319,4792,99.55,0,4.86,0.03,27,13,0.599,-0.6046,0.73,0.74
7.5516,319,5076,99.55,0,4.86,0.03,27,13,0.5943,-0.6165,1.29,0.27
7.6518,339,5190,99.55,0,4.86,0.03,27,13,0.5942,-0.6167,1.29,0.27
7.752,339,5396,99.55,0,4.86,0.03,27,13,0.5884,-0.6191,1.29,0.27
7.8523,359,5556,99.55,0,4.86,0.03,27,13,0.5867,-0.6205,1.29,0.28
7.9525,359,5682,99.55,0,4.86,0.03,27,13,0.5762,-0.6327,1.03,0.37
8.0527,379,5859,99.55,0,4.86,0.03,27,13,0.5744,-0.6329,0.95,0.42
8.153,379,5976,99.55,0,4.86,0.03,27,13,0.57,-0.6367,0.48,0.88
8.2532,399,6224,99.55,0,4.86,0.03,27,13,0.5719,-0.6335,0.4,0.89
8.3535,399,6303,188.87,0,4.86,0.03,27,13,0.5765,-0.626,0.4,0.89
8.4537,419,6550,188.87,0,4.86,0.03,27,13,0.5808,-0.6255,0.4,0.89
8.554,419,6608,188.87,0,4.86,0.03,27,13,0.5814,-0.6241,0.5,0.63
8.6542,439,6834,188.87,0,4.86,0.03,27,13,0.5776,-0.6241,0.55,0.61
8.7545,439,6928,188.87,0,4.86,0.03,27,13,0.5736,-0.6284,0.55,0.61
8.8548,459,7194,188.87,0,4.86,0.03,27,13,0.5683,-0.6292,0.55,0.61
8.955,459,7246,188.87,0,4.86,0.03,27,13,0.566,-0.627,0.37,0.67
9.0553,479,7519,188.87,0,4.86,0.03,27,13,0.5643,-0.6232,0.13,0.67
