time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0679,188,2443,-12.02,2442,44.57,0.51,27,14,0.4877,-0.5428,-5.89,-1.84
0.1682,188,2443,-12.72,2442,44.57,0.51,27,14,0.4873,-0.5412,-5.86,-1.84
0.2685,188,2445,-12.8,2442,44.57,0.51,27,14,0.4873,-0.542,-5.86,-1.9
0.3688,188,2443,-12.8,2442,44.57,0.51,27,14,0.4859,-0.5421,-5.86,-1.94
0.469,188,2443,-12.66,2442,44.57,0.51,27,14,0.4858,-0.5432,-5.86,-1.94
0.5693,188,2443,-12.16,2442,44.57,0.51,27,14,0.4867,-0.544,-5.9,-1.94
0.6696,188,2445,-12.55,2442,44.57,0.51,27,14,0.4858,-0.5444,-5.95,-1.88
0.7698,188,2443,-13.08,2442,44.56,0.51,27,14,0.4866,-0.5444,-5.95,-1.83
0.8701,188,2443,-13.02,2442,44.56,0.51,27,14,0.4866,-0.5442,-5.9,-1.82
0.9703,188,2443,-13.08,2442,44.57,0.51,27,14,0.4866,-0.5446,-5.9,-1.81
1.0706,188,2443,-13.08,2442,44.57,0.51,27,14,0.4883,-0.5451,-5.9,-1.81
1.171,188,2443,-12.8,2442,44.57,0.51,27,14,0.4883,-0.545,-5.9,-1.8
1.2713,188,2443,-12.4,2442,44.57,0.51,27,14,0.4862,-0.545,-5.9,-1.77
1.3715,188,2443,-12.46,2442,44.57,0.51,27,14,0.4853,-0.5439,-5.9,-1.77
1.4718,188,2443,-12.71,2442,44.57,0.51,27,14,0.4851,-0.5424,-5.93,-1.77
1.5721,188,2443,-12.64,2442,44.57,0.51,27,14,0.4852,-0.5425,-5.99,-1.84
1.6723,188,2443,-12.49,2442,44.57,0.51,27,14,0.4861,-0.5425,-5.99,-1.92
1.7726,188,2445,-12.63,2442,44.57,0.51,27,14,0.4867,-0.5425,-5.99,-1.92
1.8728,188,2443,-12.61,2442,44.57,0.51,27,14,0.4867,-0.5426,-5.94,-1.92
1.973,188,2443,-12.21,2442,44.57,0.51,27,14,0.4862,-0.5432,-5.93,-1.92
2.0734,188,2443,-12.51,2442,44.57,0.51,27,14,0.4856,-0.5422,-5.93,-1.92
2.1737,188,2445,-12.67,2442,44.57,0.51,27,14,0.4862,-0.5432,-5.93,-1.91
2.2739,250,2700,-12.38,2814,44.55,0.61,27,14,0.4862,-0.5421,-5.93,-1.91
2.3744,250,3080,-13.24,3242,44.55,0.77,27,14,0.486,-0.54,-5.93,-1.94
2.4746,250,3348,-18.19,3371,44.58,0.86,27,14,0.486,-0.5332,-5.94,-1.94
2.5749,250,3394,-24.76,3414,44.59,0.93,27,14,0.4877,-0.5285,-5.93,-2.07
2.6751,250,3405,-28.94,3400,44.59,0.9,27,14,0.4874,-0.5255,-5.93,-2.46
2.7754,250,3409,-30.18,3414,44.57,0.83,27,14,0.4869,-0.5239,-5.89,-2.74
2.8756,250,3405,-29.76,3414,44.56,0.83,27,14,0.4867,-0.5237,-5.89,-2.92
2.9759,250,3409,-29.86,3414,44.57,0.83,27,14,0.4868,-0.5236,-5.89,-3.01
3.0761,250,3409,-29.92,3414,44.57,0.83,27,14,0.4871,-0.5238,-5.89,-3.02
3.1764,250,3405,-29.54,3414,44.57,0.83,27,14,0.488,-0.5245,-5.89,-3.02
3.2767,250,3405,-29.76,3414,44.57,0.83,27,14,0.4893,-0.5242,-5.87,-3.02
3.3769,250,3405,-30.29,3414,44.56,0.83,27,14,0.4883,-0.5218,-5.82,-3.02
3.4776,250,3405,-30.77,3414,44.57,0.86,27,14,0.4872,-0.5214,-5.82,-3.02
3.5778,250,3409,-31.77,3414,44.57,0.86,28,14,0.4883,-0.5211,-5.8,-3.13
3.6781,250,3409,-31.49,3414,44.56,0.86,27,14,0.4873,-0.5203,-5.8,-3.16
3.7783,250,3405,-30.09,3400,44.57,0.86,27,14,0.4866,-0.5208,-5.86,-3.17
3.8786,250,3409,-30.03,3414,44.57,0.83,27,14,0.4866,-0.5212,-5.87,-3.17
3.9788,250,3409,-30.44,3414,44.57,0.83,27,14,0.4865,-0.5203,-5.9,-3.19
4.0791,250,3405,-29.81,3400,44.57,0.83,27,14,0.487,-0.5202,-5.9,-3.22
4.1794,250,3405,-29.65,3414,44.57,0.83,27,14,0.4848,-0.5193,-5.9,-3.22
4.2797,250,3405,-29.75,3414,44.57,0.83,27,14,0.4844,-0.5213,-5.91,-3.22
4.3801,250,3405,-29.57,3414,44.57,0.83,27,14,0.4852,-0.5219,-5.99,-3.22
4.4804,250,3409,-29.0,3414,44.57,0.83,27,14,0.4865,-0.5228,-5.99,-3.16
4.5806,250,3405,-29.5,3400,44.57,0.86,27,14,0.4863,-0.5213,-5.99,-3.16
4.6809,250,3409,-30.47,3414,44.57,0.83,27,14,0.4873,-0.5192,-5.92,-3.16
4.7811,250,3409,-30.41,3414,44.57,0.83,27,14,0.4873,-0.5195,-5.91,-3.16
4.8813,250,3405,-30.36,3400,44.57,0.86,27,14,0.4887,-0.5202,-5.86,-3.23
4.9816,279,3429,-30.32,3485,44.56,0.86,27,14,0.4883,-0.5198,-5.86,-3.25
5.0818,279,3778,-30.31,3785,44.57,0.99,28,14,0.4883,-0.5157,-5.8,-3.27
5.1821,279,3812,-30.85,3814,44.57,1.03,27,15,0.487,-0.5117,-5.8,-3.27
5.2823,279,3817,-34.98,3842,44.57,1.06,27,15,0.489,-0.5104,-5.8,-3.49
5.3826,279,3817,-38.34,3842,44.58,1.09,28,15,0.4891,-0.5106,-5.8,-3.72
5.4829,279,3817,-38.85,3814,44.58,1.03,28,15,0.4874,-0.509,-5.8,-3.79
5.5832,279,3812,-39.47,3842,44.57,1.03,28,15,0.4895,-0.5098,-5.76,-3.8
5.6834,279,3812,-39.66,3814,44.56,1.03,27,15,0.4885,-0.5097,-5.76,-3.83
5.7837,279,3812,-40.0,3828,44.57,1.03,27,15,0.4869,-0.508,-5.79,-3.84
5.8839,279,3812,-39.73,3814,44.57,1.03,27,15,0.4859,-0.5069,-5.86,-3.88
5.9841,279,3817,-38.95,3814,44.57,1.03,28,15,0.4859,-0.5078,-5.89,-3.94
6.0844,279,3812,-37.43,3814,44.58,1.03,27,15,0.4859,-0.5083,-5.95,-3.94
6.1848,279,3812,-38.06,3814,44.58,1.03,28,15,0.4863,-0.5085,-5.95,-3.94
6.285,279,3812,-38.89,3814,44.57,1.03,28,15,0.4874,-0.5078,-5.95,-3.95
6.3855,279,3817,-39.5,3814,44.57,1.03,28,15,0.4882,-0.5082,-5.92,-3.93
6.4857,199,3812,-38.82,3814,44.57,1.03,27,15,0.4882,-0.5085,-5.86,-3.92
6.586,199,3148,-38.8,3000,47.79,0.86,28,15,0.4875,-0.5109,-5.85,-3.91
6.6863,199,2669,-37.23,2657,44.56,0.64,28,15,0.4848,-0.5142,-5.85,-3.91
6.7866,199,2627,-27.43,2628,44.55,0.51,28,15,0.4807,-0.5186,-5.85,-3.77
6.8869,199,2609,-17.23,2600,44.56,0.41,28,15,0.4803,-0.519,-6.02,-3.58
6.9872,199,2604,-14.95,2600,44.58,0.51,28,15,0.4803,-0.5189,-6.27,-3.32
7.0874,199,2602,-14.89,2600,44.58,0.54,27,15,0.4803,-0.5199,-6.29,-3.3
7.1877,199,2604,-14.9,2600,44.58,0.54,28,15,0.4802,-0.5199,-6.29,-3.3
7.288,199,2602,-14.9,2614,44.58,0.54,28,15,0.4802,-0.5224,-6.29,-3.24
7.3883,199,2604,-14.7,2600,44.58,0.54,28,15,0.4802,-0.521,-6.3,-3.24
7.4885,199,2602,-14.48,2600,44.58,0.54,28,15,0.4802,-0.5196,-6.3,-3.24
7.5887,199,2602,-14.65,2600,44.58,0.54,28,15,0.4802,-0.5196,-6.3,-3.24
7.689,199,2602,-15.3,2600,44.58,0.54,28,15,0.4809,-0.5196,-6.3,-3.26
7.7892,199,2602,-15.33,2600,44.58,0.54,28,15,0.4802,-0.52,-6.3,-3.26
7.8894,199,2602,-14.94,2600,44.58,0.54,28,15,0.4803,-0.5195,-6.3,-3.26
7.9897,199,2604,-14.37,2600,44.58,0.54,28,15,0.4788,-0.5196,-6.3,-3.26
8.0899,199,2600,-14.47,2600,44.58,0.54,28,15,0.4785,-0.52,-6.3,-3.26
8.1901,199,2602,-14.7,2600,44.58,0.54,28,15,0.4785,-0.5206,-6.39,-3.24
8.2904,199,2602,-14.77,2600,44.58,0.54,28,15,0.478,-0.5206,-6.41,-3.24
8.3907,199,2604,-14.97,2600,44.58,0.54,28,15,0.4774,-0.5209,-6.41,-3.2
