time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0914,0,24590,0.63,0,44.58,0.09,26,312,0.0193,0.0101,-20.0,-20.0
0.1916,0,19737,0.58,0,44.58,0.09,26,312,0.0202,0.0113,-20.0,-20.0
0.2919,0,22556,0.44,0,44.58,0.09,26,312,0.0206,0.0109,-20.0,-20.0
0.3921,0,24390,0.49,0,44.58,0.09,26,312,0.0204,0.0103,-20.0,-20.0
0.4924,0,25424,0.44,0,44.58,0.09,25,312,0.0204,0.0116,-20.0,-20.0
0.5927,0,13158,0.41,0,44.57,0.09,26,312,0.0201,0.011,-20.0,-20.0
0.6929,0,24793,0.52,0,44.57,0.09,26,312,0.0203,0.0107,-20.0,-20.0
0.7931,0,21583,0.51,0,44.57,0.09,25,312,0.0212,0.0113,-20.0,-20.0
0.8933,0,24194,0.51,0,44.57,0.09,25,312,0.0204,0.0101,-20.0,-20.0
0.9938,0,21429,0.57,0,44.57,0.09,26,312,0.0205,0.0109,-20.0,-20.0
1.094,0,18072,0.54,0,44.57,0.09,26,312,0.0201,0.0119,-20.0,-20.0
1.1942,0,21277,0.45,0,44.57,0.09,25,312,0.0201,0.0108,-20.0,-20.0
1.2945,0,22388,0.39,0,44.57,0.09,26,312,0.0208,0.0111,-20.0,-20.0
1.3947,0,21898,0.45,0,44.57,0.09,25,312,0.0198,0.0105,-20.0,-20.0
1.4949,0,26316,0.56,0,44.57,0.09,25,312,0.0206,0.0108,-20.0,-20.0
1.5951,0,24793,0.5,0,44.57,0.09,26,312,0.0205,0.0108,-20.0,-20.0
1.6954,0,21277,0.48,0,44.57,0.09,26,312,0.0199,0.0108,-20.0,-20.0
1.7956,0,26087,0.58,0,44.57,0.09,26,312,0.0214,0.0101,-20.0,-20.0
1.8959,0,17341,0.35,0,44.57,0.09,26,312,0.0212,0.0108,-20.0,-20.0
1.9961,122,12097,0.35,0,44.57,0.09,26,312,0.0176,0.0026,-20.0,-20.0
2.0964,122,12097,0.55,242,44.57,0.16,26,312,0.0176,0.0011,-20.0,-20.0
2.1966,122,3012,0.05,642,44.59,0.19,26,312,0.0182,0.0002,-20.0,-20.0
2.2968,122,835,-0.36,800,44.58,0.22,26,312,0.0187,-0.0004,-20.0,-20.0
2.397,122,835,0.78,885,44.58,0.22,26,312,0.0192,-0.0021,-20.0,-20.0
2.4973,122,917,0.89,971,44.58,0.19,26,312,0.021,-0.003,-20.0,-20.0
2.5976,122,985,0.93,1000,44.58,0.19,25,312,0.2529,-0.2408,-20.0,-20.0
2.6978,122,1034,1.2,1042,44.58,0.19,26,312,0.2616,-0.2409,-20.0,-20.0
2.7983,122,1062,1.07,1071,44.58,0.19,26,312,0.2633,-0.2456,-4.85,-4.62
2.8986,122,1082,1.08,1085,44.58,0.19,26,312,0.2636,-0.2458,-3.33,-4.61
2.9992,122,1089,1.28,1100,44.58,0.19,26,312,0.2646,-0.2462,-3.04,-3.98
3.0995,122,1101,1.25,1100,44.58,0.19,26,312,0.2646,-0.2465,-2.98,-3.95
3.1998,122,1115,1.19,1114,44.58,0.19,26,312,0.2659,-0.2465,-2.81,-3.89
3.3001,122,1117,1.3,1128,44.58,0.19,26,312,0.2659,-0.2467,-2.81,-3.85
3.4003,122,1121,1.28,1128,44.58,0.19,25,312,0.2674,-0.2472,-2.58,-3.85
3.5005,122,1118,1.32,1114,44.6,0.19,26,312,0.2674,-0.2472,-2.58,-3.83
3.6008,122,1121,1.35,1128,44.58,0.19,26,312,0.2673,-0.2481,-2.34,-3.76
3.7011,122,1121,1.44,1128,44.59,0.19,26,312,0.2674,-0.2488,-2.32,-3.76
3.8014,122,1127,1.27,1114,44.58,0.19,26,312,0.2678,-0.2488,-2.32,-3.64
3.9021,122,1124,1.25,1114,44.58,0.19,25,312,0.2678,-0.2488,-2.32,-3.54
4.0023,122,1124,1.28,1114,44.58,0.19,26,312,0.2678,-0.2489,-2.25,-3.54
4.1026,122,1122,1.27,1114,44.58,0.19,26,312,0.2673,-0.2489,-2.25,-3.54
4.2028,122,1123,1.33,1128,44.6,0.19,26,312,0.2665,-0.2489,-2.25,-3.53
4.3031,122,1124,1.21,1114,44.58,0.19,25,312,0.2665,-0.2489,-2.34,-3.53
4.4033,122,1125,1.3,1128,44.58,0.19,26,312,0.2671,-0.2488,-2.37,-3.53
4.5036,122,1124,1.37,1114,44.59,0.19,26,312,0.2671,-0.2493,-2.37,-3.53
4.6038,122,1122,1.27,1128,44.59,0.19,27,312,0.2671,-0.2491,-2.37,-3.53
4.704,122,1122,1.25,1114,44.59,0.19,26,312,0.2674,-0.2483,-2.37,-3.53
4.8043,122,1121,1.3,1114,44.59,0.19,26,312,0.2676,-0.2483,-2.37,-3.54
4.9046,122,1121,1.49,1114,44.58,0.19,26,312,0.268,-0.2491,-2.32,-3.5
5.0048,122,1121,1.38,1114,44.58,0.19,26,312,0.2682,-0.2487,-2.29,-3.56
5.1051,122,1123,1.41,1114,44.6,0.19,26,312,0.2676,-0.2487,-2.29,-3.56
5.2053,122,1123,1.37,1128,44.6,0.19,26,312,0.2676,-0.2478,-2.29,-3.56
5.3056,122,1123,1.28,1128,44.58,0.19,26,312,0.268,-0.2474,-2.22,-3.56
5.4058,122,1123,1.18,1114,44.58,0.19,26,312,0.268,-0.2478,-2.22,-3.68
5.5061,122,1124,0.87,1128,44.58,0.19,26,312,0.2676,-0.2493,-2.29,-3.68
5.6063,122,1124,1.12,1114,44.58,0.19,26,312,0.2676,-0.2493,-2.29,-3.68
5.7066,122,1127,1.43,1114,44.58,0.19,26,312,0.268,-0.2493,-2.22,-3.48
5.8068,122,1127,1.37,1114,44.59,0.19,27,312,0.268,-0.2498,-2.22,-3.48
