time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0373,348,4983,36.38,5014,44.53,1.03,29,5,0.4551,-0.4186,-7.69,-11.04
0.1375,348,4983,35.86,4985,44.55,0.99,29,5,0.4463,-0.4182,-7.69,-10.91
0.2378,348,4983,35.41,4985,44.55,0.99,29,5,0.4463,-0.4209,-7.69,-10.91
0.338,348,5000,35.72,4971,44.54,0.99,29,5,0.4529,-0.4235,-7.84,-10.87
0.4392,348,4992,36.1,4985,44.54,0.99,29,5,0.451,-0.4221,-7.97,-10.67
0.5393,348,5017,35.47,5000,44.55,0.99,28,5,0.4524,-0.4221,-7.97,-10.57
0.6395,348,4992,35.47,5014,44.54,0.99,29,5,0.4524,-0.4311,-7.87,-10.57
0.7397,348,4992,35.05,5014,44.54,0.99,29,5,0.4594,-0.4245,-7.87,-10.45
0.8398,348,4983,35.36,5014,44.54,0.99,29,5,0.4555,-0.4211,-7.87,-10.57
0.94,348,4967,35.51,5000,44.54,0.99,29,6,0.4538,-0.4227,-7.78,-10.52
1.0402,348,4975,34.98,5000,44.53,0.99,29,6,0.4556,-0.4253,-7.66,-10.36
1.1403,348,4983,35.28,5000,44.53,1.03,29,6,0.4533,-0.4252,-7.66,-10.36
1.2405,348,4983,35.42,5000,44.54,1.03,29,6,0.4466,-0.4196,-7.78,-10.52
1.3406,348,4975,35.26,4985,44.54,1.03,28,6,0.46,-0.4192,-7.78,-10.52
1.4408,348,4983,35.24,4985,44.54,1.03,29,6,0.46,-0.4194,-7.65,-10.79
1.541,348,4983,35.74,5000,44.52,1.03,29,6,0.46,-0.4181,-7.34,-10.8
1.6411,348,4983,35.69,4985,44.55,0.99,29,6,0.4568,-0.421,-7.34,-10.8
1.7413,348,4975,35.78,5000,44.54,0.99,29,6,0.457,-0.4217,-7.34,-10.8
1.8415,348,4983,35.75,5000,44.54,1.03,29,6,0.457,-0.4196,-7.55,-10.79
1.9416,348,4975,35.83,5000,44.54,1.03,29,6,0.4514,-0.4222,-7.55,-10.67
2.0418,348,4992,36.34,5014,44.55,1.03,29,6,0.4505,-0.4234,-7.57,-10.61
2.142,348,4983,36.48,5000,44.54,1.03,29,6,0.4484,-0.4274,-7.94,-10.56
2.2422,348,4975,36.28,5000,44.54,1.03,29,6,0.4513,-0.4259,-7.95,-10.46
2.3424,348,4983,35.82,5000,44.54,0.99,29,6,0.4521,-0.4211,-7.95,-10.46
2.4427,348,5000,35.25,5000,44.54,0.99,29,6,0.4489,-0.4208,-8.01,-10.46
2.5429,348,5000,35.63,4985,44.54,0.99,29,6,0.4551,-0.4208,-7.95,-10.66
2.6443,348,4992,35.84,4985,44.54,1.03,29,6,0.463,-0.4215,-7.9,-10.66
2.7445,348,4983,35.43,5000,44.54,1.03,29,6,0.4498,-0.4256,-7.9,-10.66
2.8447,348,4992,35.12,5000,44.54,1.03,29,6,0.4508,-0.427,-7.99,-10.62
2.9448,348,4975,35.43,5000,44.54,0.99,29,6,0.4508,-0.428,-7.99,-10.27
3.045,348,4975,35.08,5000,44.54,0.99,29,6,0.4471,-0.4285,-7.99,-10.15
3.1452,348,4975,35.02,5000,44.54,0.99,29,6,0.4498,-0.4321,-8.06,-10.06
3.2453,348,4992,35.15,5000,44.54,0.99,30,6,0.4495,-0.4321,-8.06,-10.02
3.3455,348,4983,35.36,5014,44.54,1.03,30,6,0.4495,-0.4245,-8.08,-10.02
3.4457,348,4983,35.61,5000,44.53,0.99,30,6,0.4504,-0.4215,-8.08,-10.02
3.5485,348,4975,35.35,5000,44.53,0.99,29,6,0.4545,-0.4286,-8.06,-10.01
3.6486,348,4992,35.16,4985,44.55,0.99,30,6,0.4482,-0.4208,-8.08,-10.36
3.7488,348,4992,35.21,4985,44.53,1.03,30,6,0.4478,-0.4193,-8.08,-10.62
3.849,348,4992,35.6,5014,44.54,1.03,30,6,0.4513,-0.4218,-8.01,-10.62
3.9491,348,4975,35.51,5000,44.52,0.99,30,7,0.4513,-0.4269,-7.95,-10.6
4.0493,394,5291,35.62,5442,44.47,1.15,30,7,0.4474,-0.4241,-8.17,-10.6
4.1495,394,5587,35.72,5614,44.54,1.25,30,7,0.4462,-0.4318,-8.2,-10.4
4.2497,394,5618,40.45,5685,44.54,1.28,29,7,0.4593,-0.4264,-7.95,-10.2
4.3498,394,5629,45.3,5657,44.54,1.38,30,7,0.4593,-0.4235,-7.95,-10.2
4.45,394,5629,45.05,5614,44.54,1.32,30,7,0.4544,-0.4294,-7.74,-10.2
4.5502,394,5629,45.45,5614,44.54,1.28,30,7,0.4544,-0.4163,-7.74,-10.2
4.6503,394,5639,45.56,5614,44.54,1.35,30,7,0.4569,-0.4191,-7.56,-10.45
4.7505,394,5629,45.49,5671,44.53,1.28,30,7,0.4611,-0.4211,-7.56,-10.66
4.8507,394,5639,45.47,5671,44.54,1.22,30,7,0.4573,-0.4202,-7.56,-10.73
4.9508,394,5629,45.84,5671,44.54,1.25,29,7,0.4516,-0.4246,-7.56,-10.73
5.051,394,5629,45.64,5685,44.54,1.25,29,7,0.45,-0.4222,-7.56,-10.66
5.1511,443,5639,44.97,5614,44.54,1.25,30,7,0.4492,-0.4303,-7.93,-10.56
5.2513,443,6224,45.07,6285,44.54,1.48,30,7,0.4534,-0.4258,-7.93,-10.35
5.3515,443,6303,46.08,6328,44.55,1.51,30,7,0.4592,-0.4224,-7.93,-10.35
5.4517,443,6303,58.43,6328,44.55,1.57,29,7,0.4637,-0.4186,-7.8,-10.54
5.5519,443,6303,59.54,6314,44.54,1.64,30,7,0.4637,-0.4187,-7.4,-10.54
5.6521,443,6289,59.58,6328,44.54,1.48,30,7,0.4607,-0.4239,-7.3,-10.54
5.7523,443,6303,59.93,6328,44.54,1.51,29,7,0.4607,-0.4185,-7.3,-10.86
5.8525,443,6303,59.39,6314,44.55,1.48,30,7,0.4585,-0.4243,-7.3,-10.86
5.9527,443,6316,58.82,6314,44.51,1.44,30,7,0.4644,-0.4243,-7.3,-10.41
6.0529,443,6303,59.03,6328,44.54,1.44,30,7,0.4644,-0.417,-7.3,-10.41
6.1531,443,6289,58.55,6314,44.53,1.41,30,7,0.4581,-0.4305,-7.3,-10.38
6.2534,443,6303,56.56,6314,44.55,1.41,30,7,0.4692,-0.4228,-7.04,-10.38
6.3536,443,6303,56.03,6300,44.53,1.44,30,7,0.4642,-0.4272,-7.04,-10.38
6.4544,443,6316,56.79,6314,44.53,1.48,30,7,0.462,-0.43,-7.05,-10.13
6.5547,443,6303,57.78,6342,44.54,1.48,30,7,0.4589,-0.4264,-7.21,-10.13
6.6549,443,6303,58.65,6314,44.54,1.48,30,7,0.4522,-0.4225,-7.21,-10.2
6.7551,476,6787,59.47,6871,44.52,1.77,30,7,0.453,-0.4268,-7.42,-10.16
6.8553,476,6834,60.39,6857,44.55,1.8,30,7,0.4643,-0.4268,-7.42,-10.16
6.9555,476,6849,64.94,6857,44.53,1.8,30,7,0.4672,-0.4336,-7.42,-10.16
7.0557,476,6849,69.75,6857,44.54,1.83,30,8,0.4672,-0.4284,-7.05,-10.16
7.156,476,6849,69.15,6871,44.54,1.64,30,8,0.465,-0.4289,-7.0,-10.03
7.2562,476,6849,70.26,6871,44.55,1.64,30,8,0.4662,-0.4295,-6.91,-9.99
7.3564,476,6834,70.69,6857,44.55,1.64,30,8,0.4659,-0.4343,-6.91,-9.96
7.4566,476,6849,69.87,6871,44.53,1.64,30,8,0.4639,-0.4354,-6.93,-9.96
7.5569,476,6834,69.59,6871,44.54,1.64,30,8,0.463,-0.4336,-7.0,-9.73
7.6571,476,6834,69.26,6857,44.53,1.64,30,8,0.459,-0.4254,-7.07,-9.73
7.7573,476,6834,68.13,6885,44.51,1.64,30,8,0.467,-0.4254,-7.07,-9.73
7.8575,476,6849,69.16,6885,44.54,1.64,30,8,0.4645,-0.4325,-7.07,-9.79
7.9577,499,6849,70.36,6885,44.5,1.64,30,8,0.4678,-0.4275,-7.03,-10.1
8.0579,499,7126,69.79,7142,44.55,1.77,30,8,0.4576,-0.419,-7.03,-10.29
8.1582,499,7160,71.8,7185,44.55,1.8,30,8,0.4645,-0.428,-7.03,-10.1
8.2584,499,7143,76.21,7142,44.52,1.77,30,8,0.4577,-0.4291,-7.03,-10.06
8.3586,499,7143,76.8,7128,44.55,1.77,30,8,0.4618,-0.4202,-7.22,-10.1
8.4588,499,7143,77.1,7171,44.55,1.7,30,8,0.4679,-0.4249,-7.22,-10.33
8.559,499,7143,76.33,7157,44.54,1.67,30,8,0.4619,-0.4169,-7.21,-10.33
8.6592,499,7143,75.16,7185,44.56,1.67,30,8,0.4646,-0.4228,-7.21,-10.51
8.7595,499,7143,76.54,7142,44.54,1.7,30,8,0.4633,-0.424,-7.11,-10.51
8.8597,499,7143,77.29,7157,44.54,1.73,30,8,0.4682,-0.4177,-7.02,-10.51
8.96,514,7317,76.79,7342,44.51,1.8,30,8,0.4615,-0.4228,-7.11,-10.51
9.0602,514,7371,77.4,7371,44.57,1.83,30,9,0.4603,-0.416,-7.11,-10.51
9.1604,514,7371,80.56,7357,44.54,1.83,30,9,0.4596,-0.4141,-7.24,-10.95
9.2606,514,7371,82.67,7342,44.54,1.89,30,9,0.4612,-0.417,-7.26,-11.01
9.3608,514,7389,82.84,7400,44.54,1.89,30,9,0.4592,-0.4109,-7.32,-11.1
9.461,514,7389,81.1,7385,44.55,1.83,30,9,0.4675,-0.4226,-7.32,-11.1
9.5612,514,7389,82.23,7414,44.54,1.86,30,9,0.4651,-0.4292,-7.26,-11.01
9.6615,514,7371,82.17,7414,44.54,1.86,30,9,0.4607,-0.4101,-7.26,-11.01
9.7617,525,7371,82.43,7385,44.55,1.83,30,9,0.4598,-0.4202,-7.3,-10.73
9.8619,525,7519,83.52,7514,44.55,1.93,30,9,0.4634,-0.4164,-7.11,-10.73
9.9621,525,7538,82.4,7528,44.55,1.89,30,9,0.4561,-0.4199,-7.3,-10.76
10.0624,525,7519,82.93,7528,44.54,1.93,30,9,0.4565,-0.415,-7.36,-11.06
10.1626,525,7538,84.64,7585,44.54,1.96,30,9,0.4639,-0.4061,-7.36,-11.06
10.2634,525,7538,86.83,7528,44.55,1.93,30,9,0.4502,-0.4113,-7.59,-11.18
10.3636,525,7538,84.53,7542,44.54,1.93,30,9,0.4536,-0.4173,-7.62,-11.18
10.4638,525,7538,85.03,7557,44.54,1.93,30,9,0.4504,-0.4174,-7.79,-11.18
10.564,525,7519,86.32,7571,44.55,1.89,31,9,0.4506,-0.4197,-8.0,-10.99
10.6643,540,7538,86.39,7514,44.55,1.8,30,9,0.448,-0.4177,-8.01,-10.98
10.7645,540,7752,85.67,7785,44.53,1.89,30,9,0.4631,-0.4066,-8.0,-10.98
10.8647,540,7772,84.88,7771,44.55,1.96,30,9,0.4628,-0.4088,-8.0,-10.98
10.9649,540,7772,88.74,7814,44.54,2.02,30,9,0.4705,-0.4146,-7.15,-11.22
