time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0672,245,15385,57.75,3814,49.68,0.74,26,41,0.0218,0.0125,-30.0,-30.0
0.1675,245,13699,58.88,3800,49.68,0.77,27,41,0.0227,0.0129,-30.0,-30.0
0.2677,245,13636,59.04,3814,49.68,0.74,27,41,0.0225,0.012,-30.0,-30.0
0.3679,245,35714,58.33,3800,49.68,0.74,26,41,0.0207,0.0124,-30.0,-30.0
0.4682,245,30303,57.66,3800,49.67,0.77,27,41,0.0216,0.0128,-30.0,-30.0
0.5684,245,28302,57.65,3800,49.67,0.74,27,41,0.0219,0.013,-30.0,-30.0
0.6688,245,32609,57.65,3800,49.67,0.77,27,41,0.0214,0.0131,-30.0,-30.0
0.769,245,32258,57.1,3800,49.7,0.77,27,41,0.0217,0.0121,-30.0,-30.0
0.8693,245,13953,57.32,3800,49.68,0.74,27,41,0.0223,0.0137,-30.0,-30.0
0.9695,245,32609,57.96,3814,49.68,0.77,27,41,0.0222,0.0137,-30.0,-30.0
1.0698,245,39474,58.17,3800,49.68,0.77,27,41,0.0221,0.0132,-30.0,-30.0
1.1701,245,12000,58.45,3800,49.68,0.74,27,41,0.0236,0.0137,-30.0,-30.0
1.2703,245,7229,57.81,3800,49.68,0.77,27,41,0.0228,0.0132,-30.0,-30.0
1.3706,245,40541,57.89,3814,49.69,0.77,27,41,0.0227,0.0129,-30.0,-30.0
1.4709,245,20000,58.02,3800,49.65,0.77,27,41,0.0219,0.0133,-30.0,-30.0
1.5719,245,27027,58.73,3800,49.65,0.77,27,41,0.0228,0.0132,-30.0,-30.0
1.6721,245,32967,58.11,3800,49.68,0.77,27,41,0.0223,0.0123,-30.0,-30.0
1.7724,245,30303,58.02,3814,49.68,0.77,27,41,0.023,0.0124,-30.0,-30.0
1.8727,245,32609,59.26,3800,49.68,0.77,27,41,0.0219,0.0128,-30.0,-30.0
1.973,245,26316,59.52,3814,49.66,0.77,27,41,0.0213,0.013,-30.0,-30.0
2.0732,245,30000,59.27,3800,49.66,0.77,27,41,0.0212,0.0122,-30.0,-30.0
2.1735,245,20000,59.15,3814,49.67,0.77,27,41,0.0216,0.0124,-30.0,-30.0
2.2737,290,21127,60.37,4371,49.63,0.9,27,41,0.0229,0.0133,-30.0,-30.0
2.3739,290,24590,70.32,4514,49.65,0.99,27,41,0.0216,0.0112,-30.0,-30.0
2.4742,290,27273,80.78,4514,49.65,1.06,27,41,0.0225,0.013,-30.0,-30.0
2.5744,290,13100,83.86,4514,49.65,1.12,27,41,0.0228,0.0118,-30.0,-30.0
2.6748,290,12146,83.73,4528,49.64,1.03,27,41,0.0233,0.0121,-30.0,-30.0
2.775,290,17143,82.75,4528,49.65,0.99,27,41,0.0229,0.0117,-30.0,-30.0
2.8752,290,41667,81.31,4514,49.67,0.99,28,41,0.0209,0.0114,-30.0,-30.0
2.9755,290,9804,81.05,4528,49.65,0.99,27,41,0.0225,0.0123,-30.0,-30.0
3.0757,341,19608,82.19,4528,49.65,0.99,27,41,0.022,0.0107,-30.0,-30.0
3.176,341,30612,83.44,4657,49.63,1.03,27,41,0.0213,0.0093,-30.0,-30.0
3.2762,341,24590,87.14,5328,49.61,1.25,27,41,0.0226,0.0133,-30.0,-30.0
3.3764,341,25862,101.32,5400,49.61,1.38,27,41,0.0227,0.01,-30.0,-30.0
3.4767,341,28571,114.86,5400,49.62,1.44,27,41,0.023,0.0082,-30.0,-30.0
3.577,341,22727,115.33,5414,49.62,1.51,27,41,0.0218,0.0101,-30.0,-30.0
3.6775,341,31250,115.56,5414,49.62,1.35,27,41,0.0233,0.0115,-30.0,-30.0
3.7777,341,37037,114.86,5442,49.63,1.32,28,41,0.0229,0.0107,-30.0,-30.0
3.8779,341,13393,114.08,5414,49.63,1.32,28,41,0.0247,0.0116,-30.0,-30.0
3.9782,341,17143,113.96,5428,49.63,1.32,28,41,0.024,0.0111,-30.0,-30.0
4.0784,341,25641,114.55,5428,49.62,1.35,28,42,0.0228,0.0111,-30.0,-30.0
4.1786,341,29703,114.57,5442,49.62,1.35,27,42,0.0221,0.0095,-30.0,-30.0
4.2789,370,26786,113.86,5428,49.62,1.35,27,42,0.0231,0.0115,-30.0,-30.0
4.3791,370,11278,114.02,5542,49.61,1.38,27,42,0.0263,0.01,-30.0,-30.0
4.4797,370,19231,123.81,5828,49.6,1.51,27,42,0.0234,0.0106,-30.0,-30.0
4.5799,370,19231,136.38,5842,49.61,1.6,28,42,0.0232,0.0112,-30.0,-30.0
4.6804,370,35714,137.14,5814,49.61,1.6,28,42,0.0219,0.0111,-30.0,-30.0
4.7806,370,18987,137.48,5814,49.61,1.64,28,42,0.0225,0.0104,-30.0,-30.0
4.8808,370,23437,138.27,5842,49.61,1.57,28,42,0.0221,0.0112,-30.0,-30.0
4.9811,370,27778,137.63,5842,49.61,1.51,28,42,0.0234,0.0128,-30.0,-30.0
5.0813,370,39474,140.32,5814,49.61,1.51,28,42,0.0234,0.0118,-30.0,-30.0
