time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0909,0,23077,0.08,0,49.61,0.03,33,0,0.0405,0.0307,-30.0,-30.0
0.1911,0,24194,0.12,0,49.61,0.03,33,0,0.0403,0.0315,-30.0,-30.0
0.2915,0,25424,0.14,0,49.61,0.03,33,0,0.0408,0.0296,-30.0,-30.0
0.3917,0,21898,0.18,0,49.61,0.03,33,0,0.0412,0.0319,-30.0,-30.0
0.492,0,24590,0.11,0,49.61,0.03,32,0,0.0399,0.0305,-30.0,-30.0
0.5923,0,20833,-0.01,0,49.61,0.03,33,0,0.041,0.0308,-30.0,-30.0
0.6926,0,24793,0.0,0,49.61,0.03,33,0,0.0408,0.0318,-30.0,-30.0
0.7928,0,18634,0.04,0,49.61,0.03,33,0,0.0415,0.0312,-30.0,-30.0
0.8932,0,19481,0.08,0,49.61,0.03,33,0,0.0407,0.0319,-30.0,-30.0
0.9935,0,26786,-0.03,0,49.61,0.03,33,0,0.0409,0.0313,-30.0,-30.0
1.0938,0,18182,0.19,0,49.61,0.03,33,0,0.0422,0.031,-30.0,-30.0
1.194,0,19608,0.21,0,49.61,0.03,33,0,0.0417,0.0318,-30.0,-30.0
1.2942,0,20690,0.01,0,49.61,0.03,33,0,0.04,0.0311,-30.0,-30.0
1.3944,58,21739,0.03,0,49.61,0.03,33,0,0.04,0.0314,-30.0,-30.0
1.4946,58,9036,0.12,371,49.59,0.06,33,0,0.0375,0.0293,-30.0,-30.0
1.5948,58,4354,0.25,457,49.61,0.09,33,0,0.0375,0.0293,-30.0,-30.0
1.6951,58,4255,-0.01,300,49.62,0.09,33,0,0.0375,0.0281,-30.0,-30.0
1.7953,58,4255,-1.17,157,49.62,0.06,33,0,0.0375,0.0281,-30.0,-30.0
1.8955,58,1000,-0.49,628,49.61,0.06,33,0,0.0375,0.0141,-30.0,-30.0
1.9957,58,1000,-0.08,428,49.61,0.06,32,0,0.0375,0.0141,-30.0,-30.0
2.096,58,453,0.04,228,49.6,0.06,32,0,0.0375,0.0141,-30.0,-30.0
2.1963,111,453,-0.28,542,49.6,0.06,32,0,0.0375,0.0119,-30.0,-30.0
2.2965,111,376,-0.18,714,49.6,0.09,32,0,0.0375,0.0111,-30.0,-30.0
2.3967,111,453,0.01,814,49.6,0.09,33,0,0.0445,0.0099,-30.0,-30.0
2.497,111,704,-0.01,857,49.61,0.12,32,0,0.3166,0.0055,-30.0,-30.0
2.5972,111,838,1.4,914,49.6,0.09,32,0,0.4034,-0.1012,-30.0,-30.0
2.6975,111,873,1.57,928,49.6,0.12,33,0,0.4093,-0.3267,-19.19,-30.0
2.7977,111,910,1.4,928,49.62,0.09,32,0,0.4243,-0.3882,-11.5,-30.0
2.898,111,930,1.31,942,49.61,0.09,33,0,0.4375,-0.411,-10.98,-16.16
2.9984,111,940,1.44,942,49.61,0.09,32,0,0.44,-0.417,-9.75,-11.29
3.0986,111,946,1.48,957,49.6,0.09,33,0,0.4446,-0.4177,-8.94,-9.62
3.1994,111,954,1.68,957,49.6,0.09,33,0,0.4567,-0.4186,-8.78,-9.27
3.2996,111,955,1.74,957,49.61,0.12,33,0,0.469,-0.4212,-8.5,-9.23
3.3998,111,959,1.71,957,49.61,0.12,33,0,0.4694,-0.4214,-7.75,-9.17
3.5,111,960,1.79,942,49.61,0.12,33,0,0.4704,-0.4215,-6.99,-9.02
3.6003,111,959,1.92,957,49.59,0.09,33,0,0.4704,-0.4215,-6.97,-9.01
3.7005,111,959,1.75,957,49.59,0.09,33,0,0.4709,-0.4218,-6.91,-9.0
3.8007,111,960,1.9,957,49.6,0.09,32,0,0.471,-0.4223,-6.91,-9.0
3.901,111,961,1.97,957,49.61,0.09,33,0,0.471,-0.4225,-6.87,-8.99
4.0012,111,962,2.03,957,49.61,0.09,32,0,0.4714,-0.4229,-6.87,-8.96
4.1015,111,962,2.0,957,49.61,0.09,33,0,0.4714,-0.4225,-6.87,-8.95
4.2017,111,962,1.92,957,49.6,0.09,33,0,0.4714,-0.4225,-6.84,-8.95
4.302,137,962,1.89,957,49.59,0.09,33,0,0.4714,-0.4225,-6.84,-8.95
4.4023,137,962,2.06,1128,49.59,0.12,33,0,0.4726,-0.4225,-6.84,-8.95
4.5025,137,981,2.22,1428,49.61,0.16,33,0,0.4731,-0.4242,-6.84,-8.95
4.6028,137,1432,2.14,1514,49.58,0.19,33,0,0.477,-0.4243,-6.77,-8.95
4.7031,137,1530,4.66,1585,49.58,0.19,33,0,0.4892,-0.4291,-6.74,-8.85
4.8033,137,1604,6.24,1628,49.58,0.22,33,0,0.5171,-0.4705,-6.5,-8.84
4.9035,137,1630,7.66,1657,49.58,0.22,33,0,0.5244,-0.4776,-5.74,-8.56
5.0038,137,1651,8.78,1657,49.58,0.22,33,0,0.5285,-0.5003,-4.02,-6.14
5.104,137,1664,9.26,1671,49.59,0.19,33,0,0.5303,-0.5095,-3.57,-5.72
5.2043,137,1670,9.12,1671,49.59,0.22,33,0,0.5313,-0.5105,-3.32,-4.39
5.3045,137,1675,9.36,1671,49.59,0.22,33,0,0.5315,-0.5127,-3.21,-3.85
5.4048,137,1680,9.45,1671,49.58,0.22,33,0,0.5314,-0.5128,-3.14,-3.79
5.5054,137,1680,9.4,1671,49.58,0.22,33,0,0.5321,-0.5128,-3.14,-3.67
5.6056,137,1679,9.52,1685,49.58,0.22,33,0,0.5313,-0.5128,-3.14,-3.66
5.7059,137,1682,9.38,1671,49.59,0.22,33,0,0.5313,-0.5142,-3.14,-3.66
5.8062,137,1680,9.55,1685,49.58,0.19,32,0,0.5307,-0.5142,-3.14,-3.66
5.9064,137,1680,9.55,1671,49.58,0.22,33,0,0.5338,-0.5142,-3.14,-3.58
6.0066,137,1680,9.75,1685,49.58,0.22,33,0,0.5335,-0.5134,-3.14,-3.58
6.1072,137,1680,9.81,1685,49.58,0.22,32,0,0.5334,-0.5134,-3.01,-3.58
6.2075,137,1681,9.87,1671,49.59,0.22,33,0,0.5333,-0.5142,-3.01,-3.58
6.3077,137,1677,9.4,1671,49.58,0.22,33,0,0.5332,-0.5133,-3.01,-3.62
6.4079,137,1680,9.62,1671,49.59,0.22,33,0,0.5317,-0.5147,-3.02,-3.62
6.5082,137,1680,9.91,1671,49.59,0.22,33,0,0.5314,-0.5147,-3.03,-3.58
6.6085,137,1680,9.99,1671,49.58,0.19,33,0,0.5314,-0.5147,-3.12,-3.55
6.7087,137,1678,10.13,1671,49.58,0.19,33,0,0.5314,-0.5146,-3.14,-3.55
6.8089,137,1678,10.04,1671,49.59,0.19,33,0,0.5307,-0.5147,-3.14,-3.55
6.9092,137,1677,10.4,1671,49.58,0.22,33,0,0.5317,-0.5146,-3.14,-3.55
7.0095,137,1677,10.28,1671,49.59,0.22,33,0,0.5314,-0.5146,-3.14,-3.55
7.1098,137,1677,10.32,1671,49.58,0.22,33,0,0.5321,-0.5151,-3.14,-3.55
7.2101,137,1677,10.09,1671,49.59,0.22,33,0,0.5321,-0.5151,-3.12,-3.55
7.3103,137,1678,10.05,1671,49.59,0.22,33,0,0.5318,-0.5141,-3.11,-3.55
7.4106,137,1678,10.1,1671,49.58,0.22,33,0,0.5321,-0.5141,-3.09,-3.55
7.5108,137,1679,9.7,1671,49.59,0.22,33,0,0.5319,-0.5141,-3.09,-3.58
7.6111,137,1679,9.65,1671,49.59,0.22,33,0,0.5319,-0.5147,-3.11,-3.58
7.7114,160,1682,9.93,1685,49.59,0.22,33,0,0.5319,-0.5152,-3.11,-3.58
7.8116,160,1776,10.05,1928,49.59,0.25,33,0,0.5313,-0.5152,-3.11,-3.55
7.912,160,1979,10.6,2085,49.59,0.28,33,0,0.5319,-0.5155,-3.11,-3.52
8.0122,160,2108,15.02,2142,49.58,0.32,33,0,0.5388,-0.5173,-3.11,-3.52
8.1125,160,2152,16.56,2171,49.58,0.32,33,0,0.5515,-0.5178,-3.11,-3.5
8.2127,160,2179,17.61,2185,49.59,0.32,33,0,0.5531,-0.5199,-2.68,-3.4
8.3129,160,2190,18.08,2200,49.58,0.32,33,0,0.5555,-0.5211,-1.9,-3.37
8.4132,160,2196,18.32,2200,49.58,0.32,33,0,0.5584,-0.5207,-1.8,-3.24
8.5134,160,2198,18.59,2200,49.58,0.32,33,0,0.5595,-0.5211,-1.65,-3.2
8.6137,160,2201,18.95,2200,49.59,0.32,33,0,0.5608,-0.5211,-1.47,-3.17
