time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0983,0,27778,0.69,0,44.55,0.03,30,76,0.0323,0.0248,-30.0,-30.0
0.1986,0,32967,0.74,0,44.55,0.03,30,76,0.0325,0.0252,-30.0,-30.0
0.2988,0,40000,0.7,0,44.55,0.03,30,76,0.0325,0.0254,-30.0,-30.0
0.3996,0,30303,0.68,0,44.55,0.03,30,76,0.0334,0.0253,-30.0,-30.0
0.4998,0,28571,0.76,0,44.55,0.03,29,76,0.0328,0.0244,-30.0,-30.0
0.6001,0,23622,0.71,0,44.55,0.03,30,76,0.0326,0.0247,-30.0,-30.0
0.7003,0,28037,0.6,0,44.55,0.03,29,76,0.0331,0.0252,-30.0,-30.0
0.8006,0,30928,0.65,0,44.55,0.03,30,76,0.0333,0.0249,-30.0,-30.0
0.9008,0,34091,0.71,0,44.55,0.03,30,76,0.032,0.0255,-30.0,-30.0
1.001,0,23077,0.76,0,44.55,0.03,30,76,0.0328,0.0256,-30.0,-30.0
1.1013,0,38462,0.83,0,44.55,0.03,30,76,0.0338,0.025,-30.0,-30.0
1.2015,0,28846,0.83,0,44.55,0.03,30,76,0.0331,0.0251,-30.0,-30.0
1.3017,0,20548,0.84,0,44.55,0.03,30,76,0.0339,0.0255,-30.0,-30.0
1.402,0,22222,0.79,0,44.55,0.03,29,76,0.0341,0.0245,-30.0,-30.0
1.5023,0,17544,0.63,0,44.55,0.03,30,76,0.0338,0.0248,-30.0,-30.0
1.6025,0,34483,0.62,0,44.55,0.03,30,76,0.0323,0.0249,-30.0,-30.0
1.7027,0,25641,0.6,0,44.55,0.03,30,76,0.033,0.0246,-30.0,-30.0
1.803,0,49180,0.65,0,44.55,0.03,30,76,0.0327,0.0247,-30.0,-30.0
1.9032,0,29703,0.47,0,44.55,0.03,30,76,0.033,0.0243,-30.0,-30.0
2.0035,0,28302,0.62,0,44.55,0.03,29,76,0.033,0.0249,-30.0,-30.0
2.1037,0,26786,0.68,0,44.55,0.03,30,76,0.0341,0.0256,-30.0,-30.0
2.2039,0,47619,0.66,0,44.55,0.03,30,76,0.0332,0.0243,-30.0,-30.0
2.3041,0,28571,0.69,0,44.55,0.03,29,76,0.0326,0.0247,-30.0,-30.0
2.4044,0,29126,0.66,0,44.55,0.03,30,76,0.0329,0.0247,-30.0,-30.0
2.5046,0,22556,0.54,0,44.55,0.03,30,76,0.0326,0.0248,-30.0,-30.0
2.6048,0,20690,0.44,0,44.55,0.03,29,76,0.0336,0.0235,-30.0,-30.0
2.7055,0,35294,0.66,0,44.55,0.03,30,76,0.0325,0.025,-30.0,-30.0
2.8057,102,40541,0.59,171,44.5,0.06,29,76,0.0351,0.0252,-30.0,-30.0
2.9062,102,16667,0.68,514,44.59,0.12,30,76,0.0321,0.0252,-30.0,-30.0
3.0064,102,2913,1.38,585,44.58,0.12,30,76,0.0321,0.0245,-30.0,-30.0
3.1067,102,1632,0.08,571,44.58,0.12,30,76,0.0321,0.0239,-30.0,-30.0
3.207,102,1632,0.34,557,44.56,0.09,30,76,0.0321,0.0237,-30.0,-30.0
3.3072,102,579,0.55,557,44.56,0.06,30,76,0.0351,0.0236,-30.0,-30.0
3.4074,102,579,0.52,557,44.57,0.06,30,76,0.0351,0.0217,-30.0,-30.0
3.5078,102,567,0.53,557,44.57,0.06,29,76,0.0351,0.0212,-30.0,-30.0
3.608,102,564,0.63,557,44.57,0.06,29,76,0.0381,-0.2394,-30.0,-30.0
3.7083,102,559,0.51,542,44.55,0.06,30,76,0.3333,-0.2564,-30.0,-30.0
3.8086,102,558,0.43,542,44.55,0.06,29,76,0.3335,-0.2686,-30.0,-25.49
3.9088,102,555,0.67,542,44.55,0.06,30,76,0.3335,-0.2686,-17.71,-23.08
4.0091,102,555,0.61,542,44.55,0.06,29,76,0.3335,-0.2708,-17.7,-21.35
4.1093,102,555,0.64,542,44.56,0.06,30,76,0.3335,-0.2708,-17.7,-21.35
4.2096,102,555,0.77,542,44.56,0.06,29,76,0.3339,-0.2711,-17.7,-21.04
4.3099,102,555,0.62,542,44.56,0.06,29,76,0.3347,-0.2711,-17.7,-21.04
4.4102,102,555,0.45,542,44.56,0.06,30,76,0.3347,-0.2711,-17.66,-20.99
4.5105,102,553,0.56,542,44.56,0.06,29,76,0.3349,-0.2711,-17.59,-20.99
4.6107,102,553,0.51,542,44.57,0.06,29,76,0.3349,-0.2711,-17.59,-20.99
4.711,102,553,0.66,557,44.56,0.06,29,76,0.3349,-0.2711,-17.57,-20.99
4.8112,102,555,0.67,542,44.57,0.06,29,76,0.3347,-0.2711,-17.57,-20.99
4.9115,102,555,0.71,542,44.56,0.06,30,76,0.3347,-0.2708,-17.57,-20.99
5.0117,102,554,0.63,542,44.56,0.06,29,76,0.3347,-0.2708,-17.59,-20.99
5.112,102,554,0.77,542,44.56,0.06,30,76,0.3349,-0.2708,-17.59,-21.04
5.2122,102,554,0.65,542,44.56,0.06,30,76,0.3352,-0.2708,-17.59,-21.04
5.3126,102,554,0.62,542,44.56,0.06,29,76,0.3352,-0.2708,-17.57,-21.04
5.4128,102,553,0.73,542,44.58,0.06,29,76,0.3353,-0.2711,-17.54,-21.04
5.5131,131,553,0.64,628,44.57,0.06,30,76,0.3353,-0.2711,-17.54,-21.04
5.6134,131,558,0.54,900,44.58,0.09,29,76,0.3357,-0.2711,-17.54,-20.99
5.7136,131,756,0.89,1114,44.58,0.12,30,76,0.3365,-0.2724,-17.54,-20.99
5.8139,131,1056,2.47,1242,44.57,0.12,29,76,0.3366,-0.2737,-17.5,-20.99
5.9142,131,1196,3.14,1285,44.58,0.16,29,76,0.3393,-0.3845,-17.43,-20.81
6.0144,131,1293,3.9,1314,44.58,0.16,29,76,0.4605,-0.4094,-17.42,-20.62
6.1147,131,1326,4.62,1328,44.57,0.16,29,76,0.4866,-0.4192,-17.18,-11.58
6.2149,131,1339,4.97,1342,44.57,0.16,30,76,0.4918,-0.4343,-7.52,-9.71
6.3152,131,1351,5.24,1357,44.56,0.16,29,76,0.4966,-0.4366,-5.9,-9.14
6.4157,131,1353,5.23,1357,44.58,0.16,29,76,0.4969,-0.4371,-5.58,-8.26
6.5159,131,1361,5.01,1357,44.57,0.16,29,76,0.4978,-0.439,-5.29,-8.12
6.6162,131,1362,5.02,1357,44.58,0.16,29,76,0.4982,-0.4393,-5.27,-8.09
6.7165,131,1363,5.08,1357,44.58,0.16,29,76,0.5002,-0.4413,-5.21,-7.98
6.8167,131,1363,5.24,1357,44.57,0.16,30,76,0.5002,-0.4423,-5.19,-7.96
6.917,131,1364,5.3,1357,44.57,0.16,29,76,0.5014,-0.4433,-5.06,-7.85
7.0172,131,1364,5.27,1371,44.57,0.16,30,76,0.5018,-0.4433,-5.06,-7.79
7.1175,131,1364,5.28,1357,44.56,0.16,29,76,0.5018,-0.4433,-4.99,-7.73
7.2177,131,1364,5.35,1371,44.58,0.16,29,76,0.5006,-0.4433,-4.99,-7.73
7.3183,148,1364,5.25,1357,44.58,0.16,29,76,0.5006,-0.4433,-4.99,-7.73
7.4185,148,1364,5.59,1471,44.56,0.16,29,76,0.5018,-0.4438,-4.97,-7.73
