time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0013,137,1687,1.09,1685,49.46,0.25,29,49,0.3265,-0.3105,-1.33,-2.05
0.1015,137,1685,1.14,1685,49.46,0.25,29,49,0.3264,-0.3102,-1.33,-1.92
0.2018,137,1685,0.83,1685,49.46,0.25,29,49,0.3252,-0.3095,-1.51,-2.05
0.302,137,1689,0.86,1685,49.45,0.25,29,49,0.3252,-0.31,-1.54,-1.92
0.4023,137,1693,0.86,1685,49.45,0.25,30,49,0.3252,-0.31,-1.9,-1.92
0.5025,137,1686,1.16,1685,49.45,0.25,30,49,0.3257,-0.31,-1.9,-1.92
0.6028,137,1686,1.0,1685,49.45,0.25,30,49,0.3257,-0.3093,-1.9,-1.92
0.7032,137,1688,1.03,1685,49.45,0.25,29,49,0.3257,-0.3093,-1.75,-1.92
0.8034,137,1690,1.1,1685,49.45,0.25,30,49,0.3257,-0.3084,-1.75,-2.1
0.9037,137,1690,0.95,1685,49.45,0.25,30,49,0.326,-0.308,-1.75,-2.1
1.0039,137,1688,0.97,1685,49.45,0.25,29,49,0.326,-0.3069,-1.75,-2.32
1.1042,137,1691,1.02,1685,49.45,0.28,30,49,0.3268,-0.3069,-1.66,-2.42
1.2044,137,1690,1.11,1685,49.45,0.28,30,49,0.3273,-0.308,-1.66,-2.42
1.3046,137,1685,0.95,1685,49.45,0.28,30,49,0.3273,-0.3088,-1.42,-2.42
1.4049,137,1685,1.1,1685,49.45,0.28,30,49,0.3273,-0.3084,-1.27,-2.42
1.5052,137,1692,1.08,1685,49.45,0.25,30,49,0.3273,-0.3088,-1.27,-2.32
1.6057,137,1689,0.94,1685,49.46,0.28,30,49,0.3266,-0.3084,-1.27,-2.32
1.706,137,1686,0.85,1685,49.46,0.28,30,49,0.3266,-0.3079,-1.27,-2.32
1.8062,137,1686,0.96,1685,49.46,0.28,30,49,0.3266,-0.3078,-1.48,-2.32
1.9065,137,1688,0.88,1685,49.46,0.25,30,49,0.3262,-0.3086,-1.48,-2.32
2.0067,137,1684,0.91,1685,49.46,0.25,30,49,0.325,-0.3086,-1.48,-2.32
