time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0234,262,3663,62.09,3671,44.54,0.7,24,93,0.5149,-0.5639,-4.19,-0.73
0.1237,262,3667,62.05,3671,44.54,0.7,25,93,0.513,-0.5628,-4.19,-0.73
0.2239,262,3663,62.14,3671,44.54,0.7,25,93,0.5135,-0.5633,-4.19,-0.71
0.3242,262,3667,62.1,3671,44.55,0.7,24,93,0.5119,-0.5635,-4.24,-0.7
0.4244,262,3663,61.95,3671,44.54,0.7,25,93,0.5127,-0.5629,-4.27,-0.7
0.5247,262,3663,61.88,3671,44.54,0.7,25,93,0.5121,-0.5621,-4.29,-0.73
0.625,262,3663,61.84,3671,44.54,0.7,25,93,0.5121,-0.5607,-4.33,-0.73
0.7252,262,3663,61.98,3671,44.54,0.7,25,93,0.5137,-0.5609,-4.33,-0.77
0.8255,262,3663,61.85,3671,44.54,0.7,25,93,0.5142,-0.5619,-4.29,-0.78
0.9258,262,3663,61.99,3657,44.54,0.7,25,93,0.5145,-0.5617,-4.23,-0.8
1.026,262,3663,62.02,3657,44.54,0.7,25,93,0.5134,-0.5619,-4.23,-0.8
1.1263,262,3663,61.72,3671,44.55,0.7,26,93,0.5134,-0.5628,-4.23,-0.78
1.2265,262,3663,61.89,3671,44.54,0.7,24,93,0.5134,-0.5615,-4.25,-0.78
1.3268,262,3663,61.68,3671,44.54,0.7,25,93,0.5129,-0.5611,-4.25,-0.8
1.4271,262,3667,61.61,3671,44.54,0.7,25,93,0.5137,-0.5613,-4.25,-0.81
1.5273,262,3663,61.82,3671,44.54,0.7,25,93,0.5137,-0.5616,-4.25,-0.81
1.6276,262,3663,62.03,3671,44.54,0.7,25,93,0.5134,-0.5625,-4.25,-0.81
1.7279,262,3663,62.19,3671,44.54,0.67,25,93,0.5122,-0.5614,-4.25,-0.81
1.8281,262,3663,61.89,3671,44.54,0.67,25,93,0.5115,-0.561,-4.25,-0.81
1.9284,262,3667,61.78,3671,44.54,0.67,25,93,0.5123,-0.5627,-4.32,-0.8
2.0286,262,3663,62.06,3671,44.54,0.67,25,93,0.5127,-0.5629,-4.32,-0.75
2.1289,262,3663,62.13,3671,44.54,0.7,25,93,0.5144,-0.5639,-4.32,-0.74
2.2291,262,3663,61.97,3671,44.54,0.7,25,93,0.5132,-0.5621,-4.29,-0.74
2.3294,319,3667,61.95,3671,44.54,0.7,25,93,0.5137,-0.5621,-4.26,-0.74
