time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0375,211,2780,-1.12,2785,44.54,0.54,24,100,0.5324,-0.579,-3.05,0.2
0.1377,211,2780,-1.74,2785,44.54,0.54,24,100,0.5346,-0.578,-3.05,0.15
0.238,211,2783,-1.97,2785,44.54,0.54,25,100,0.535,-0.577,-3.05,0.15
0.3382,211,2783,-2.26,2785,44.54,0.54,24,100,0.5345,-0.578,-2.95,0.11
0.4384,211,2783,-1.95,2785,44.54,0.54,24,100,0.5337,-0.5789,-2.95,0.11
0.5386,211,2786,-2.04,2785,44.54,0.54,24,100,0.5337,-0.5785,-2.95,0.11
0.6388,211,2783,-1.96,2785,44.54,0.54,25,100,0.5332,-0.5787,-3.0,0.13
0.7394,211,2783,-1.94,2785,44.54,0.54,24,101,0.5351,-0.578,-3.0,0.13
0.8396,211,2783,-1.93,2785,44.54,0.54,24,101,0.5333,-0.5787,-3.0,0.14
0.9398,211,2786,-1.83,2785,44.54,0.54,25,101,0.5333,-0.5781,-3.02,0.13
1.04,211,2783,-1.43,2785,44.54,0.54,25,101,0.5334,-0.5781,-3.02,0.11
1.1403,211,2783,-1.35,2785,44.54,0.54,25,101,0.5334,-0.5799,-3.01,0.11
1.2405,211,2786,-1.83,2785,44.54,0.54,24,101,0.5328,-0.5803,-3.02,0.14
1.3407,211,2783,-1.94,2785,44.54,0.54,25,101,0.5339,-0.5804,-3.01,0.19
1.4409,211,2783,-1.48,2785,44.54,0.54,25,101,0.5343,-0.5789,-3.01,0.19
1.5411,211,2783,-0.87,2785,44.54,0.54,24,101,0.5344,-0.5789,-2.98,0.19
1.6414,211,2783,-1.11,2785,44.54,0.54,24,101,0.5343,-0.5789,-2.96,0.15
1.7416,211,2783,-1.25,2785,44.54,0.54,25,101,0.5339,-0.5789,-2.96,0.15
1.8418,211,2783,-1.23,2785,44.54,0.54,25,101,0.5337,-0.5793,-2.96,0.15
1.942,211,2786,-1.31,2800,44.54,0.54,24,101,0.5342,-0.5794,-2.96,0.15
2.0423,279,2796,-1.13,2900,44.53,0.57,24,101,0.5329,-0.5779,-2.98,0.15
2.1425,279,3555,-2.06,3485,44.52,0.74,24,101,0.5298,-0.5763,-3.0,0.15
2.2427,279,3778,-2.62,3785,44.53,0.86,25,101,0.5278,-0.5728,-3.05,0.1
2.3429,279,3836,-4.5,3842,44.54,0.99,24,101,0.5248,-0.557,-3.24,0.04
2.4432,279,3841,-7.4,3828,44.53,1.06,24,101,0.5219,-0.5522,-3.36,-0.15
2.5434,279,3841,-7.76,3842,44.53,0.99,25,101,0.521,-0.5505,-3.55,-1.07
2.6436,279,3846,-7.55,3871,44.53,0.93,25,101,0.5211,-0.5505,-3.72,-1.35
2.7439,279,3841,-7.35,3857,44.54,0.9,25,101,0.5211,-0.5515,-3.77,-1.39
2.8441,279,3846,-7.09,3857,44.54,0.9,25,101,0.5203,-0.5508,-3.77,-1.43
2.9443,279,3841,-6.78,3857,44.54,0.9,24,101,0.5203,-0.55,-3.78,-1.45
3.0445,279,3841,-7.13,3857,44.54,0.9,25,101,0.5187,-0.548,-3.82,-1.45
3.1448,279,3846,-6.6,3842,44.52,0.9,25,101,0.5179,-0.5478,-3.82,-1.48
3.245,279,3841,-5.31,3828,44.52,0.9,25,101,0.5194,-0.5478,-3.88,-1.6
3.3452,279,3846,-5.12,3857,44.52,0.9,25,101,0.5188,-0.5478,-3.92,-1.61
3.4454,279,3846,-5.55,3857,44.5,0.9,25,101,0.5184,-0.5496,-3.92,-1.61
3.5456,279,3846,-6.13,3842,44.54,0.9,25,101,0.52,-0.5494,-3.92,-1.61
3.646,279,3846,-6.05,3857,44.54,0.9,25,101,0.52,-0.548,-3.88,-1.6
3.7462,279,3846,-5.49,3842,44.54,0.9,25,101,0.5191,-0.5475,-3.9,-1.6
3.8464,279,3846,-5.63,3857,44.52,0.9,25,101,0.5172,-0.5468,-3.9,-1.6
3.9466,279,3846,-6.5,3857,44.54,0.9,25,101,0.5199,-0.5468,-3.85,-1.63
4.0468,279,3846,-5.81,3857,44.54,0.9,25,101,0.5193,-0.5478,-3.89,-1.63
4.1471,279,3846,-5.72,3857,44.54,0.9,25,101,0.5192,-0.5491,-3.89,-1.63
4.2473,279,3846,-5.49,3842,44.53,0.9,25,101,0.5192,-0.5486,-3.89,-1.61
4.3475,279,3846,-5.27,3857,44.53,0.93,25,101,0.5164,-0.5484,-3.89,-1.57
4.4477,279,3846,-5.26,3842,44.53,0.9,25,101,0.5169,-0.5479,-3.89,-1.57
4.548,279,3846,-5.18,3871,44.53,0.9,25,101,0.5195,-0.5479,-3.89,-1.57
4.6482,279,3846,-4.9,3842,44.55,0.93,25,101,0.5195,-0.548,-3.89,-1.6
