time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0555,154,1778,10.63,1771,44.54,0.25,23,108,0.539,-0.5535,-2.64,-1.24
0.1558,154,1777,10.94,1771,44.54,0.25,24,108,0.539,-0.5535,-2.64,-1.25
0.256,154,1777,10.85,1771,44.54,0.25,24,108,0.5394,-0.5549,-2.64,-1.25
0.3563,154,1777,10.97,1771,44.54,0.25,23,108,0.5401,-0.5549,-2.64,-1.24
0.4566,154,1777,10.72,1771,44.54,0.25,24,108,0.541,-0.5554,-2.64,-1.19
0.5569,154,1776,10.71,1771,44.54,0.25,24,108,0.541,-0.5573,-2.6,-1.19
0.6571,154,1776,10.82,1771,44.56,0.25,24,108,0.5413,-0.556,-2.54,-1.17
0.7573,154,1777,10.62,1771,44.55,0.25,24,108,0.541,-0.5554,-2.54,-1.17
0.8576,154,1776,10.72,1771,44.54,0.25,24,108,0.5413,-0.556,-2.54,-1.13
0.9578,154,1777,10.89,1785,44.55,0.25,24,108,0.542,-0.5559,-2.53,-1.13
1.058,154,1778,11.34,1771,44.54,0.25,24,108,0.5402,-0.556,-2.53,-1.13
1.1583,154,1778,10.78,1771,44.54,0.25,24,108,0.5395,-0.5559,-2.54,-1.14
1.2586,154,1776,10.96,1771,44.54,0.25,24,108,0.5391,-0.556,-2.59,-1.13
1.3589,154,1775,11.06,1771,44.54,0.25,24,108,0.5395,-0.5556,-2.64,-1.14
1.4591,154,1777,11.19,1785,44.54,0.25,24,108,0.5391,-0.5554,-2.64,-1.14
1.5594,154,1777,11.47,1771,44.54,0.25,24,108,0.5396,-0.5551,-2.64,-1.15
1.6596,154,1777,11.41,1771,44.54,0.25,23,108,0.5402,-0.5554,-2.64,-1.17
1.7598,154,1777,11.05,1771,44.54,0.25,24,108,0.5408,-0.5554,-2.63,-1.17
1.8601,154,1777,10.91,1771,44.54,0.25,24,108,0.5402,-0.5554,-2.59,-1.17
1.9603,154,1777,10.72,1771,44.54,0.25,24,108,0.5402,-0.5545,-2.59,-1.17
2.0606,154,1776,10.32,1771,44.55,0.25,24,108,0.5402,-0.5545,-2.59,-1.17
2.1609,193,1776,10.66,1785,44.54,0.25,24,108,0.5396,-0.5541,-2.59,-1.22
2.2611,193,1835,10.68,2142,44.51,0.35,24,108,0.5396,-0.5541,-2.59,-1.22
2.3614,193,2235,10.5,2328,44.52,0.41,24,108,0.5393,-0.5535,-2.63,-1.24
2.4616,193,2358,9.63,2414,44.52,0.48,24,108,0.5393,-0.5549,-2.63,-1.24
2.5619,193,2455,8.19,2457,44.52,0.51,24,108,0.5382,-0.5533,-2.65,-1.24
2.6622,193,2477,7.49,2500,44.54,0.48,24,108,0.5374,-0.5542,-2.65,-1.24
2.7624,193,2506,6.73,2500,44.54,0.48,24,108,0.5365,-0.5537,-2.72,-1.26
2.8627,193,2508,6.93,2514,44.54,0.45,23,108,0.5374,-0.5537,-2.77,-1.26
2.9629,193,2513,7.19,2514,44.54,0.45,24,108,0.5359,-0.5532,-2.77,-1.26
3.0633,193,2513,7.31,2514,44.54,0.45,24,108,0.5368,-0.5523,-2.8,-1.26
3.1636,193,2513,7.87,2514,44.54,0.45,23,108,0.5381,-0.5532,-2.8,-1.29
3.2638,193,2510,7.49,2514,44.54,0.45,24,108,0.5368,-0.5539,-2.8,-1.29
3.3641,193,2515,6.75,2514,44.54,0.45,24,108,0.5377,-0.5544,-2.8,-1.29
3.4643,193,2515,7.16,2514,44.54,0.45,24,108,0.5356,-0.5537,-2.8,-1.26
3.5647,193,2515,7.93,2514,44.54,0.45,24,108,0.5349,-0.5538,-2.8,-1.26
3.665,193,2515,7.9,2514,44.54,0.45,24,108,0.537,-0.5534,-2.8,-1.26
3.7652,193,2515,7.15,2514,44.54,0.45,24,108,0.537,-0.5534,-2.79,-1.26
3.8655,193,2515,7.26,2514,44.54,0.45,24,108,0.5384,-0.5518,-2.79,-1.28
3.9658,193,2515,7.31,2514,44.54,0.45,24,108,0.537,-0.5518,-2.79,-1.28
4.066,205,2515,6.78,2585,44.54,0.45,24,108,0.5356,-0.5518,-2.79,-1.38
4.1663,205,2650,7.21,2685,44.54,0.48,24,108,0.5344,-0.5522,-2.79,-1.38
4.2665,205,2698,7.16,2714,44.54,0.51,24,108,0.5341,-0.5534,-2.88,-1.38
4.3668,205,2717,5.59,2714,44.54,0.51,24,108,0.5344,-0.554,-2.95,-1.35
4.467,205,2720,6.05,2714,44.55,0.51,25,108,0.5341,-0.554,-2.95,-1.28
4.5673,205,2722,6.57,2728,44.54,0.51,24,108,0.5342,-0.5524,-2.96,-1.28
4.6675,205,2722,6.4,2728,44.54,0.51,24,108,0.5342,-0.5525,-2.96,-1.28
4.7678,205,2722,6.82,2714,44.54,0.51,24,108,0.5333,-0.552,-2.96,-1.33
4.868,233,2727,6.16,2814,44.54,0.51,24,108,0.5327,-0.5518,-2.97,-1.34
4.9685,233,2962,5.89,3085,44.54,0.61,24,108,0.5318,-0.5518,-3.02,-1.36
5.0688,233,3106,5.89,3142,44.54,0.67,24,108,0.5298,-0.5518,-3.06,-1.38
5.1691,233,3135,3.93,3142,44.54,0.7,24,108,0.5287,-0.5518,-3.11,-1.38
5.2694,233,3145,2.79,3157,44.54,0.7,24,108,0.5269,-0.5515,-3.24,-1.38
5.3696,233,3145,2.52,3142,44.54,0.67,24,108,0.5271,-0.5496,-3.3,-1.38
5.4698,233,3145,2.14,3142,44.54,0.64,24,108,0.5269,-0.5497,-3.4,-1.39
5.5701,233,3141,3.05,3142,44.54,0.64,25,108,0.5278,-0.5488,-3.4,-1.5
5.6703,233,3145,3.68,3142,44.54,0.64,24,108,0.5278,-0.5486,-3.4,-1.5
5.7706,245,3181,3.35,3257,44.52,0.67,24,108,0.5278,-0.5494,-3.36,-1.52
5.8711,245,3333,3.7,3342,44.52,0.7,24,108,0.5258,-0.549,-3.36,-1.54
5.9714,245,3356,3.12,3371,44.52,0.7,24,108,0.5256,-0.5467,-3.36,-1.55
6.0716,245,3359,3.42,3371,44.52,0.74,25,108,0.5249,-0.5465,-3.48,-1.56
6.1718,245,3363,2.64,3371,44.54,0.7,24,108,0.5241,-0.5429,-3.5,-1.67
6.2721,245,3363,1.49,3371,44.54,0.7,25,108,0.5241,-0.5429,-3.54,-1.69
6.3723,245,3367,2.03,3385,44.54,0.7,24,108,0.5223,-0.5421,-3.59,-1.9
6.4726,245,3371,2.3,3371,44.55,0.7,25,108,0.5223,-0.5416,-3.59,-1.9
6.5729,245,3371,1.96,3371,44.54,0.7,24,108,0.5223,-0.5413,-3.7,-1.94
6.6731,245,3371,1.93,3371,44.54,0.7,24,108,0.5227,-0.541,-3.7,-1.97
6.7733,256,3371,1.89,3371,44.55,0.7,25,108,0.5234,-0.5424,-3.7,-1.97
6.8736,256,3468,1.74,3485,44.53,0.74,24,108,0.5221,-0.5393,-3.7,-1.99
6.9739,256,3525,2.27,3542,44.54,0.77,25,109,0.522,-0.5366,-3.7,-2.01
7.0741,256,3534,2.27,3542,44.54,0.77,25,109,0.5197,-0.5359,-3.71,-2.11
7.1743,256,3542,1.87,3542,44.54,0.8,24,109,0.519,-0.5357,-3.72,-2.27
7.2746,256,3538,1.77,3542,44.54,0.77,24,109,0.5187,-0.5353,-3.86,-2.31
7.3749,256,3538,1.89,3542,44.54,0.77,25,109,0.5188,-0.5354,-3.9,-2.32
7.4753,256,3538,1.59,3542,44.55,0.77,25,109,0.5178,-0.5369,-3.92,-2.32
7.5755,256,3538,2.27,3542,44.54,0.77,25,109,0.5179,-0.5381,-3.92,-2.32
7.6758,256,3538,2.5,3542,44.54,0.77,24,109,0.5179,-0.5378,-3.97,-2.25
7.7761,256,3538,1.85,3542,44.54,0.77,24,109,0.5189,-0.5378,-3.97,-2.2
7.8763,256,3538,2.12,3542,44.54,0.77,24,109,0.5183,-0.5383,-3.97,-2.2
7.9766,256,3538,2.1,3528,44.54,0.77,25,109,0.5179,-0.5357,-3.97,-2.2
8.0768,256,3534,2.41,3542,44.54,0.74,25,109,0.5177,-0.5368,-3.97,-2.2
8.1771,256,3538,2.22,3542,44.54,0.74,25,109,0.5171,-0.5368,-3.97,-2.25
8.2773,256,3534,1.9,3542,44.54,0.77,24,109,0.5171,-0.5354,-3.98,-2.25
8.3776,256,3538,2.21,3542,44.54,0.77,24,109,0.517,-0.5367,-4.02,-2.26
8.4778,256,3538,2.73,3542,44.54,0.77,25,109,0.5163,-0.5374,-4.02,-2.25
8.5781,256,3538,1.93,3542,44.54,0.77,25,109,0.5156,-0.5374,-4.03,-2.25
8.6783,256,3538,2.14,3542,44.54,0.77,25,109,0.5156,-0.5373,-4.07,-2.22
8.7788,256,3538,2.78,3542,44.54,0.74,24,109,0.5154,-0.5373,-4.11,-2.22
8.879,256,3538,2.8,3542,44.54,0.77,25,109,0.5158,-0.5376,-4.11,-2.22
8.9792,256,3538,3.24,3542,44.52,0.74,25,109,0.5152,-0.5385,-4.11,-2.22
9.0795,256,3538,2.66,3542,44.52,0.74,25,109,0.5149,-0.5365,-4.13,-2.22
9.1797,256,3538,2.3,3542,44.52,0.77,24,109,0.5147,-0.5368,-4.14,-2.22
9.28,256,3538,3.12,3542,44.53,0.77,25,109,0.5162,-0.5377,-4.14,-2.21
9.3802,256,3538,3.73,3542,44.54,0.77,25,109,0.5156,-0.5373,-4.14,-2.22
9.4805,256,3538,2.87,3542,44.54,0.77,25,109,0.5155,-0.5374,-4.12,-2.22
9.5807,256,3538,2.89,3542,44.54,0.77,25,109,0.516,-0.5377,-4.11,-2.22
9.681,256,3538,3.12,3542,44.54,0.77,24,109,0.5157,-0.5371,-4.11,-2.22
9.7815,256,3538,3.16,3542,44.54,0.77,25,109,0.5155,-0.5374,-4.11,-2.22
9.8819,256,3534,3.97,3557,44.54,0.77,25,109,0.5155,-0.5374,-4.12,-2.22
9.9821,256,3538,3.7,3542,44.52,0.77,25,109,0.5163,-0.5378,-4.11,-2.22
10.0824,256,3538,4.09,3542,44.54,0.74,25,109,0.5163,-0.5378,-4.11,-2.22
10.1826,256,3538,3.7,3542,44.55,0.77,25,109,0.5146,-0.5371,-4.12,-2.22
10.2829,256,3538,3.4,3542,44.54,0.74,25,109,0.5148,-0.5365,-4.12,-2.22
10.3832,256,3542,3.34,3542,44.54,0.77,25,109,0.5136,-0.5351,-4.16,-2.24
10.4834,256,3538,2.75,3542,44.54,0.77,25,109,0.5143,-0.5351,-4.18,-2.27
10.5837,256,3538,3.5,3542,44.55,0.77,25,109,0.5152,-0.5371,-4.18,-2.27
10.6839,256,3538,3.2,3542,44.54,0.77,25,109,0.5152,-0.5373,-4.16,-2.27
10.7843,256,3538,3.69,3557,44.54,0.77,25,109,0.5155,-0.5369,-4.14,-2.25
10.8846,256,3542,3.9,3542,44.54,0.77,25,109,0.5153,-0.5363,-4.14,-2.25
10.9848,256,3538,3.19,3542,44.56,0.77,25,109,0.5148,-0.5369,-4.14,-2.25
11.085,256,3538,3.37,3542,44.54,0.77,25,109,0.5149,-0.5372,-4.14,-2.25
11.1853,256,3538,3.97,3542,44.54,0.77,25,109,0.5152,-0.5391,-4.14,-2.25
11.2856,256,3542,4.21,3542,44.53,0.77,25,109,0.5148,-0.5369,-4.16,-2.25
11.3858,256,3538,3.43,3542,44.53,0.77,25,109,0.5144,-0.5364,-4.16,-2.25
11.4861,256,3538,3.59,3542,44.54,0.74,25,109,0.5136,-0.5359,-4.16,-2.25
11.5863,256,3538,3.89,3542,44.54,0.74,25,109,0.5144,-0.5366,-4.19,-2.27
11.6869,256,3538,4.32,3542,44.54,0.77,25,109,0.5145,-0.5365,-4.19,-2.27
11.7872,256,3538,4.36,3542,44.54,0.77,25,109,0.5145,-0.5378,-4.19,-2.27
11.8874,256,3538,4.51,3542,44.54,0.77,25,109,0.5141,-0.5365,-4.19,-2.27
11.9877,256,3538,4.44,3542,44.54,0.77,25,109,0.5132,-0.5356,-4.19,-2.27
12.088,256,3542,4.24,3542,44.54,0.77,25,110,0.5127,-0.5356,-4.21,-2.27
12.1882,256,3542,4.22,3542,44.54,0.74,25,110,0.513,-0.5356,-4.26,-2.32
12.2885,256,3542,3.55,3542,44.55,0.77,25,110,0.5142,-0.5374,-4.26,-2.32
12.3888,256,3542,4.18,3542,44.55,0.77,25,110,0.5142,-0.5358,-4.26,-2.32
12.489,256,3538,4.76,3542,44.54,0.77,25,110,0.5119,-0.5346,-4.27,-2.32
12.5896,290,3538,5.72,3542,44.54,0.77,25,110,0.5113,-0.5351,-4.27,-2.32
12.6899,290,3686,4.77,3714,44.52,0.83,25,110,0.5115,-0.5341,-4.34,-2.35
12.7906,290,3968,3.29,3971,44.55,0.93,25,110,0.5204,-0.5301,-4.34,-2.38
12.8908,290,4011,3.76,4028,44.55,0.99,25,110,0.5361,-0.5175,-4.34,-2.41
12.9911,290,4011,4.48,4028,44.54,1.03,25,110,0.5368,-0.5175,-3.82,-2.65
13.0913,290,4016,7.92,4028,44.54,1.03,25,110,0.5358,-0.5214,-2.87,-3.16
13.1915,290,4016,8.25,4028,44.54,0.96,25,110,0.5342,-0.5219,-2.87,-3.16
13.2931,290,4016,7.89,4028,44.54,0.96,25,110,0.5341,-0.5219,-2.87,-3.16
13.3933,290,4016,7.95,4028,44.55,0.96,25,110,0.5349,-0.5197,-2.92,-3.16
13.4936,290,4016,7.96,4014,44.54,0.96,25,110,0.5341,-0.5206,-2.96,-3.16
13.5938,290,4016,7.4,4014,44.54,0.93,25,110,0.5351,-0.5206,-2.96,-3.2
13.6941,290,4016,8.27,4028,44.54,0.93,25,110,0.5336,-0.5199,-2.97,-3.2
13.7943,290,4016,8.47,4028,44.54,0.93,25,110,0.5327,-0.5198,-2.97,-3.24
13.8945,290,4016,7.81,4028,44.52,0.93,25,110,0.533,-0.5199,-3.0,-3.24
13.9948,290,4016,7.96,4028,44.53,0.96,25,110,0.5349,-0.5192,-3.0,-3.24
14.095,290,4021,7.54,4028,44.55,0.96,25,110,0.5342,-0.5201,-3.0,-3.24
14.1952,290,4016,7.39,4014,44.54,0.96,25,110,0.5342,-0.522,-2.96,-3.24
14.2957,307,4021,7.73,4042,44.54,0.96,25,110,0.5346,-0.5203,-2.96,-3.23
14.396,307,4196,8.54,4142,44.52,1.03,25,110,0.5327,-0.5217,-2.96,-3.22
14.4962,307,4243,9.15,4257,44.52,1.06,25,110,0.5249,-0.5274,-2.96,-3.14
14.5965,307,4249,9.54,4257,44.54,1.09,25,110,0.5216,-0.5285,-3.06,-3.12
14.6967,307,4249,10.74,4271,44.54,1.09,25,110,0.5211,-0.5288,-3.54,-2.8
14.797,307,4249,9.61,4257,44.54,1.09,25,110,0.5207,-0.5288,-3.74,-2.74
14.8972,307,4249,9.63,4242,44.54,1.06,25,110,0.5207,-0.5285,-3.77,-2.74
14.9975,307,4249,10.52,4242,44.54,1.09,25,110,0.5207,-0.5291,-3.8,-2.72
15.0977,307,4249,9.21,4257,44.54,1.09,25,110,0.521,-0.5302,-3.8,-2.72
15.198,307,4249,9.61,4271,44.54,1.06,25,110,0.5207,-0.5292,-3.8,-2.7
15.2983,307,4249,11.69,4257,44.54,1.06,26,110,0.5205,-0.5282,-3.8,-2.7
15.3986,324,4261,12.57,4271,44.54,1.06,25,110,0.5182,-0.5276,-3.8,-2.7
15.4988,324,4464,12.36,4457,44.53,1.12,25,110,0.514,-0.5319,-3.81,-2.7
15.599,324,4484,12.58,4485,44.55,1.15,26,110,0.5107,-0.5336,-3.95,-2.7
15.6993,324,4491,12.93,4500,44.54,1.19,25,110,0.5109,-0.5331,-4.21,-2.54
15.7995,324,4491,13.43,4500,44.54,1.19,26,110,0.5097,-0.533,-4.4,-2.48
15.8998,324,4491,13.5,4471,44.55,1.19,25,110,0.5093,-0.5336,-4.42,-2.47
16.0,324,4491,14.98,4500,44.54,1.19,26,110,0.5092,-0.5341,-4.48,-2.44
16.1002,324,4491,15.99,4485,44.54,1.19,26,110,0.509,-0.5321,-4.5,-2.47
16.2005,324,4491,15.63,4485,44.54,1.15,26,111,0.5084,-0.5326,-4.51,-2.48
