time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0481,250,3521,-16.46,3528,44.54,0.57,27,6,0.5554,-0.5361,-0.72,-4.1
0.1484,250,3521,-16.45,3528,44.54,0.57,27,6,0.5559,-0.5361,-0.72,-4.05
0.2486,250,3521,-16.44,3528,44.55,0.57,27,6,0.5559,-0.5353,-0.7,-4.05
0.3489,250,3521,-16.47,3514,44.55,0.57,27,6,0.5535,-0.5337,-0.7,-4.05
0.4491,250,3521,-16.49,3528,44.55,0.57,26,6,0.5536,-0.5362,-0.7,-4.05
0.5495,250,3521,-16.36,3528,44.55,0.57,27,6,0.5544,-0.5339,-0.77,-4.1
0.6498,250,3521,-16.23,3528,44.55,0.57,27,6,0.554,-0.5363,-0.79,-4.1
0.75,250,3521,-16.31,3528,44.55,0.57,27,6,0.5544,-0.5364,-0.79,-4.05
0.8503,250,3521,-16.34,3528,44.54,0.57,27,6,0.5533,-0.5364,-0.79,-4.04
0.9505,250,3521,-16.53,3528,44.55,0.57,27,6,0.5542,-0.5357,-0.78,-4.04
1.0508,250,3521,-16.38,3528,44.54,0.57,27,6,0.554,-0.5348,-0.79,-4.04
1.151,250,3521,-16.34,3528,44.54,0.57,27,6,0.5544,-0.5347,-0.78,-4.08
1.2512,250,3521,-16.03,3514,44.54,0.61,27,6,0.5543,-0.5347,-0.78,-4.13
1.3515,250,3521,-16.21,3528,44.54,0.61,27,7,0.555,-0.536,-0.77,-4.13
1.4519,250,3521,-16.33,3528,44.54,0.61,27,7,0.5559,-0.537,-0.77,-4.13
1.5521,250,3521,-16.38,3528,44.54,0.57,27,7,0.5563,-0.5362,-0.72,-4.06
1.6524,250,3517,-16.23,3528,44.55,0.57,27,7,0.5538,-0.5352,-0.72,-4.06
1.7527,250,3521,-16.27,3528,44.56,0.57,27,7,0.554,-0.5355,-0.72,-4.06
1.8529,250,3521,-16.19,3528,44.55,0.61,27,7,0.5553,-0.5353,-0.7,-4.09
1.9531,250,3521,-16.24,3528,44.54,0.61,27,7,0.5547,-0.5348,-0.75,-4.1
2.0533,250,3521,-16.44,3528,44.55,0.57,27,7,0.5551,-0.5349,-0.75,-4.1
2.1536,250,3521,-16.39,3528,44.55,0.57,27,7,0.5553,-0.5354,-0.72,-4.1
2.2539,250,3521,-16.33,3528,44.55,0.57,27,7,0.5549,-0.5351,-0.72,-4.11
2.3545,250,3521,-16.29,3528,44.54,0.57,27,7,0.5549,-0.5353,-0.73,-4.11
2.4548,269,3521,-16.36,3528,44.54,0.61,27,7,0.5554,-0.5353,-0.72,-4.1
2.555,269,3686,-16.34,3742,44.53,0.64,27,7,0.5554,-0.5356,-0.7,-4.1
2.6553,269,3778,-16.25,3800,44.54,0.64,27,7,0.5554,-0.5361,-0.7,-4.1
2.7556,269,3778,-16.32,3800,44.54,0.67,27,7,0.5549,-0.5346,-0.7,-4.1
2.8558,269,3783,-16.41,3800,44.54,0.67,27,7,0.5552,-0.5349,-0.7,-4.1
2.9561,269,3783,-16.29,3771,44.55,0.64,26,7,0.5542,-0.5361,-0.71,-4.08
3.0563,269,3783,-16.39,3785,44.54,0.64,27,7,0.5544,-0.535,-0.73,-4.11
3.1566,269,3783,-16.24,3800,44.55,0.64,27,7,0.5561,-0.535,-0.73,-4.11
3.2568,269,3783,-16.36,3785,44.54,0.64,27,7,0.5546,-0.5363,-0.75,-4.11
