time_s,throttle_pct,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah
0.052,0,0,0.0,0,40.49,0.03,30,40
0.1521,0,0,0.0,0,40.49,0.03,30,40
0.2522,0,0,0.0,0,40.49,0.03,30,40
0.3523,0,0,0.0,0,40.48,0.03,30,40
0.4524,0,0,0.0,0,40.48,0.03,30,40
0.5525,0,0,0.0,0,40.48,0.03,30,40
0.6526,0,0,0.0,0,40.48,0.03,30,40
0.7528,0,0,0.0,0,40.48,0.03,30,40
0.8529,0,0,0.0,0,40.48,0.03,30,40
0.953,0,0,0.0,0,40.48,0.03,30,40
1.0531,0,0,0.0,0,40.48,0.03,30,40
1.1532,0,0,0.0,0,40.49,0.03,30,40
1.2533,0,0,0.0,0,40.49,0.03,30,40
1.3534,0,0,0.0,0,40.49,0.03,30,40
1.4536,0,0,0.0,0,40.49,0.03,30,40
1.5537,0,0,0.0,0,40.49,0.03,30,40
1.6538,0,0,0.0,0,40.49,0.03,30,40
1.7539,0,0,0.0,0,40.49,0.03,30,40
1.854,3,0,0.0,385,40.5,0.06,30,40
1.9541,3,0,0.0,542,40.5,0.06,30,40
2.0542,3,0,0.0,571,40.51,0.09,30,40
2.1543,3,556,0.0,585,40.51,0.09,30,40
2.2545,3,577,0.0,585,40.5,0.06,30,40
2.3546,3,591,0.0,600,40.5,0.06,30,40
2.4547,3,600,0.0,600,40.52,0.06,30,40
2.5548,3,601,0.0,600,40.52,0.06,30,40
2.6549,3,613,0.0,600,40.51,0.06,30,40
2.755,3,627,0.0,614,40.51,0.06,30,40
2.8552,3,627,0.0,614,40.51,0.06,30,40
2.9553,3,610,0.0,614,40.51,0.06,30,40
3.0554,3,612,0.0,614,40.52,0.06,30,40
3.1555,3,615,0.0,600,40.51,0.06,30,40
3.2556,3,612,0.0,600,40.5,0.06,30,40
3.3557,3,610,0.0,614,40.51,0.06,30,40
3.4558,3,624,0.0,614,40.51,0.06,30,40
3.5559,3,624,0.0,614,40.52,0.06,30,40
3.656,3,610,0.0,614,40.52,0.06,30,40
3.7561,3,610,0.0,614,40.52,0.09,30,40
3.8562,3,616,0.0,614,40.52,0.09,30,40
3.9563,3,617,0.0,614,40.52,0.09,30,40
4.0565,3,607,0.0,614,40.52,0.09,30,40
4.1566,3,617,0.0,614,40.52,0.09,30,40
4.2567,3,617,0.0,614,40.52,0.09,30,40
4.3568,3,613,0.0,614,40.52,0.09,30,40
4.4569,3,619,0.0,614,40.52,0.09,30,40
4.5571,3,612,0.0,614,40.51,0.09,30,40
4.6572,3,612,0.0,614,40.53,0.09,30,40
4.7573,3,610,0.0,614,40.51,0.09,30,40
4.8575,3,610,0.0,614,40.51,0.09,30,40
4.9576,3,616,0.0,600,40.51,0.09,30,40
5.0578,3,616,0.0,614,40.5,0.09,30,40
5.158,3,619,0.0,614,40.5,0.09,30,40
5.2581,3,619,0.0,614,40.5,0.09,30,40
5.3586,3,610,0.0,614,40.5,0.09,30,40
5.4587,3,615,0.0,600,40.5,0.09,30,40
5.5589,3,615,0.0,614,40.51,0.09,30,40
5.6591,3,614,0.0,614,40.5,0.09,30,40
5.7592,3,614,0.0,614,40.5,0.09,30,40
5.8594,3,613,0.0,614,40.51,0.09,30,40
5.9596,3,613,0.0,614,40.52,0.09,30,40
6.0598,3,615,0.0,614,40.52,0.09,30,40
6.16,3,618,0.0,614,40.52,0.09,30,40
6.2601,3,611,0.0,600,40.52,0.09,30,40
6.3603,3,608,0.0,614,40.52,0.09,30,40
6.4605,3,607,0.0,614,40.5,0.09,30,40
6.5606,3,620,0.0,614,40.5,0.09,30,40
6.6608,3,618,0.0,614,40.5,0.09,30,40
6.761,3,611,0.0,614,40.5,0.09,30,40
6.8611,3,609,0.0,614,40.5,0.09,30,40
6.9613,3,616,0.0,614,40.51,0.09,30,40
7.0614,3,618,0.0,614,40.5,0.09,30,40
7.1616,3,614,0.0,614,40.51,0.09,30,40
7.2618,3,612,0.0,614,40.5,0.09,30,40
7.3619,3,614,0.0,614,40.5,0.09,30,40
7.4621,3,615,0.0,614,40.51,0.09,30,40
