time_s,throttle_pct,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0075,0,0,1.55,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
0.1078,0,0,1.58,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
0.2081,0,0,1.53,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
0.3083,0,0,1.5,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
0.4086,0,0,1.46,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
0.5088,0,0,1.42,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
0.609,0,0,1.46,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
0.7092,0,0,1.49,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
0.8094,0,0,1.38,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
0.9097,0,0,1.44,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
1.01,0,0,1.56,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
1.1102,0,0,1.57,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
1.2105,0,0,1.52,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
1.3107,0,0,1.53,0,44.54,0.03,30,30,1.95,1.38,10.0,10.0
1.411,0,0,1.5,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
1.5112,0,0,1.47,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
1.6115,0,0,1.5,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
1.7127,0,0,1.48,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
1.8129,0,0,1.41,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
1.9132,0,0,1.47,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
2.0135,0,0,1.34,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
2.1137,0,0,1.37,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
2.214,0,0,1.42,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
2.3142,0,0,1.44,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
2.4144,0,0,1.39,0,44.55,0.03,30,30,1.95,1.38,10.0,10.0
