time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0015,283,3942,32.79,4000,44.56,0.74,33,15,2.2,1.25,-1.89,-1.65
0.1018,283,2001,32.93,4000,44.56,0.74,33,15,2.18,1.18,-1.89,-1.65
0.2021,283,3984,32.93,4000,44.55,0.74,33,15,2.18,1.19,-1.89,-1.65
0.3024,283,4000,32.69,4000,44.55,0.74,33,15,2.18,1.19,-1.89,-1.65
0.4027,283,3931,32.53,4000,44.55,0.74,33,15,2.19,1.18,-1.89,-1.65
0.5029,283,4000,32.65,4014,44.55,0.74,33,15,2.18,1.18,-1.89,-0.99
0.6032,283,4000,32.73,4000,44.57,0.74,33,15,2.17,1.19,-1.89,-1.65
0.7035,283,3984,32.87,4000,44.56,0.74,33,15,2.19,1.18,-1.89,-0.99
0.8039,283,4010,32.92,4014,44.56,0.74,34,15,2.17,1.17,-1.89,-0.99
0.9042,283,3984,32.95,4000,44.56,0.74,34,15,2.17,1.2,-2.5,-0.99
1.0045,283,2004,32.93,4000,44.56,0.77,33,15,2.17,1.17,-2.5,-0.99
1.1048,283,4000,33.05,4000,44.56,0.77,33,15,2.18,1.19,-2.5,-0.99
1.2051,283,2002,32.88,4014,44.56,0.77,33,15,2.18,1.18,-2.5,-0.99
1.3053,283,3963,32.91,4014,44.54,0.74,33,15,2.16,1.18,-2.5,-0.99
1.4055,283,2005,32.91,4014,44.55,0.74,33,15,2.17,1.19,-2.5,-0.99
1.5057,283,2006,32.97,4014,44.55,0.77,33,15,2.19,1.19,-1.89,-1.65
1.606,283,2008,32.84,4014,44.55,0.77,33,15,2.24,1.17,-1.89,-0.99
1.7066,283,4037,32.84,4000,44.55,0.77,33,15,1.85,1.18,-2.5,-0.99
1.8069,283,3973,33.21,4000,44.55,0.77,33,15,2.18,1.19,-1.89,-1.65
1.9072,283,2005,33.0,4000,44.55,0.74,33,15,2.19,1.13,-1.29,-0.99
2.0074,283,2000,33.05,4000,44.56,0.74,34,15,2.17,1.2,-1.89,-0.99
2.1077,283,4000,32.98,4014,44.56,0.74,34,15,2.19,1.18,-1.89,-0.99
2.208,283,3973,33.06,4000,44.55,0.74,33,15,2.17,1.19,-1.89,-1.65
2.3083,283,2004,33.1,4000,44.56,0.77,34,15,2.17,1.19,-2.5,-1.65
2.4085,283,2005,32.85,4000,44.55,0.77,34,15,2.18,1.18,-2.5,-1.65
2.5088,283,2009,32.9,4014,44.55,0.77,34,15,2.18,1.18,-1.89,-0.99
2.6091,283,2002,32.89,4014,44.55,0.77,34,15,2.17,1.17,-2.5,-0.99
2.7094,283,4016,32.96,4014,44.55,0.77,34,15,2.18,1.19,-1.89,-0.99
