time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg,enc_deg,pitch_enc
0.0143,0,0,-0.06,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
0.1146,0,0,-0.06,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
0.2148,0,0,-0.06,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
0.3151,0,0,-0.06,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
0.4155,0,0,-0.11,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
0.5159,0,0,-0.11,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
0.6162,0,0,-0.11,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
0.7165,0,0,-0.11,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
0.8167,0,0,-0.11,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
0.919,0,0,-0.11,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
1.0192,0,0,-0.11,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
1.1195,0,0,-0.11,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
1.2198,0,0,-0.11,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
1.3201,0,0,-0.11,0,12.71,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
1.4204,0,0,-0.18,0,12.72,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
1.5207,0,0,-0.18,0,12.72,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
1.621,0,0,-0.18,0,12.72,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
1.7213,0,0,-0.18,0,12.72,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
1.8215,0,0,-0.18,0,12.72,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
1.9218,0,0,-0.18,0,12.72,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
2.0221,0,0,-0.18,0,12.72,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
2.1224,0,0,-0.18,0,12.72,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
2.2226,0,0,-0.18,0,12.72,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
2.3229,0,0,-0.18,0,12.72,0.03,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
2.4233,125,0,-0.03,128,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
2.5236,125,0,-0.03,128,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
2.6239,125,0,-0.03,128,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
2.7241,125,0,-0.03,128,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
2.8244,125,0,-0.03,128,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
2.9247,125,0,-0.03,128,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
3.025,125,0,-0.03,128,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
3.1253,125,0,-0.03,128,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
3.2255,125,0,-0.03,128,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
3.3258,125,0,-0.03,128,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
3.4262,125,0,-0.06,714,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
3.5266,125,0,-0.06,714,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
3.6269,125,0,-0.06,714,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
3.7272,125,0,-0.06,714,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
3.8275,125,0,-0.06,714,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
3.9278,125,0,-0.06,714,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
4.0281,125,0,-0.06,714,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
4.1283,125,0,-0.06,714,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
4.2286,125,0,-0.06,714,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.41,-7.29
4.3288,125,0,-0.06,714,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.41,-7.29
4.4291,125,0,0.04,728,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
4.5295,125,0,0.04,728,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
4.6297,125,0,0.04,728,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.41,-7.29
4.73,125,0,0.04,728,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
4.8304,182,0,0.04,728,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
4.9306,182,0,0.04,728,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
5.0309,182,0,0.04,728,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.41,-7.29
5.1312,182,0,0.04,728,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.41,-7.29
5.2314,182,0,0.04,728,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
5.3317,182,0,0.04,728,12.72,0.09,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
5.4321,182,0,-0.02,1114,12.72,0.19,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
5.5324,182,0,-0.02,1114,12.72,0.19,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
5.6327,182,0,-0.02,1114,12.72,0.19,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
5.733,182,0,-0.02,1114,12.72,0.19,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
5.8333,182,0,-0.02,1114,12.72,0.19,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
5.9349,245,0,-0.02,1114,12.72,0.19,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
6.0352,245,0,-0.02,1114,12.72,0.19,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
6.1355,245,0,-0.02,1114,12.72,0.19,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
6.2358,245,0,-0.02,1114,12.72,0.19,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
6.3361,245,0,-0.02,1114,12.72,0.19,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
6.4364,245,0,0.07,1542,12.72,0.28,28,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
6.5367,245,0,0.07,1542,12.72,0.28,28,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
6.637,245,0,0.07,1542,12.72,0.28,28,10,0.0,0.0,-20.0,-20.0,345.41,-7.29
6.7373,245,0,0.07,1542,12.72,0.28,28,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
6.8375,245,0,0.07,1542,12.72,0.28,28,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
6.9379,307,0,0.07,1542,12.72,0.28,28,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
7.0382,307,0,0.07,1542,12.72,0.28,28,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
7.1385,307,0,0.07,1542,12.72,0.28,28,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
7.2388,307,0,0.07,1542,12.72,0.28,28,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
7.3391,307,0,0.07,1542,12.72,0.28,28,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
7.4394,307,0,-0.03,2000,12.71,0.45,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
7.5397,307,0,-0.03,2000,12.71,0.45,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
7.6399,307,0,-0.03,2000,12.71,0.45,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
7.7402,307,0,-0.03,2000,12.71,0.45,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
7.8404,307,0,-0.03,2000,12.71,0.45,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
7.9407,415,0,-0.03,2000,12.71,0.45,29,10,0.0,0.0,-20.0,-20.0,345.322,-7.47
