time_s,throttle,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pitch_hall,enc_deg,pitch_enc
0.0435,267,-28.04,1557,12.72,0.41,33,1,-35.01,0.0,
0.1437,267,-28.36,1557,12.72,0.41,32,1,-35.17,0.0,
0.2439,267,-28.32,1557,12.72,0.41,33,1,-35.09,0.0,
0.344,267,-28.41,1557,12.72,0.41,33,1,-35.19,0.0,
0.4442,267,-28.06,1571,12.72,0.38,33,1,-34.94,0.0,
0.5444,267,-27.95,1557,12.72,0.38,33,1,-34.75,0.0,
0.6446,267,-28.38,1557,12.72,0.38,33,1,-34.89,0.0,
0.7447,267,-28.6,1557,12.72,0.38,32,1,-34.72,0.0,
0.8449,267,-28.17,1571,12.72,0.41,33,1,-34.57,0.0,
0.945,267,-27.7,1557,12.72,0.38,33,1,-34.42,0.0,
1.0452,267,-28.03,1571,12.72,0.38,33,1,-34.53,0.0,
1.1454,267,-28.22,1571,12.72,0.38,33,1,-34.7,0.0,
1.2456,267,-27.81,1571,12.72,0.38,33,1,-34.34,0.0,
1.3458,267,-27.57,1571,12.72,0.38,33,1,-34.58,0.0,
1.446,267,-27.46,1571,12.72,0.38,33,1,-34.51,0.0,
1.5462,267,-27.21,1571,12.72,0.38,33,1,-34.49,0.0,
1.6464,267,-27.19,1571,12.72,0.38,33,1,-34.58,0.0,
1.7466,267,-27.71,1571,12.72,0.38,33,2,-34.3,0.0,
1.8469,267,-27.74,1557,12.72,0.38,33,2,-34.29,0.0,
1.9471,267,-27.6,1571,12.72,0.41,33,2,-34.61,0.0,
2.0472,267,-27.35,1571,12.72,0.41,33,2,-33.92,0.0,
2.1474,267,-26.98,1557,12.72,0.38,33,2,-34.19,0.0,
2.2476,267,-27.31,1585,12.72,0.38,32,2,-34.02,0.0,
2.3478,267,-27.1,1571,12.72,0.38,33,2,-34.01,0.0,
2.448,267,-26.93,1585,12.72,0.38,33,2,-33.96,0.0,
2.5482,267,-26.91,1571,12.72,0.38,33,2,-34.1,0.0,
2.6484,267,-27.12,1585,12.72,0.38,32,2,-34.04,0.0,
2.7487,267,-27.37,1571,12.72,0.38,33,2,-33.87,0.0,
2.8489,267,-27.8,1571,12.72,0.38,33,2,-33.8,0.0,
2.9491,367,-27.77,1585,12.72,0.38,33,2,-33.6,0.0,
3.0493,367,-27.7,1800,12.71,0.57,33,2,-33.85,0.0,
3.1495,367,-28.38,1971,12.71,0.77,32,2,-33.52,0.0,
3.2497,367,-33.77,2057,12.71,0.9,33,2,-33.08,0.0,
3.3498,367,-41.66,2071,12.71,0.86,33,2,-33.15,0.0,
3.45,367,-48.37,2128,12.71,0.8,33,2,-32.83,0.0,
3.5501,367,-49.61,2157,12.71,0.8,33,2,-32.67,0.0,
3.6503,367,-49.98,2171,12.71,0.77,33,2,-32.17,0.0,
3.7505,367,-50.17,2200,12.72,0.74,33,2,-31.12,0.0,
3.8507,367,-49.72,2214,12.71,0.74,33,2,-30.64,0.0,
3.9508,367,-49.09,2242,12.71,0.7,33,2,-29.88,0.0,
4.051,367,-48.27,2242,12.71,0.7,33,2,-28.99,0.0,
4.1511,367,-46.99,2271,12.71,0.67,33,2,-28.66,0.0,
4.2513,367,-45.75,2271,12.7,0.64,33,2,-28.42,0.0,
4.3515,367,-42.83,2285,12.71,0.61,33,2,-27.51,0.0,
4.4516,367,-42.55,2300,12.71,0.61,33,2,-27.05,0.0,
4.5518,367,-42.62,2314,12.71,0.61,33,2,-26.85,0.0,
4.652,367,-42.29,2300,12.72,0.57,33,2,-26.24,0.0,
4.7522,367,-41.93,2300,12.72,0.57,33,2,-26.14,0.0,
4.8523,367,-40.97,2314,12.72,0.57,33,2,-25.71,0.0,
4.9525,367,-39.86,2314,12.72,0.54,33,2,-25.04,0.0,
5.0527,367,-39.48,2314,12.72,0.54,33,2,-24.94,0.0,
5.1528,367,-38.89,2328,12.72,0.54,33,2,-24.4,0.0,
5.253,367,-37.52,2328,12.72,0.54,33,2,-24.19,0.0,
