time_s,throttle_pct,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0645,8,0,0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
0.1648,8,0,0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
0.2651,8,0,0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
0.3653,8,0,0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
0.4656,8,0,0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
0.5659,8,0,0.05,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
0.6661,8,0,0.05,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
0.7665,8,0,0.05,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
0.8668,8,0,0.05,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
0.9671,8,0,0.05,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
1.0673,8,0,0.05,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
1.1676,8,0,0.05,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
1.2679,8,0,0.05,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
1.3681,8,0,0.05,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
1.4683,8,0,0.05,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
1.5686,8,0,-0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
1.6688,8,0,-0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
1.7691,8,0,-0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
1.8694,8,0,-0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
1.9696,8,0,-0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
2.0699,8,0,-0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
2.1701,8,0,-0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
2.2704,8,0,-0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
2.3707,14,0,-0.02,0,40.48,0.03,28,71,1.9,1.43,-4.53,-3.45
2.471,14,0,-0.02,0,40.48,0.03,28,71,1.95,1.45,1.29,-7.18
2.5712,14,3355,0.12,0,40.48,0.03,28,71,1.9,1.45,-4.53,-7.18
2.6715,14,2043,0.12,0,40.48,0.03,28,71,1.87,1.45,-13.26,-7.18
2.7718,14,4143,0.12,0,40.48,0.03,28,71,1.9,1.46,-4.53,-8.99
2.872,14,4160,0.12,4185,40.48,1.44,28,71,1.88,1.46,-11.53,-8.99
2.9722,14,4155,0.12,4185,40.48,1.44,28,71,1.88,1.46,-11.53,-8.99
3.0724,14,2093,0.12,4185,40.48,1.44,28,71,1.9,1.45,-4.53,-7.18
3.1727,14,4184,0.12,4185,40.48,1.44,28,71,1.88,1.45,-11.53,-7.18
3.2729,14,2100,0.12,4185,40.48,1.44,28,71,1.88,1.45,-11.53,-7.18
3.3731,14,4155,0.12,4185,40.48,1.44,28,71,1.88,1.45,-11.53,-7.18
3.4733,14,2103,0.12,4185,40.48,1.44,28,71,1.88,1.46,-11.53,-8.99
3.5736,14,2094,83.27,4185,40.48,1.44,28,71,1.88,1.45,-11.53,-7.18
3.6738,14,4103,83.27,4185,40.48,1.44,28,71,1.88,1.45,-11.53,-7.18
3.774,14,2118,83.27,4185,40.48,1.44,28,71,1.88,1.45,-11.53,-7.18
3.875,14,2106,83.27,4200,40.46,0.93,28,71,1.88,1.46,-11.53,-8.99
3.9753,16,2129,83.27,4200,40.46,0.93,28,71,1.88,1.46,-11.53,-8.99
4.0755,16,2388,83.27,4200,40.46,0.93,28,71,1.88,1.45,-11.53,-7.18
4.1757,16,4823,83.27,4200,40.46,0.93,28,71,1.88,1.45,-11.53,-7.18
4.2759,16,4823,83.27,4200,40.46,0.93,28,71,1.88,1.46,-11.53,-8.99
4.3761,16,4830,83.27,4200,40.46,0.93,28,71,1.88,1.46,-11.53,-8.99
4.4764,16,4807,83.27,4200,40.46,0.93,28,71,1.9,1.46,-4.53,-8.99
4.5766,16,4784,116.82,4200,40.46,0.93,28,71,1.88,1.45,-11.53,-7.18
4.6768,16,4823,116.82,4200,40.46,0.93,28,71,1.87,1.45,-13.26,-7.18
4.777,16,4846,116.82,4200,40.46,0.93,28,71,1.87,1.45,-13.26,-7.18
4.8772,16,2433,116.82,4857,40.46,1.19,28,72,1.88,1.44,-11.53,-5.38
4.9775,16,2431,116.82,4857,40.46,1.19,28,72,1.87,1.46,-13.26,-8.99
5.0777,16,2421,116.82,4857,40.46,1.19,28,72,1.87,1.46,-13.26,-8.99
5.178,18,4807,116.82,4857,40.46,1.19,28,72,1.88,1.42,-11.53,-1.5
5.2782,18,2645,116.82,4857,40.46,1.19,28,72,1.88,1.45,-11.53,-7.18
5.3784,18,2676,116.82,4857,40.46,1.19,28,72,1.87,1.45,-13.26,-7.18
5.4787,18,5093,116.82,4857,40.46,1.19,28,72,1.92,1.45,-2.61,-7.18
5.5789,18,5244,146.5,4857,40.46,1.19,28,72,1.88,1.46,-11.53,-8.99
5.6791,18,5338,146.5,4857,40.46,1.19,28,72,1.87,1.46,-13.26,-8.99
5.7794,18,5319,146.5,4857,40.46,1.19,28,72,1.88,1.45,-11.53,-7.18
5.8796,18,5217,146.5,5357,40.47,1.44,28,72,1.87,1.46,-13.26,-8.99
5.9798,18,2683,146.5,5357,40.47,1.44,28,72,1.87,1.45,-13.26,-7.18
6.0801,21,5263,146.5,5357,40.47,1.44,28,72,1.88,1.45,-11.53,-7.18
6.1804,21,3024,146.5,5357,40.47,1.44,28,72,1.87,1.45,-13.26,-7.18
6.2807,21,6024,146.5,5357,40.47,1.44,28,72,1.88,1.46,-11.53,-8.99
6.3809,21,3048,146.5,5357,40.47,1.44,28,72,1.87,1.46,-13.26,-8.99
6.4811,21,3073,146.5,5357,40.47,1.44,28,72,1.89,1.45,-9.05,-7.18
6.5814,21,6085,187.55,5357,40.47,1.44,28,72,1.9,1.46,-4.53,-8.99
6.6816,21,6036,187.55,5357,40.47,1.44,28,72,1.89,1.45,-9.05,-7.18
6.7818,25,3051,187.55,5357,40.47,1.44,28,72,1.87,1.46,-13.26,-8.99
6.8821,25,6849,187.55,7000,40.42,2.18,28,73,1.87,1.44,-13.26,-5.38
6.9823,25,7042,187.55,7000,40.42,2.18,28,73,1.88,1.36,-11.53,7.98
7.0826,25,7042,187.55,7000,40.42,2.18,28,73,1.87,1.46,-13.26,-8.99
7.1828,25,3567,187.55,7000,40.42,2.18,28,73,1.87,1.45,-13.26,-7.18
7.2831,25,7092,187.55,7000,40.42,2.18,28,73,1.87,1.45,-13.26,-7.18
7.3833,25,7058,187.55,7000,40.42,2.18,28,73,1.87,1.46,-13.26,-8.99
7.4835,25,7042,187.55,7000,40.42,2.18,28,73,1.88,1.46,-11.53,-8.99
7.5837,25,7025,243.3,7000,40.42,2.18,28,73,1.87,1.46,-13.26,-8.99
7.684,25,7058,243.3,7000,40.42,2.18,28,73,1.88,1.45,-11.53,-7.18
7.7843,25,7025,243.3,7000,40.42,2.18,28,73,1.87,1.45,-13.26,-7.18
7.8845,25,7025,243.3,7142,40.46,2.31,29,73,1.87,1.46,-13.26,-8.99
7.9847,25,3554,243.3,7142,40.46,2.31,29,73,1.87,1.46,-13.26,-8.99
8.0849,25,7025,243.3,7142,40.46,2.31,29,73,1.87,1.46,-13.26,-8.99
8.1852,25,7075,243.3,7142,40.46,2.31,29,73,1.87,1.45,-13.26,-7.18
8.2854,25,6976,243.3,7142,40.46,2.31,29,73,1.87,1.46,-13.26,-8.99
8.3857,28,3562,243.3,7142,40.46,2.31,29,73,1.88,1.46,-11.53,-8.99
8.486,28,3735,243.3,7142,40.46,2.31,29,73,1.87,1.45,-13.26,-7.18
8.5863,28,7772,251.63,7142,40.46,2.31,29,73,1.87,1.46,-13.26,-8.99
8.6865,28,7853,251.63,7142,40.46,2.31,29,73,1.87,1.45,-13.26,-7.18
8.7868,28,7894,251.63,7142,40.46,2.31,29,73,1.89,1.45,-9.05,-7.18
8.887,28,3973,251.63,7928,40.44,3.18,29,73,1.89,1.44,-9.05,-5.38
8.9873,28,7936,251.63,7928,40.44,3.18,29,73,1.87,1.46,-13.26,-8.99
9.0875,28,7812,251.63,7928,40.44,3.18,29,73,1.87,1.46,-13.26,-8.99
9.1878,28,7853,251.63,7928,40.44,3.18,29,73,1.87,1.46,-13.26,-8.99
9.288,28,3968,251.63,7928,40.44,3.18,29,73,1.87,1.46,-13.26,-8.99
9.3882,28,7874,251.63,7928,40.44,3.18,29,73,1.87,1.46,-13.26,-8.99
9.4885,28,7936,251.63,7928,40.44,3.18,29,73,1.87,1.45,-13.26,-7.18
9.5887,28,7936,309.14,7928,40.44,3.18,29,73,1.87,1.46,-13.26,-8.99
9.689,28,7874,309.14,7928,40.44,3.18,29,73,1.87,1.45,-13.26,-7.18
9.7892,28,7936,309.14,7928,40.44,3.18,29,73,1.87,1.46,-13.26,-8.99
9.8895,28,3942,309.14,7928,40.46,2.86,30,74,1.88,1.46,-11.53,-8.99
9.9897,28,7832,309.14,7928,40.46,2.86,30,74,1.87,1.46,-13.26,-8.99
10.0899,28,7894,309.14,7928,40.46,2.86,30,74,1.88,1.46,-11.53,-8.99
10.1902,28,7874,309.14,7928,40.46,2.86,30,74,1.87,1.46,-13.26,-8.99
10.2904,28,7894,309.14,7928,40.46,2.86,30,74,1.87,1.45,-13.26,-7.18
10.3907,28,7812,309.14,7928,40.46,2.86,30,74,1.87,1.46,-13.26,-8.99
10.4909,28,7915,309.14,7928,40.46,2.86,30,74,1.9,1.45,-4.53,-7.18
10.5912,28,7832,315.66,7928,40.46,2.86,30,74,1.87,1.46,-13.26,-8.99
10.6914,28,7853,315.66,7928,40.46,2.86,30,74,1.88,1.46,-11.53,-8.99
10.7916,28,7832,315.66,7928,40.46,2.86,30,74,1.88,1.45,-11.53,-7.18
10.8918,28,7853,315.66,7942,40.44,2.86,30,75,1.88,1.46,-11.53,-8.99
10.992,28,7894,315.66,7942,40.44,2.86,30,75,1.87,1.46,-13.26,-8.99
11.0922,28,3942,315.66,7942,40.44,2.86,30,75,1.87,1.44,-13.26,-5.38
11.1925,28,7812,315.66,7942,40.44,2.86,30,75,1.87,1.46,-13.26,-8.99
11.2927,28,7936,315.66,7942,40.44,2.86,30,75,1.87,1.46,-13.26,-8.99
11.3929,28,7936,315.66,7942,40.44,2.86,30,75,1.87,1.45,-13.26,-7.18
11.4931,28,7936,315.66,7942,40.44,2.86,30,75,1.9,1.45,-4.53,-7.18
11.5933,28,7853,309.74,7942,40.44,2.86,30,75,1.87,1.45,-13.26,-7.18
11.6935,28,7874,309.74,7942,40.44,2.86,30,75,1.89,1.46,-9.05,-8.99
11.7937,28,3963,309.74,7942,40.44,2.86,30,75,1.87,1.46,-13.26,-8.99
11.8939,28,7853,309.74,7957,40.45,2.86,30,76,1.88,1.45,-11.53,-7.18
11.9941,28,7874,309.74,7957,40.45,2.86,30,76,1.87,1.46,-13.26,-8.99
12.0943,28,7894,309.74,7957,40.45,2.86,30,76,1.87,1.46,-13.26,-8.99
12.1945,28,7936,309.74,7957,40.45,2.86,30,76,1.87,1.46,-13.26,-8.99
12.2947,28,7853,309.74,7957,40.45,2.86,30,76,1.87,1.44,-13.26,-5.38
12.3949,28,7874,309.74,7957,40.45,2.86,30,76,1.87,1.46,-13.26,-8.99
12.4951,28,7792,309.74,7957,40.45,2.86,30,76,1.86,1.46,-15.0,-8.99
12.5954,28,7874,320.42,7957,40.45,2.86,30,76,1.87,1.41,-13.26,0.46
12.6956,28,7812,320.42,7957,40.45,2.86,30,76,1.88,1.46,-11.53,-8.99
12.7958,28,7874,320.42,7957,40.45,2.86,30,76,1.88,1.46,-11.53,-8.99
12.896,32,7936,320.42,7942,40.46,2.92,30,76,1.87,1.45,-13.26,-7.18
12.9962,32,2671,320.42,7942,40.46,2.92,30,76,1.87,1.46,-13.26,-8.99
13.0965,32,8547,320.42,7942,40.46,2.92,30,76,1.89,1.45,-9.05,-7.18
13.1967,32,8823,320.42,7942,40.46,2.92,30,76,1.9,1.43,-4.53,-3.45
13.2972,32,8955,320.42,7942,40.46,2.92,30,76,1.87,1.45,-13.26,-7.18
13.3974,32,8875,320.42,7942,40.46,2.92,30,76,1.87,1.46,-13.26,-8.99
13.4991,32,8902,320.42,7942,40.46,2.92,30,76,1.87,1.46,-13.26,-8.99
13.5993,32,8928,399.46,7942,40.46,2.92,30,76,1.87,1.47,-13.26,-11.55
13.6995,32,8982,399.46,7942,40.46,2.92,30,76,1.87,1.46,-13.26,-8.99
13.7997,32,8875,399.46,7942,40.46,2.92,30,76,1.87,1.45,-13.26,-7.18
13.8999,32,8982,399.46,8971,40.44,3.73,30,77,1.88,1.46,-11.53,-8.99
14.0001,32,8875,399.46,8971,40.44,3.73,30,77,1.88,1.46,-11.53,-8.99
14.1004,32,8797,399.46,8971,40.44,3.73,30,77,1.87,1.45,-13.26,-7.18
14.2006,35,8797,399.46,8971,40.44,3.73,30,77,1.9,1.46,-4.53,-8.99
14.3008,35,9090,399.46,8971,40.44,3.73,30,77,1.88,1.46,-11.53,-8.99
14.401,35,9375,399.46,8971,40.44,3.73,30,77,1.87,1.46,-13.26,-8.99
14.5012,35,9554,448.78,8971,40.44,3.73,30,77,1.87,1.45,-13.26,-7.18
14.6014,35,9615,448.78,8971,40.44,3.73,30,77,1.87,1.46,-13.26,-8.99
14.7016,35,9287,448.78,8971,40.44,3.73,30,77,1.84,1.46,-20.0,-8.99
14.8018,35,9615,448.78,8971,40.44,3.73,30,77,1.88,1.43,-11.53,-3.45
14.9021,35,9615,448.78,9685,40.32,4.41,30,78,1.87,1.45,-13.26,-7.18
15.0023,35,9677,448.78,9685,40.32,4.41,30,78,1.87,1.44,-13.26,-5.38
15.1025,35,9646,448.78,9685,40.32,4.41,30,78,1.87,1.45,-13.26,-7.18
15.2027,35,9584,448.78,9685,40.32,4.41,30,78,1.87,1.46,-13.26,-8.99
15.3029,35,9646,448.78,9685,40.32,4.41,30,78,1.88,1.46,-11.53,-8.99
15.4032,36,9615,448.78,9685,40.32,4.41,30,78,1.87,1.46,-13.26,-8.99
15.5035,36,9677,465.31,9685,40.32,4.41,30,78,1.87,1.46,-13.26,-8.99
15.6038,36,9868,465.31,9685,40.32,4.41,30,78,1.87,1.46,-13.26,-8.99
15.704,36,9836,465.31,9685,40.32,4.41,30,78,1.87,1.46,-13.26,-8.99
15.8043,36,9868,465.31,9685,40.32,4.41,30,78,1.87,1.45,-13.26,-7.18
15.9045,36,9868,465.31,9942,40.27,4.6,30,79,1.87,1.47,-13.26,-11.55
16.005,36,9900,465.31,9942,40.27,4.6,30,79,1.87,1.45,-13.26,-7.18
16.1052,36,9708,465.31,9942,40.27,4.6,30,79,1.86,1.46,-15.0,-8.99
16.2054,36,9933,465.31,9942,40.27,4.6,30,79,1.87,1.47,-13.26,-11.55
16.3057,36,9900,465.31,9942,40.27,4.6,30,79,1.87,1.45,-13.26,-7.18
16.4059,36,9803,465.31,9942,40.27,4.6,30,79,1.87,1.46,-13.26,-8.99
16.5062,36,9836,506.26,9942,40.27,4.6,30,79,1.87,1.46,-13.26,-8.99
16.6064,36,9868,506.26,9942,40.27,4.6,30,79,1.9,1.46,-4.53,-8.99
16.7067,36,9836,506.26,9942,40.27,4.6,30,79,1.87,1.46,-13.26,-8.99
16.8069,36,9868,506.26,9942,40.27,4.6,30,79,1.87,1.46,-13.26,-8.99
16.9071,36,9740,506.26,9871,40.28,4.6,31,81,1.88,1.47,-11.53,-11.55
17.0074,36,9836,506.26,9871,40.28,4.6,31,81,1.87,1.46,-13.26,-8.99
17.1076,36,9900,506.26,9871,40.28,4.6,31,81,1.87,1.46,-13.26,-8.99
17.2079,36,9771,506.26,9871,40.28,4.6,31,81,1.87,1.46,-13.26,-8.99
17.3081,36,9900,506.26,9871,40.28,4.6,31,81,1.87,1.45,-13.26,-7.18
17.4083,36,9836,506.26,9871,40.28,4.6,31,81,1.87,1.46,-13.26,-8.99
17.5086,36,9933,509.62,9871,40.28,4.6,31,81,1.87,1.46,-13.26,-8.99
17.6088,36,9868,509.62,9871,40.28,4.6,31,81,1.88,1.46,-11.53,-8.99
17.7091,39,9836,509.62,9871,40.28,4.6,31,81,1.89,1.46,-9.05,-8.99
17.8093,39,9966,509.62,9871,40.28,4.6,31,81,1.87,1.45,-13.26,-7.18
17.9096,39,10067,509.62,10142,38.23,4.79,31,82,1.86,1.46,-15.0,-8.99
18.0098,39,10273,509.62,10142,38.23,4.79,31,82,1.87,1.45,-13.26,-7.18
18.1101,39,10273,509.62,10142,38.23,4.79,31,82,1.87,1.45,-13.26,-7.18
18.2103,39,10309,509.62,10142,38.23,4.79,31,82,1.87,1.46,-13.26,-8.99
18.3105,39,10380,509.62,10142,38.23,4.79,31,82,1.87,1.46,-13.26,-8.99
18.4107,39,10416,509.62,10142,38.23,4.79,31,82,1.89,1.46,-9.05,-8.99
18.5113,39,10452,557.7,10142,38.23,4.79,31,82,1.87,1.46,-13.26,-8.99
18.6116,39,10416,557.7,10142,38.23,4.79,31,82,1.93,1.46,-1.64,-8.99
18.7118,39,10452,557.7,10142,38.23,4.79,31,82,1.87,1.45,-13.26,-7.18
18.8121,39,10416,557.7,10142,38.23,4.79,31,82,1.88,1.46,-11.53,-8.99
18.9123,39,10452,557.7,10500,39.27,5.05,32,83,1.87,1.46,-13.26,-8.99
19.0126,39,10416,557.7,10500,39.27,5.05,32,83,1.87,1.46,-13.26,-8.99
19.1128,39,10380,557.7,10500,39.27,5.05,32,83,1.87,1.46,-13.26,-8.99
19.2131,39,10344,557.7,10500,39.27,5.05,32,83,1.89,1.46,-9.05,-8.99
19.3133,39,10380,557.7,10500,39.27,5.05,32,83,1.87,1.47,-13.26,-11.55
19.4135,39,10416,557.7,10500,39.27,5.05,32,83,1.87,1.45,-13.26,-7.18
19.5138,39,10489,557.36,10500,39.27,5.05,32,83,1.87,1.44,-13.26,-5.38
19.614,39,10344,557.36,10500,39.27,5.05,32,83,1.87,1.45,-13.26,-7.18
19.7142,39,10452,557.36,10500,39.27,5.05,32,83,1.87,1.41,-13.26,0.46
19.8144,39,10169,557.36,10500,39.27,5.05,32,83,1.88,1.45,-11.53,-7.18
19.9146,41,10309,557.36,10414,39.32,5.02,31,85,1.86,1.46,-15.0,-8.99
20.0149,41,10344,557.36,10414,39.32,5.02,31,85,1.88,1.46,-11.53,-8.99
20.1151,41,10309,557.36,10414,39.32,5.02,31,85,1.87,1.46,-13.26,-8.99
20.2153,41,10344,557.36,10414,39.32,5.02,31,85,1.87,1.45,-13.26,-7.18
20.3155,41,10273,557.36,10414,39.32,5.02,31,85,1.86,1.46,-15.0,-8.99
20.4157,41,10309,557.36,10414,39.32,5.02,31,85,1.88,1.46,-11.53,-8.99
20.5159,41,10273,537.51,10414,39.32,5.02,31,85,1.87,1.46,-13.26,-8.99
20.6162,41,10344,537.51,10414,39.32,5.02,31,85,1.87,1.46,-13.26,-8.99
20.7164,41,10309,537.51,10414,39.32,5.02,31,85,1.87,1.46,-13.26,-8.99
20.8167,36,10380,537.51,10414,39.32,5.02,31,85,1.86,1.46,-15.0,-8.99
