time_s,throttle,rpm_hall,weight_g,esc_rpm,voltage_v,current_a,temp_c,mah,pos_voltage,neg_voltage,pitch_pos,pitch_neg
0.0805,0,27778,-1.04,0,49.84,0.03,25,1,0.0346,0.0251,-30.0,-30.0
0.1808,0,39474,-0.93,0,49.84,0.03,25,1,0.0353,0.0254,-30.0,-30.0
0.2811,0,26316,-0.99,0,49.84,0.03,24,1,0.0361,0.0261,-30.0,-30.0
0.3815,0,39474,-0.96,0,49.84,0.03,25,1,0.0349,0.0257,-30.0,-30.0
0.4817,0,29703,-0.8,0,49.84,0.03,25,1,0.0348,0.0266,-30.0,-30.0
0.5819,0,42857,-1.0,0,49.84,0.03,24,1,0.0344,0.0254,-30.0,-30.0
0.6823,0,16304,-1.08,0,49.84,0.03,25,1,0.0346,0.0258,-30.0,-30.0
0.7826,0,16043,-0.91,0,49.84,0.03,24,1,0.0354,0.0253,-30.0,-30.0
0.8829,0,26549,-0.91,0,49.84,0.03,24,1,0.0346,0.0248,-30.0,-30.0
0.9831,0,29412,-1.06,0,49.84,0.03,24,1,0.0348,0.0253,-30.0,-30.0
1.0833,0,37500,-1.07,0,49.84,0.03,25,1,0.0353,0.0253,-30.0,-30.0
1.1836,0,41096,-1.02,0,49.84,0.03,25,1,0.0353,0.0238,-30.0,-30.0
1.2838,0,17964,-0.96,0,49.84,0.03,25,1,0.0346,0.0248,-30.0,-30.0
1.3841,0,31915,-1.04,0,49.84,0.03,25,1,0.0355,0.0259,-30.0,-30.0
1.4843,0,44118,-0.98,0,49.84,0.03,25,1,0.0346,0.0243,-30.0,-30.0
1.5846,47,32967,-0.98,0,49.84,0.03,25,1,0.0341,0.0252,-30.0,-30.0
1.6849,48,28302,-0.98,300,49.83,0.06,24,1,0.0357,0.0231,-30.0,-30.0
1.7851,48,28302,-0.79,642,49.83,0.12,24,1,0.0357,0.0231,-30.0,-30.0
1.8854,66,21898,-1.73,442,49.83,0.12,25,1,0.0357,0.022,-30.0,-30.0
1.9856,66,21898,-1.96,242,49.85,0.12,25,1,0.0357,0.022,-30.0,-30.0
2.0859,86,1140,-1.48,157,49.84,0.03,25,1,0.0359,0.022,-30.0,-30.0
2.1861,86,586,-1.13,585,49.84,0.06,25,1,0.0366,0.022,-30.0,-30.0
2.2863,106,559,-2.04,371,49.84,0.06,25,1,0.0366,0.0215,-30.0,-30.0
2.3866,106,559,-1.52,385,49.84,0.09,25,1,0.0366,-0.006,-30.0,-30.0
2.487,126,481,-1.59,528,49.85,0.06,24,1,0.0373,-0.0076,-30.0,-30.0
2.5874,126,559,-1.71,814,49.82,0.06,24,1,0.1607,-0.0182,-30.0,-30.0
2.6876,146,654,-0.85,1014,49.82,0.09,24,1,0.1683,-0.2015,-30.0,-30.0
2.7879,146,1139,0.18,1314,49.83,0.12,24,1,0.2389,-0.2498,-30.0,-30.0
2.8882,166,1429,0.94,1571,49.83,0.19,24,1,0.317,-0.3247,-30.0,-30.0
2.9885,166,1820,1.43,1928,49.83,0.25,25,1,0.3964,-0.3674,-29.58,-26.61
3.0888,186,2080,1.76,2142,49.83,0.28,25,1,0.4187,-0.3786,-19.4,-18.99
3.189,186,2463,4.47,2428,49.83,0.35,25,1,0.4236,-0.3997,-12.28,-15.3
3.2893,206,2671,6.32,2671,49.83,0.41,25,1,0.4264,-0.4019,-10.29,-14.33
3.3895,206,2985,8.54,2971,49.81,0.48,25,1,0.4323,-0.4099,-9.88,-12.51
3.4898,226,3083,10.89,3071,49.8,0.54,25,1,0.4359,-0.4155,-9.69,-12.32
3.5901,226,3341,12.83,3342,49.79,0.57,25,1,0.4362,-0.4166,-9.28,-11.62
3.6904,246,3492,14.68,3485,49.79,0.64,25,1,0.4368,-0.4187,-9.02,-11.14
3.7907,246,3750,16.82,3771,49.79,0.7,25,1,0.4375,-0.4186,-9.0,-11.05
3.8909,266,3812,18.58,3800,49.79,0.7,24,1,0.44,-0.4164,-8.96,-11.05
3.9912,266,4121,22.42,4085,49.77,0.77,25,1,0.4447,-0.4152,-8.91,-11.05
4.0914,286,4161,25.6,4142,49.78,0.8,25,1,0.4488,-0.4227,-8.74,-10.87
4.1917,286,4444,28.08,4442,49.78,0.86,24,2,0.4553,-0.4216,-8.41,-10.87
4.292,306,4573,31.43,4485,49.78,0.9,25,2,0.4634,-0.4214,-8.13,-10.63
4.3923,306,4785,35.14,4757,49.77,0.96,25,2,0.462,-0.4229,-7.67,-10.61
4.4926,326,4942,38.7,4857,49.78,0.99,25,2,0.4583,-0.4277,-7.46,-10.52
4.5929,326,5164,42.16,5157,49.76,1.06,24,2,0.4583,-0.4294,-7.46,-10.5
4.6932,346,5190,44.15,5200,49.77,1.12,25,2,0.459,-0.4294,-7.41,-10.09
4.7934,346,5484,50.87,5471,49.74,1.19,25,2,0.459,-0.4306,-7.41,-9.96
4.8937,366,5505,54.58,5528,49.78,1.22,25,2,0.4578,-0.4322,-7.46,-9.96
4.994,366,5780,56.81,5785,49.76,1.28,25,2,0.4513,-0.4341,-7.46,-9.89
5.0942,386,5792,59.89,5828,49.76,1.38,25,2,0.4502,-0.4338,-7.5,-9.81
5.1945,386,6098,63.0,6085,49.72,1.44,25,2,0.4513,-0.4367,-7.95,-9.72
5.2947,406,6122,67.38,6114,49.73,1.48,25,2,0.453,-0.4367,-7.95,-9.7
5.395,406,6383,72.34,6385,49.72,1.57,25,2,0.4674,-0.4325,-7.95,-9.7
5.4953,426,6410,76.3,6400,49.72,1.57,25,2,0.468,-0.4325,-7.83,-9.72
5.5956,426,6711,81.62,6685,49.7,1.67,25,2,0.4662,-0.4307,-6.91,-9.79
5.6958,446,6787,88.31,6757,49.72,1.67,25,2,0.4656,-0.4273,-6.91,-9.79
5.7961,446,7042,90.79,7042,49.68,1.77,25,2,0.4652,-0.4298,-6.91,-9.89
5.8963,466,7177,94.69,7100,49.71,1.77,25,2,0.4598,-0.4349,-6.95,-9.89
5.9966,466,7371,99.44,7385,49.68,1.86,25,2,0.466,-0.4331,-6.95,-9.89
6.0969,486,7557,104.84,7414,49.71,1.89,25,2,0.4686,-0.4306,-6.95,-9.89
6.1971,486,7673,109.71,7700,49.68,1.99,25,3,0.4678,-0.4284,-6.93,-9.89
6.2974,506,7874,112.71,7757,49.7,2.06,25,3,0.4674,-0.4266,-6.83,-9.89
6.3978,506,8021,119.09,7957,49.65,2.15,25,3,0.4717,-0.4251,-6.8,-10.03
6.4981,526,8021,126.94,8042,49.68,2.18,25,3,0.4707,-0.4221,-6.75,-10.18
6.5984,526,8357,132.95,8342,49.65,2.31,25,3,0.4679,-0.4223,-6.79,-10.31
6.6986,546,8380,139.9,8400,49.66,2.35,25,3,0.4702,-0.4213,-6.63,-10.55
6.7989,546,8671,144.22,8671,49.64,2.44,25,3,0.4657,-0.4182,-6.63,-10.57
6.8992,564,8696,149.17,8614,49.67,2.44,25,3,0.4682,-0.4174,-6.77,-10.64
6.9994,564,8982,156.43,8971,49.59,2.57,25,3,0.468,-0.4156,-6.79,-10.91
7.0997,578,9036,158.89,9085,49.62,2.64,25,3,0.4679,-0.414,-6.79,-10.98
7.2001,578,9202,165.41,9242,49.59,2.8,26,3,0.4641,-0.4171,-6.79,-11.0
7.3003,590,9259,179.87,9228,49.62,2.76,25,3,0.4682,-0.4203,-6.79,-11.0
7.4008,590,9404,181.34,9385,49.59,2.89,25,3,0.4674,-0.4241,-6.79,-11.0
7.501,599,9434,180.25,9414,49.61,2.89,26,3,0.4636,-0.4224,-6.83,-10.73
7.6013,599,9524,184.57,9571,49.61,2.99,26,3,0.4625,-0.4173,-7.06,-10.73
7.7016,607,9585,188.66,9471,49.61,2.99,26,3,0.4675,-0.4131,-6.83,-10.73
7.8019,607,9646,189.47,9642,49.61,3.05,26,3,0.4651,-0.4113,-6.99,-10.99
7.9021,612,9709,193.54,9742,49.59,3.05,25,3,0.4645,-0.4176,-7.03,-10.99
8.0024,612,9740,199.46,9685,49.6,3.05,26,3,0.4671,-0.4091,-6.99,-11.35
8.1026,617,9772,203.02,9728,49.6,3.12,26,3,0.4605,-0.4124,-6.99,-11.41
8.2029,617,9772,206.14,9842,49.57,3.15,26,3,0.4661,-0.4122,-6.99,-11.43
8.3032,622,9772,203.99,9828,49.59,3.09,26,4,0.4659,-0.4103,-6.93,-11.43
8.4035,622,9772,201.96,9771,49.61,3.12,26,4,0.4659,-0.4117,-6.93,-11.47
8.5041,627,9772,200.31,9785,49.62,3.05,26,4,0.4668,-0.4126,-6.93,-11.43
8.6044,627,9772,203.61,9842,49.61,3.02,27,4,0.4697,-0.4111,-6.92,-11.47
8.7047,632,9804,204.35,9814,49.61,2.99,26,4,0.4663,-0.4121,-6.91,-11.47
8.8049,632,10067,207.29,9971,49.58,3.02,26,4,0.4641,-0.4087,-6.91,-11.47
8.9052,633,10067,218.99,10085,49.6,3.12,27,4,0.4638,-0.412,-6.91,-11.44
9.0055,633,10067,223.95,10185,49.56,3.18,27,4,0.4629,-0.4132,-7.06,-11.44
9.1057,633,10067,224.91,10100,49.57,3.21,26,4,0.4633,-0.4131,-7.08,-11.43
9.206,633,10067,221.48,10057,49.57,3.25,27,4,0.4649,-0.4132,-7.08,-11.35
9.3063,633,10067,220.1,10157,49.57,3.15,27,5,0.4634,-0.4123,-7.11,-11.35
9.4066,633,10067,224.05,10157,49.59,3.12,27,5,0.4684,-0.415,-7.11,-11.34
9.5069,631,10033,224.3,10157,49.62,3.05,27,5,0.4653,-0.4123,-7.0,-11.35
9.6071,631,10033,223.4,10171,49.62,3.09,27,5,0.4651,-0.4109,-6.99,-11.42
9.7074,630,10033,222.6,10057,49.57,3.09,27,5,0.4655,-0.4134,-6.98,-11.42
9.8076,630,10033,221.4,10100,49.57,3.09,27,5,0.4657,-0.4104,-6.96,-11.42
9.9079,628,10000,223.16,10100,49.61,3.09,27,5,0.4666,-0.4099,-6.96,-11.54
10.0081,628,10000,224.51,10028,49.6,3.09,27,5,0.4665,-0.4112,-6.95,-11.54
10.1084,628,10033,221.44,9900,49.61,3.09,27,5,0.4665,-0.4111,-6.89,-11.52
10.2087,628,10000,222.43,10057,49.58,3.09,27,5,0.465,-0.407,-6.89,-11.58
10.3092,628,10000,222.22,9985,49.58,3.15,27,6,0.467,-0.4076,-6.89,-11.62
10.4094,628,10000,219.93,10000,49.58,3.15,27,6,0.464,-0.4103,-6.89,-11.59
10.51,628,10033,220.96,10057,49.58,3.21,27,6,0.4668,-0.4083,-6.89,-11.76
10.6102,628,10000,218.95,9928,49.6,3.12,25,6,0.4671,-0.4079,-6.87,-11.8
10.7105,628,10000,222.1,10028,49.56,3.09,27,6,0.4669,-0.411,-6.86,-11.76
10.8107,628,10000,222.32,10142,49.59,3.02,28,6,0.4651,-0.4117,-6.87,-11.59
10.911,628,10000,219.9,10057,49.56,3.05,27,6,0.4638,-0.4092,-6.87,-11.69
11.0113,628,10033,221.18,10000,49.58,3.05,28,6,0.4661,-0.411,-6.92,-11.53
11.1115,628,10033,220.59,10071,49.59,3.09,28,6,0.4643,-0.4089,-6.99,-11.53
11.2117,628,10033,217.47,10071,49.55,3.09,27,6,0.4669,-0.4096,-6.99,-11.65
11.312,628,10033,215.29,9914,49.54,3.09,28,6,0.4652,-0.4101,-6.98,-11.65
11.4123,628,10033,217.94,10071,49.58,3.09,28,7,0.4677,-0.41,-6.92,-11.62
11.5126,628,10033,221.35,10071,49.59,3.15,27,7,0.4671,-0.4106,-6.86,-11.62
11.6128,628,10000,222.3,10100,49.58,3.15,28,7,0.4653,-0.4124,-6.86,-11.61
11.7131,628,10033,220.92,10000,49.58,3.05,28,7,0.469,-0.4093,-6.85,-11.61
11.8133,628,10000,222.69,9942,49.57,3.12,28,7,0.4653,-0.4066,-6.85,-11.62
11.9137,628,10000,220.6,10014,49.56,3.05,28,7,0.4667,-0.4096,-6.88,-11.65
12.0139,628,10000,218.31,10142,49.56,3.05,28,7,0.4672,-0.4068,-6.88,-11.68
12.1142,628,10033,216.87,10057,49.59,3.05,28,7,0.4647,-0.4108,-6.88,-11.68
12.2145,628,10000,218.61,10057,49.57,3.02,28,7,0.4656,-0.4103,-6.95,-11.65
12.3149,628,10000,218.52,10000,49.56,2.99,28,7,0.4669,-0.4074,-6.88,-11.65
12.4151,628,10033,218.39,10042,49.57,3.02,28,8,0.4656,-0.4085,-6.95,-11.75
12.5154,628,10000,219.14,10071,49.57,3.09,29,8,0.4667,-0.4104,-6.95,-11.59
12.6157,628,10033,219.61,10000,49.51,3.15,28,8,0.4647,-0.4095,-6.95,-11.66
12.7159,628,10033,217.01,10071,49.55,3.18,28,8,0.4676,-0.4098,-6.88,-11.66
12.8162,628,10033,216.69,10071,49.56,3.18,28,8,0.4654,-0.4119,-6.95,-11.63
12.9165,628,10000,221.83,10085,49.55,3.15,28,8,0.4644,-0.4076,-6.97,-11.63
13.0167,628,10033,220.66,10100,49.54,3.21,28,8,0.4665,-0.4078,-6.97,-11.66
13.117,628,10033,218.02,10057,49.59,3.15,29,8,0.465,-0.4095,-6.97,-11.66
13.2172,628,10033,217.95,10071,49.56,3.15,29,8,0.4669,-0.4099,-6.97,-11.66
13.3175,628,10033,217.92,10000,49.55,3.18,28,8,0.4669,-0.4053,-6.89,-11.81
13.4178,628,10000,222.52,10042,49.55,3.15,29,8,0.4656,-0.405,-6.89,-11.81
13.5181,628,10033,218.68,10071,49.57,3.12,29,8,0.4693,-0.4093,-6.86,-11.68
13.6184,628,10033,220.29,10028,49.58,3.12,28,8,0.4642,-0.4082,-6.86,-11.77
13.7186,628,10000,219.16,10071,49.56,3.05,29,8,0.4681,-0.4069,-6.86,-11.88
13.8188,628,10000,219.12,10100,49.55,3.05,29,8,0.4671,-0.4088,-6.85,-11.77
13.9191,628,10033,217.62,10071,49.56,3.09,29,8,0.4662,-0.4057,-6.85,-11.77
14.0194,628,10033,217.99,10014,49.55,3.09,29,8,0.4667,-0.4078,-6.88,-11.81
14.1196,626,10000,220.15,10100,49.54,3.09,29,8,0.4648,-0.4075,-6.88,-11.83
14.2199,626,10000,221.39,10071,49.52,3.09,29,8,0.4658,-0.4081,-6.91,-11.81
14.3202,624,9967,219.42,10128,49.56,3.09,28,8,0.466,-0.4108,-6.93,-11.81
14.4205,624,9967,218.73,9942,49.59,3.05,29,9,0.4658,-0.4068,-6.94,-11.81
14.5208,624,9967,212.43,10028,49.58,3.02,30,9,0.4674,-0.4078,-6.94,-11.81
14.621,624,9967,213.97,9985,49.56,2.96,29,9,0.466,-0.4096,-6.93,-11.78
14.7213,624,9967,211.42,9871,49.49,2.99,29,9,0.4699,-0.4081,-6.93,-11.78
14.8216,624,9967,215.13,10000,49.52,2.92,30,9,0.4666,-0.4061,-6.89,-11.81
14.9219,624,9967,219.49,10057,49.55,2.96,30,9,0.4684,-0.4072,-6.83,-11.81
15.0221,624,9934,216.69,9971,49.57,2.96,30,9,0.466,-0.4071,-6.89,-11.86
15.1224,624,9967,212.98,9914,49.61,2.83,30,9,0.4667,-0.4059,-6.88,-11.87
15.2234,624,9967,213.11,10014,49.55,2.83,30,9,0.4666,-0.4071,-6.89,-11.87
15.3236,624,9967,214.32,9942,49.51,2.73,29,9,0.4676,-0.4059,-6.88,-11.87
15.4245,624,9967,217.46,9985,49.52,2.83,30,9,0.4657,-0.4087,-6.89,-11.87
15.5248,624,9967,214.07,10014,49.59,2.86,30,10,0.4669,-0.404,-6.88,-11.97
15.6251,624,9967,210.91,9928,49.56,2.92,29,10,0.4664,-0.4051,-6.89,-11.97
15.7253,624,9967,214.31,10057,49.57,2.92,30,10,0.4697,-0.4069,-6.86,-11.97
15.8256,624,9967,216.88,9957,49.54,2.73,30,10,0.4665,-0.4066,-6.89,-11.91
15.9259,624,9967,214.26,9971,49.54,2.89,30,10,0.4703,-0.4053,-6.86,-12.02
16.0261,624,9967,216.09,10071,49.52,3.05,30,10,0.4672,-0.4076,-6.84,-11.91
16.1264,624,9967,217.55,10071,49.52,3.05,30,10,0.4667,-0.411,-6.84,-11.88
16.2267,624,9967,214.39,10000,49.55,3.15,30,10,0.4678,-0.4072,-6.84,-11.86
16.3271,624,9967,217.86,9971,49.53,3.21,30,10,0.4655,-0.4068,-6.84,-11.86
16.4273,624,9967,214.2,9842,49.51,3.02,30,11,0.4657,-0.4074,-6.88,-11.84
16.5276,624,9967,211.58,10071,49.49,3.28,30,11,0.4654,-0.4065,-6.95,-11.86
16.6279,624,9967,212.19,10028,49.51,3.44,30,11,0.4666,-0.4084,-6.95,-11.86
16.7281,624,9967,213.12,9971,49.56,3.31,30,11,0.4677,-0.4048,-6.95,-11.89
16.8284,624,9967,214.42,10042,49.57,3.31,30,11,0.4672,-0.4056,-6.89,-11.92
16.9287,624,9967,213.88,9985,49.58,3.18,30,11,0.4674,-0.4065,-6.84,-11.92
17.0289,624,9967,216.68,9942,49.57,3.05,30,11,0.4663,-0.4065,-6.84,-11.92
17.1292,624,9967,216.29,9900,49.51,3.05,30,11,0.4663,-0.4063,-6.84,-11.94
17.2295,624,9967,213.51,10014,49.52,3.18,30,11,0.4713,-0.4076,-6.84,-11.92
17.3298,604,9709,213.69,9785,49.61,3.15,30,11,0.4688,-0.4076,-6.83,-11.92
17.4301,604,9646,214.99,9628,49.57,3.05,30,12,0.4658,-0.412,-6.91,-11.82
17.5303,584,9464,211.23,9457,49.61,2.83,30,12,0.4676,-0.4133,-6.82,-11.82
17.6306,584,9346,199.68,9285,49.55,2.67,30,12,0.4658,-0.4133,-6.82,-11.44
17.7308,564,9119,193.3,9157,49.61,2.44,30,12,0.4672,-0.4178,-6.84,-11.33
17.8311,564,9063,186.29,9114,49.58,2.47,30,12,0.4668,-0.4155,-6.87,-11.33
17.9313,544,8798,183.48,8871,49.62,2.35,30,12,0.4701,-0.4162,-6.84,-11.14
18.0315,544,8721,177.23,8771,49.58,2.35,30,12,0.4685,-0.4195,-6.84,-11.08
18.1318,524,8475,168.23,8485,49.63,2.22,30,12,0.4675,-0.424,-6.82,-10.94
18.232,524,8427,164.26,8442,49.62,2.12,30,12,0.4646,-0.4244,-6.82,-10.8
18.3326,504,8310,160.13,8185,49.63,1.93,30,12,0.4647,-0.4261,-6.82,-10.41
18.4328,504,8021,154.16,8028,49.63,1.99,30,12,0.4666,-0.4275,-6.89,-10.37
18.5331,484,7895,150.28,7828,49.64,1.86,30,12,0.4685,-0.4247,-6.89,-10.35
18.6333,484,7692,140.16,7757,49.62,1.86,30,12,0.4691,-0.4314,-6.89,-10.22
18.7336,464,7538,133.13,7471,49.65,1.83,30,12,0.4657,-0.4302,-6.89,-10.1
